rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position,sportAbbrev
12,tb,22,,Brendan Summerhill,804911,36,8,12,2,1,0,.429,.873,.444,5,6,5,5,1,11,16,.333,OF,A
13,tor,21,,Edward Duran,698927,375,55,103,15,5,8,.362,.767,.405,47,42,88,7,4,179,152,.275,C,ALL (2)
13,phi,23,,Carson DeMartini,701831,447,71,106,20,4,10,.340,.707,.367,52,59,139,45,12,219,164,.237,SS,ALL (2)
13,bos,21,,Miguel Bleis,694194,397,58,88,21,1,14,.300,.685,.385,51,41,106,27,6,175,153,.222,OF,ALL (2)
13,cle,18,,Juneiker Caceres,821181,244,40,66,18,2,4,.379,.789,.410,27,36,35,7,5,115,100,.270,OF,ALL (2)
13,sd,22,,Ryan Wideman,834240,96,13,22,2,1,0,.330,.601,.271,12,12,32,11,1,58,26,.229,OF,A
13,mil,20,,Josh Adamczewski,815304,253,55,81,18,5,5,.420,.910,.490,46,43,53,7,1,108,124,.320,SS,ALL (3)
13,tex,18,,Yolfran Castillo,815931,341,49,88,13,8,1,.315,.667,.352,41,26,69,29,2,159,120,.258,SS,ALL (2)
13,hou,20,,Jancel Villarroel,806611,371,53,96,18,3,8,.351,.739,.388,54,45,77,20,7,156,144,.259,C,ALL (2)
13,min,21,,Brandon Winokur,806263,474,65,107,20,3,17,.304,.692,.388,68,44,131,26,4,262,184,.226,OF,A+
13,was,26,,Christian Franklin,681047,445,77,121,23,5,12,.390,.817,.427,64,80,110,19,9,169,190,.272,LF,ALL (2)
13,tb,22,,Caden Bodine,805207,43,6,14,1,0,0,.408,.757,.349,4,5,8,0,0,15,15,.326,C,A
13,stl,22,,Joshua Baez,695491,418,78,120,23,3,20,.384,.884,.500,79,59,103,54,9,218,209,.287,RF,ALL (2)
13,cin,21,,Mason Neville,702563,77,8,19,8,2,1,.333,.775,.442,9,9,31,2,0,21,34,.247,OF,A
13,atl,19,,John Gil,808535,424,76,107,25,1,7,.348,.714,.366,49,61,71,54,14,186,155,.252,SS,ALL (3)
14,cle,24,,Juan Brito,682877,103,17,25,6,1,4,.355,.792,.437,17,16,29,4,3,34,45,.243,SS,ALL (2)
14,ari,22,,Druw Jones,702258,478,77,122,25,5,5,.335,.695,.360,56,56,127,28,4,217,172,.255,OF,A+
14,sd,22,,Lamar King Jr.,702601,401,54,110,30,1,4,.353,.737,.384,44,44,93,21,3,218,154,.274,C,ALL (2)
14,bal,21,,Colin Yeaman,829649,54,6,10,1,0,0,.366,.570,.204,2,10,17,2,1,23,11,.185,SS,A
14,atl,17,,Diego Tornes,829053,122,20,34,5,5,0,.395,.797,.402,13,23,32,24,4,55,49,.279,OF,ROK
14,bos,20,,Yoeilin Cespedes,806985,428,56,97,24,5,10,.292,.668,.376,54,41,101,11,6,187,161,.227,SS,A
14,phi,20,,Devin Saltiban,813880,305,42,55,11,3,7,.259,.564,.305,26,23,102,19,5,144,93,.180,SS,ALL (3)
14,was,19,,Angel Feliz,815906,293,53,74,10,5,4,.346,.708,.362,43,42,71,15,7,136,106,.253,SS,ALL (2)
14,tb,19,,Brailer Guerrero,806967,193,22,48,7,2,6,.338,.737,.399,33,25,65,9,1,93,77,.249,OF,ALL (2)
14,sea,24,,Jared Sundstrom,814791,438,62,96,22,5,12,.297,.671,.374,53,40,145,35,4,231,164,.219,OF,AA
14,chc,17,,Juan Cabada,829040,136,22,39,10,0,3,.429,.855,.426,29,20,31,20,3,60,58,.287,SS,ROK
14,mia,20,,PJ Morlando,703563,205,38,44,7,1,5,.371,.703,.332,30,46,71,8,1,113,68,.215,OF,ALL (2)
14,cin,20,,Sheng-En Lin,806823,87,14,15,4,1,2,.348,.658,.310,13,24,30,1,2,38,27,.172,SS,ROK
15,la,22,,Charles Davalan,804560,34,7,17,3,1,1,.541,1.276,.735,10,3,5,3,0,12,25,.500,OF,A
15,nyy,23,,Brendan Jones,800957,458,89,112,20,8,11,.359,.754,.395,69,82,109,51,9,180,181,.245,OF,ALL (2)
15,tor,23,,Charles McAdoo,807727,445,62,110,24,1,16,.318,.731,.413,45,45,137,34,6,197,184,.247,2B,AA
15,pit,20,,Yordany De Los Santos,703154,464,62,115,27,2,11,.309,.695,.386,54,40,140,51,14,195,179,.248,SS,ALL (2)
15,nym,21,,Chris Suero,801523,378,78,88,16,1,16,.379,.786,.407,68,70,139,35,8,198,154,.233,C,ALL (2)
15,atl,19,,Jose Perdomo,815899,215,20,48,7,0,1,.275,.545,.270,18,14,45,4,2,123,58,.223,SS,ROK
15,tex,22,,Dylan Dreiling,702662,420,50,95,21,4,12,.319,.700,.381,62,58,101,15,5,193,160,.226,OF,A+
15,bal,22,,Vance Honeycutt,701689,374,48,64,12,6,5,.284,.559,.275,24,56,178,32,7,171,103,.171,OF,A+
15,col,24,,Sterlin Thompson,694514,439,82,130,28,8,18,.392,.911,.519,66,53,107,12,4,191,228,.296,OF,AAA
15,sf,24,,Daniel Susac,691740,360,48,99,19,1,18,.349,.832,.483,68,35,109,7,3,200,174,.275,C,AAA
15,sea,22,,Josh Caron,701805,299,39,59,9,2,9,.269,.600,.331,26,25,96,11,2,152,99,.197,C,A+
15,cle,19,,Welbyn Francisca,806988,371,54,85,14,2,3,.320,.622,.302,45,51,73,45,12,196,112,.229,SS,A
15,phi,24,,Keaton Anthony,805704,316,37,102,31,1,6,.378,.862,.484,39,26,73,0,0,143,153,.323,OF,ALL (2)
15,bos,22,,Nelly Taylor,807511,384,62,83,24,3,7,.355,.704,.349,41,81,133,29,12,176,134,.216,OF,A+
16,hou,21,,Will Bush,813844,327,53,75,16,0,15,.361,.777,.416,47,58,105,10,1,155,136,.229,C,ALL (2)
16,col,21,,Ethan Hedges,805260,77,8,15,3,0,0,.303,.537,.234,3,10,17,2,0,25,18,.195,3B,A+
16,kc,22,,Daniel Vazquez,694187,447,61,116,25,5,2,.333,.684,.351,50,51,106,27,8,196,157,.260,SS,ALL (3)
16,min,23,,Billy Amick,701771,218,42,67,17,1,4,.417,.867,.450,31,33,70,1,2,92,98,.307,3B,ALL (3)
16,stl,25,,Nathan Church,701675,403,76,124,20,5,14,.368,.854,.486,58,36,55,17,5,153,196,.308,LF,ALL (4)
16,chc,18,,Juan Tomas,829823,113,19,21,6,2,1,.352,.653,.301,18,30,42,9,4,52,34,.186,SS,ROK
16,sf,23,,Jesus Rodriguez,683679,489,76,150,20,3,7,.393,.796,.403,59,66,78,21,9,196,197,.307,C,ALL (3)
16,nyy,22,,Dillon Lewis,827665,465,72,110,21,5,22,.321,.766,.445,79,54,124,26,2,199,207,.237,OF,ALL (2)
16,pit,21,,Esmerlyn Valdez,699013,458,75,131,25,2,26,.376,.896,.520,86,56,130,3,2,192,238,.286,OF,ALL (2)
16,det,23,,John Peck,807726,469,88,141,27,1,11,.359,.792,.433,69,41,125,19,6,223,203,.301,SS,ALL (2)
16,cws,23,,Jacob Gonzalez,694378,475,56,110,26,2,8,.307,.652,.345,61,48,86,17,3,224,164,.232,SS,ALL (2)
16,oak,23,,Ryan Lasko,805782,312,52,76,9,2,6,.355,.698,.343,42,46,86,14,5,150,107,.244,OF,ALL (3)
16,sea,22,,Korbyn Dickerson,702668,7,2,3,1,0,0,.556,1.127,.571,1,1,2,0,0,1,4,.429,OF,A
16,nym,22,,Nick Morabito,703492,436,63,119,27,2,6,.348,.733,.385,59,47,115,49,11,187,168,.273,CF,AA
16,mia,21,,Chase Jaworsky,814172,237,38,54,10,2,4,.351,.689,.338,31,34,64,31,4,113,80,.228,SS,ALL (2)
16,tex,20,,Yeremy Cabrera,800393,383,66,98,12,3,8,.364,.730,.366,52,52,86,43,4,183,140,.256,CF,A
17,mil,23,,Brock Wilken,694385,270,46,61,17,0,18,.387,.876,.489,46,69,93,2,0,151,132,.226,3B,AA
17,bos,22,,Henry Godbout,804995,44,6,15,6,0,0,.473,.950,.477,5,9,6,1,1,17,21,.341,SS,A+
17,hou,25,,Zach Cole,805904,405,72,112,24,7,23,.372,.913,.541,76,57,166,21,7,174,219,.277,CF,ALL (3)
17,ana,19,,Juan Flores,808129,305,38,63,11,0,10,.283,.624,.341,40,18,94,0,1,164,104,.207,C,A+
17,bal,18,,Stiven Martinez,815913,232,34,43,10,4,3,.333,.635,.302,22,46,100,5,6,147,70,.185,OF,ALL (2)
17,kc,18,,Warren Calcaño,829071,26,7,9,2,0,1,.514,1.052,.538,2,8,10,7,1,8,14,.346,SS,ROK
17,was,19,,Ronny Cruz,826723,174,20,47,10,6,2,.314,.745,.431,21,10,35,10,7,70,75,.270,SS,ROK
17,nyy,22,,Core Jackson,692110,93,12,17,7,1,0,.287,.567,.280,5,11,31,1,1,51,26,.183,SS,A+
17,phi,21,,Bryan Rincon,804858,299,58,54,13,2,6,.304,.602,.298,31,50,103,40,5,127,89,.181,SS,A+
17,cle,22,,Jacob Cozart,695524,340,48,80,15,2,9,.341,.712,.371,49,49,89,0,0,154,126,.235,C,ALL (2)
17,chc,22,,Cole Mathis,695573,107,16,23,9,1,3,.336,.738,.402,14,17,29,0,2,56,43,.215,3B,A
17,mia,18,,Luis Cova,815909,177,49,53,11,2,9,.422,.959,.537,35,34,40,35,6,75,95,.299,OF,ROK
17,tex,22,,Cameron Cauley,695508,435,74,110,26,7,15,.325,.773,.448,51,47,121,28,7,186,195,.253,SS,AA
17,pit,18,,Darell Morel,829716,157,45,45,9,4,1,.425,.839,.414,25,37,45,26,7,62,65,.287,SS,ROK
17,sd,18,,Jhoan De La Cruz,829063,139,37,36,5,3,1,.477,.837,.360,21,46,45,11,4,71,50,.259,SS,ROK
18,sd,23,,Kavares Tears,701837,410,49,93,22,2,13,.320,.705,.385,65,58,138,6,5,217,158,.227,OF,A
18,cin,18,,Liberts Aponte,829051,154,34,38,6,3,7,.368,.829,.461,36,29,35,9,0,73,71,.247,SS,ROK
18,cws,20,,Javier Mogollon,808684,186,36,41,10,3,5,.347,.734,.387,19,30,56,15,6,76,72,.220,2B,A
18,hou,22,,Caden Powell,702547,309,55,72,15,2,10,.347,.739,.392,44,48,110,32,6,160,121,.233,SS,ALL (2)
18,oak,23,,Nate Nankil,694977,468,71,130,26,3,3,.359,.724,.365,56,49,85,10,3,242,171,.278,OF,ALL (2)
18,tor,18,,Juan Sanchez,825646,214,47,73,16,4,8,.439,1.004,.565,40,26,44,4,3,82,121,.341,SS,ROK
18,la,19,,Chase Harlan,815792,260,43,70,16,1,9,.357,.799,.442,58,36,67,3,2,153,115,.269,3B,ALL (2)
18,tex,23,,Abimelec Ortiz,694673,478,85,123,25,3,25,.356,.835,.479,89,65,123,4,2,225,229,.257,1B,ALL (2)
18,cle,22,,Kahlil Watson,696135,368,53,92,20,6,16,.346,.813,.467,61,48,119,17,7,173,172,.250,LF,ALL (2)
18,nym,21,,Antonio Jimenez,806128,95,12,25,1,0,0,.345,.619,.274,14,12,15,8,3,36,26,.263,SS,A
18,pit,19,,Edgleen Perez,814297,357,46,73,10,0,0,.368,.600,.232,30,84,84,5,1,166,83,.204,C,ALL (2)
19,la,20,,Brendan Tunink,815665,140,35,42,10,5,5,.417,.967,.550,17,27,51,9,2,50,77,.300,OF,ROK
19,pit,23,,Mitch Jebb,694991,445,55,118,11,6,0,.350,.667,.317,34,59,56,33,5,184,141,.265,SS,AA
19,sea,22,,Luis Suisbel,692044,427,62,90,15,1,23,.308,.720,.412,68,48,135,8,1,241,176,.211,3B,A+
19,cin,25,,Tyler Callihan,682997,95,19,28,4,2,4,.396,.901,.505,13,16,30,6,1,34,48,.295,LF,ALL (2)
19,nym,20,,Daiverson Gutierrez,806987,327,54,79,10,0,4,.362,.671,.309,41,53,58,6,4,171,101,.242,C,A
19,tor,20,,Sam Shaw,802511,252,44,60,11,3,7,.361,.750,.389,28,46,63,9,0,158,98,.238,OF,ALL (2)
19,phi,20,,TJayy Walton,807737,161,27,36,4,3,0,.315,.601,.286,17,20,63,15,5,75,46,.224,OF,ALL (2)
19,hou,22,,Lucas Spence,828599,422,76,103,31,3,10,.368,.771,.403,55,73,122,27,5,184,170,.244,OF,ALL (3)
19,cws,21,,Jeral Perez,800419,480,65,117,24,4,22,.315,.763,.448,70,44,112,10,3,215,215,.244,3B,A+
19,bos,20,,Yophery Rodriguez,806983,390,47,86,18,7,5,.316,.657,.341,48,53,84,10,6,178,133,.221,CF,ALL (2)
19,ana,20,,Dario Laverde,800188,373,39,80,13,2,4,.289,.581,.292,40,31,91,0,0,180,109,.214,C,ALL (2)
19,mil,20,,Eric Bitonti,800724,428,58,102,21,0,19,.341,.762,.421,77,66,169,17,10,245,180,.238,SS,A
19,tex,19,,Paulino Santana,815889,271,44,69,11,6,5,.330,.725,.395,32,25,94,11,8,110,107,.255,OF,ALL (2)
19,kc,18,,Ramcell Medina,829096,146,32,38,7,4,2,.398,.802,.404,25,31,26,7,2,69,59,.260,SS,ROK
19,ari,20,,Cristofer Torin,800198,488,83,142,26,3,6,.383,.776,.393,59,69,81,16,7,224,192,.291,SS,ALL (2)
20,oak,21,,Carlos Pacheco,800149,194,30,32,3,1,1,.337,.543,.206,19,40,65,19,2,95,40,.165,OF,ALL (3)
20,nyy,21,,Roderick Arias,703149,394,61,82,19,1,7,.325,.640,.315,53,65,134,34,10,184,124,.208,SS,A
20,chc,23,,Kade Snell,820835,96,12,16,3,1,0,.268,.487,.219,7,14,19,11,2,37,21,.167,OF,A+
20,tex,18,,Seong-Jun Kim,834605,12,1,2,0,1,0,.231,.564,.333,2,1,3,3,0,8,4,.167,SS,ROK
20,bos,22,,Allan Castro,691369,340,43,91,20,2,7,.353,.753,.400,37,44,79,15,3,135,136,.268,CF,AA
20,mia,21,,Max Williams,703637,67,6,18,1,0,0,.359,.643,.284,7,9,11,5,1,31,19,.269,OF,A
20,sea,18,,Kendry Martínez,829036,108,12,17,1,0,0,.308,.475,.167,10,21,37,1,3,76,18,.157,SS,ROK
20,sf,21,,Carlos Gutierrez,806872,248,60,87,11,4,2,.445,.897,.452,30,37,40,26,3,89,112,.351,OF,A
20,hou,21,,Luis Baez,800232,254,29,63,14,2,2,.312,.655,.343,28,23,74,7,1,128,87,.248,OF,ALL (2)
20,pit,22,,Omar Alfonzo,692657,404,56,98,18,1,14,.354,.750,.396,56,63,137,2,0,171,160,.243,C,ALL (2)
20,atl,20,,Luis Guanipa,806994,126,20,33,5,0,1,.345,.670,.325,15,14,20,2,1,43,41,.262,OF,ALL (2)
20,stl,23,,Blaze Jordan,691458,493,80,133,28,2,19,.331,.781,.450,99,43,60,5,1,234,222,.270,1B,ALL (3)
20,kc,23,,Carson Roccaforte,811287,462,81,119,30,7,18,.373,.843,.470,74,82,162,43,12,219,217,.258,OF,ALL (2)
20,cin,21,,Ricky Cabrera,703150,75,8,14,2,1,0,.276,.516,.240,7,8,25,0,2,45,18,.187,SS,A+
20,tb,25,,Dominic Keegan,681371,290,41,71,18,2,12,.322,.767,.445,40,32,97,0,1,152,129,.245,C,ALL (2)
20,was,24,,Orelvis Martinez,682619,336,38,59,17,1,13,.288,.636,.348,32,47,112,2,0,203,117,.176,2B,AAA
20,cle,21,,Aaron Walton,830239,63,9,15,5,1,1,.324,.721,.397,9,7,21,6,1,36,25,.238,OF,A
21,sf,22,,Trevor Cohen,701906,107,23,35,3,1,1,.438,.840,.402,15,20,15,8,2,42,43,.327,OF,A
21,pit,22,,Easton Carmichael,702695,50,3,6,0,0,1,.185,.365,.180,2,2,11,1,0,23,9,.120,C,A+
21,nyy,17,,Mani Cedeno,829041,164,41,30,5,3,3,.371,.676,.305,19,43,76,21,2,76,50,.183,SS,ROK
21,det,23,,Izaac Pacheco,691789,341,72,88,25,3,17,.388,.887,.499,68,74,123,0,0,185,170,.258,SS,A+
21,sd,23,,Romeo Sanabria,703804,452,54,116,18,0,12,.309,.685,.376,56,38,107,4,1,193,170,.257,1B,AA
21,nym,21,,Boston Baro,805951,393,43,88,16,5,4,.282,.603,.321,38,31,88,28,2,173,126,.224,SS,A+
21,phi,22,,John Spikerman,701811,210,29,47,7,2,3,.355,.674,.319,20,38,77,30,0,109,67,.224,OF,ALL (3)
21,mia,24,,Victor Mesa Jr.,683748,221,27,60,12,1,8,.344,.787,.443,39,24,37,4,1,94,98,.271,CF,ALL (3)
21,bal,18,,Wilfri De La Cruz,829043,120,26,31,11,3,0,.465,.865,.400,18,46,36,15,7,52,48,.258,SS,ALL (2)
21,cin,22,,Carlos Jorge,699115,406,66,102,16,4,6,.342,.697,.355,37,52,87,40,7,166,144,.251,SS,A+
21,min,22,,Khadim Diaw,813715,128,25,38,5,1,4,.450,.895,.445,24,20,30,4,1,69,57,.297,C,ALL (2)
21,chc,23,,Brett Bateman,703520,329,42,86,9,0,2,.376,.683,.307,33,61,82,19,6,125,101,.261,OF,AA
21,hou,21,,Alejandro Nunez,805168,360,44,97,19,2,8,.321,.721,.400,38,26,96,22,9,161,144,.269,SS,A+
21,oak,19,,Shotaro Morii,829679,151,39,39,8,1,3,.399,.783,.384,27,36,47,4,3,68,58,.258,SS,ROK
21,sea,25,,Brock Rodden,801126,157,24,46,10,0,5,.365,.817,.452,23,15,53,16,2,54,71,.293,SS,ALL (2)
21,was,24,,Yohandy Morales,691002,509,85,135,31,4,15,.339,.769,.430,71,57,164,7,2,230,219,.265,3B,ALL (2)
22,bal,20,,Aron Estrada,800406,389,52,112,16,8,10,.366,.813,.447,53,44,75,34,6,164,174,.288,2B,ALL (2)
22,mil,18,,Brailyn Antunez,829073,195,39,42,10,0,1,.353,.635,.282,25,30,41,21,6,95,55,.215,OF,ROK
22,cle,19,,Robert Arias,815897,164,33,47,11,1,2,.389,.791,.402,28,29,22,29,4,61,66,.287,OF,ROK
22,mia,22,,Deyvison De Los Santos,691277,412,57,99,11,1,12,.313,.672,.359,54,39,103,16,6,175,148,.240,3B,ALL (3)
22,stl,21,,Jack Gurevitch,813668,83,10,15,1,1,1,.303,.556,.253,4,13,33,5,1,50,21,.181,1B,A
22,phi,25,,Caleb Ricketts,681080,251,32,69,17,0,8,.315,.753,.438,34,14,47,0,1,113,110,.275,C,ALL (3)
22,sf,24,,Parks Harber,692238,291,52,94,21,3,13,.420,.970,.550,64,44,79,6,2,142,160,.323,3B,ALL (3)
22,pit,24,,Jack Brannigan,687394,204,29,46,8,2,5,.329,.687,.358,30,25,62,9,0,94,73,.225,SS,AA
22,tb,22,,Austin Overn,702556,401,74,100,13,4,13,.355,.754,.399,43,62,130,64,8,174,160,.249,OF,ALL (2)
22,det,20,,Jude Warwick,827672,226,43,58,11,0,3,.372,.717,.345,31,29,59,28,6,106,78,.257,SS,ALL (2)
22,cin,21,,Leo Balcazar,699114,491,69,129,20,1,12,.339,.720,.381,57,52,75,8,5,218,187,.263,SS,ALL (2)
22,nyy,21,,Wilson Rodriguez,815147,177,23,44,8,2,4,.349,.733,.384,21,25,37,11,4,76,68,.249,OF,ALL (2)
23,hou,20,,Kenni Gomez,703198,341,34,79,18,2,6,.274,.623,.349,48,20,100,22,7,167,119,.232,OF,A+
23,nyy,23,,Dylan Jasso,815734,478,62,123,17,6,13,.326,.726,.400,76,42,130,1,2,204,191,.257,3B,AA
23,bos,19,,Conrad Cason,815359,4,0,1,0,0,0,.250,.500,.250,1,0,2,0,0,5,1,.250,ROK
23,phi,21,,Kehden Hettiger,800607,353,43,77,21,2,9,.322,.687,.365,55,54,120,2,1,159,129,.218,C,ALL (3)
23,cle,18,,Dauri Fernandez,821171,178,36,58,10,4,6,.380,.908,.528,30,16,25,18,4,89,94,.326,2B,ALL (2)
23,sf,22,,Diego Velasquez,694196,473,60,121,20,1,2,.362,.677,.315,32,70,81,19,6,157,149,.256,SS,AA
23,mia,23,,Maximo Acosta,691185,464,63,103,14,3,16,.312,.681,.369,55,56,140,34,11,206,171,.222,SS,ALL (2)
23,cws,21,,Alexander Albertus,800316,18,4,6,2,0,0,.520,.964,.444,2,6,3,3,0,5,8,.333,SS,ROK
23,ari,19,,Yassel Soler,807957,342,42,82,13,2,12,.342,.737,.395,46,42,90,5,0,189,135,.240,3B,A
23,det,25,,Eduardo Valencia,680664,379,64,118,18,2,24,.382,.941,.559,95,43,86,0,0,204,212,.311,C,ALL (2)
23,bal,20,,Cobb Hightower,826932,243,39,59,10,1,2,.354,.671,.317,28,38,52,14,2,104,77,.243,SS,ALL (2)
23,ana,18,,Hayden Alvarez,820986,244,50,83,10,3,2,.435,.865,.430,44,41,49,33,9,105,105,.340,OF,ALL (2)
23,oak,19,,Edgar Montero,815911,176,47,55,14,3,9,.484,1.064,.580,50,60,54,11,4,88,102,.313,SS,ROK
23,tb,22,,Cooper Kinney,695692,458,54,111,21,3,13,.299,.685,.386,62,36,125,0,1,210,177,.242,2B,AA
23,pit,21,,Jhonny Severino,703177,423,44,91,24,2,11,.277,.636,.359,49,32,118,10,8,188,152,.215,SS,A
23,col,21,,Andy Perez,700321,493,63,130,27,3,9,.304,.689,.385,65,25,94,22,4,220,190,.264,SS,ALL (2)
24,kc,24,,Gavin Cross,688457,465,75,112,23,3,17,.291,.704,.413,64,33,134,23,5,233,192,.241,OF,AA
24,cle,18,,Gabriel Rodriguez,821657,102,21,30,4,2,1,.393,.795,.402,15,15,23,11,2,43,41,.294,SS,ROK
24,nym,19,,Yovanny Rodriguez,815898,136,26,45,14,1,2,.446,.939,.493,26,25,39,3,0,50,67,.331,C,ALL (2)
24,tex,21,,Anthony Gutierrez,703152,337,53,87,15,0,2,.333,.653,.320,28,31,79,48,9,166,108,.258,CF,A+
24,mia,19,,Carter Johnson,815793,406,42,72,17,4,3,.275,.536,.261,43,47,134,11,3,231,106,.177,SS,A
24,nyy,22,,Jace Avina,701778,346,55,90,24,0,11,.366,.791,.425,45,49,104,5,3,165,147,.260,LF,ALL (2)
24,was,18,,Brayan Cortesia,829049,120,26,38,3,1,0,.440,.798,.358,12,25,25,22,13,53,43,.317,SS,ROK
24,col,20,,Kelvin Hidalgo,800193,449,65,111,21,4,5,.311,.656,.345,52,37,125,43,6,187,155,.247,SS,A
24,tb,24,,Colton Ledbetter,807742,465,67,123,24,4,7,.337,.715,.378,49,51,128,37,11,178,176,.265,OF,AA
24,ari,20,,Carlos Virahonda,808024,250,43,75,12,1,4,.413,.817,.404,34,27,52,4,2,108,101,.300,C,ALL (2)
24,det,21,,Nick Dumesnil,825094,59,12,12,5,0,0,.390,.678,.288,5,17,14,9,2,30,17,.203,OF,A
24,bal,20,,Jordan Sanchez,820847,172,34,50,16,3,7,.410,.951,.541,49,31,62,3,2,90,93,.291,OF,ALL (2)
24,la,21,,Kendall George,806077,424,93,125,9,7,3,.409,.779,.370,34,84,78,100,24,152,157,.295,OF,A+
24,chc,20,,Angel Cepeda,806980,381,47,95,14,5,8,.339,.714,.375,49,40,136,27,7,165,143,.249,SS,A
24,mil,25,,Tyler Black,672012,261,41,68,13,3,5,.394,.785,.391,40,56,75,22,5,106,102,.261,3B,ALL (3)
25,oak,24,,Brennan Milone,686810,425,76,103,21,2,14,.353,.753,.400,62,69,113,6,2,211,170,.242,3B,ALL (2)
25,hou,20,,Nehomar Ochoa Jr.,806441,95,13,15,1,0,1,.229,.429,.200,5,8,34,1,2,53,19,.158,OF,ALL (2)
25,sd,20,,Rosman Verdugo,698916,404,59,83,15,3,13,.339,.693,.354,43,72,158,6,3,214,143,.205,SS,A+
25,kc,25,,Javi Vaz,805834,387,70,99,16,1,3,.360,.686,.326,31,54,43,25,3,144,126,.256,OF,AA
25,la,23,,Noah Miller,695653,354,49,92,17,2,5,.303,.665,.362,51,23,69,1,0,174,128,.260,SS,ALL (3)
25,ana,22,,Raudi Rodriguez,804558,481,90,135,21,14,14,.372,.842,.470,83,63,130,38,6,250,226,.281,OF,A
25,col,22,,Cole Messina,701783,384,49,99,23,1,7,.354,.732,.378,42,51,73,14,6,165,145,.258,C,ALL (2)
25,nyy,25,,T.J. Rumfield,681198,499,85,142,31,1,16,.378,.825,.447,87,70,108,5,2,239,223,.285,1B,AAA
25,was,17,,Daniel Hernandez,829747,138,19,31,7,0,0,.277,.552,.275,11,8,16,3,2,59,38,.225,C,ROK
25,bos,21,,Johanfran Garcia,703190,211,37,55,7,0,12,.328,.792,.464,41,19,68,1,0,90,98,.261,C,ALL (2)
25,min,22,,Hendry Mendez,694230,408,68,122,16,4,11,.399,.838,.439,62,67,65,10,4,167,179,.299,OF,ALL (2)
25,stl,21,,Deniel Ortiz,811765,370,61,111,19,1,13,.416,.878,.462,51,67,117,39,9,177,171,.300,3B,ALL (2)
26,stl,24,,Chase Davis,690971,414,61,100,16,0,10,.358,.711,.353,48,67,146,9,2,178,146,.242,OF,AA
26,kc,18,,Moises Marchán,829081,98,14,29,5,2,0,.369,.757,.388,11,9,20,6,1,45,38,.296,C,ROK
26,was,22,,Sam Petersen,695763,184,44,57,8,2,7,.416,.905,.489,28,26,42,23,1,56,90,.310,OF,ALL (3)
26,tor,22,,Sean Keys,815873,424,67,92,22,1,19,.365,.773,.408,72,86,117,8,1,220,173,.217,3B,A+
26,mia,23,,Fenwick Trimble,814458,296,39,75,19,2,7,.372,.774,.402,41,49,67,31,4,133,119,.253,OF,ALL (3)
26,ana,19,,Marlon Quintero,821238,223,28,66,11,0,1,.324,.683,.359,41,9,41,7,0,104,80,.296,C,ALL (2)
26,sd,18,,Truitt Madonna,833008,54,4,10,3,1,0,.267,.545,.278,5,6,23,0,0,29,15,.185,C,A
26,ari,22,,Gavin Conticello,695521,444,67,122,27,4,12,.369,.804,.435,67,59,110,4,5,233,193,.275,3B,AA
26,min,24,,Ricardo Olivar,691627,352,56,93,13,0,13,.356,.768,.412,59,49,74,13,3,172,145,.264,C,AA
26,la,21,,Jaron Elkins,814696,447,81,118,30,5,9,.350,.764,.414,72,45,153,63,6,234,185,.264,OF,A
26,bos,18,,Enddy Azocar,821150,310,40,72,16,2,6,.302,.657,.355,31,27,78,15,3,137,110,.232,OF,ALL (2)
26,sea,22,,Carlos Jimenez,692039,418,75,108,17,4,14,.358,.777,.419,63,60,116,30,13,189,175,.258,CF,A
27,oak,23,,Bobby Boser,804119,114,18,23,3,1,2,.368,.666,.298,15,22,42,1,1,52,34,.202,SS,A
27,tor,21,,Cutter Coffey,702690,384,68,105,26,0,11,.359,.786,.427,62,47,100,10,3,192,164,.273,3B,A+
27,ana,20,,Randy De Jesus,703194,421,42,78,11,0,18,.280,.620,.340,55,49,164,3,2,218,143,.185,OF,A+
27,mil,23,,Mike Boeve,801670,264,36,63,8,2,5,.336,.677,.341,29,35,68,8,0,141,90,.239,3B,ALL (2)
27,la,22,,Zach Ehrhard,701394,453,85,123,30,2,14,.374,.813,.439,65,67,97,37,4,196,199,.272,OF,ALL (3)
27,ari,22,,Avery Owusu-Asiedu,801938,353,71,91,16,4,7,.366,.751,.385,44,58,102,33,5,179,136,.258,CF,ALL (2)
27,was,21,,Cristhian Vaquero,703143,379,54,97,13,8,8,.342,.738,.396,47,46,110,27,5,155,150,.256,OF,A
27,phi,20,,Alirio Ferrebus,808232,250,37,59,11,1,5,.308,.656,.348,43,17,45,2,1,126,87,.236,C,ALL (2)
27,det,19,,Nestor Miranda,815930,116,17,30,3,2,6,.370,.844,.474,24,15,39,3,4,60,55,.259,3B,ROK
27,bos,19,,Jorge Rodriguez,821772,83,10,24,1,0,3,.359,.769,.410,17,8,17,8,5,26,34,.289,C,ROK
27,col,21,,Tanner Thach,805880,68,7,19,2,0,2,.375,.772,.397,15,8,19,1,0,33,27,.279,1B,A
27,tex,19,,Braylin Morel,808281,232,29,59,14,2,5,.293,.690,.397,28,10,66,3,1,110,92,.254,OF,ALL (2)
