rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position,sportAbbrev
3,atl,19,,Tate Southisene,816111,64,10,14,3,1,0,.242,.539,.297,6,1,27,3,0,26,19,.219,SS,A
3,det,21,,Josue Briceño,800522,364,60,97,19,3,20,.383,.883,.500,76,66,87,1,1,167,182,.266,C,ALL (2)
3,hou,23,,Walker Janek,801075,358,58,94,21,2,12,.333,.766,.433,46,30,106,30,2,145,155,.263,C,A+
3,cle,21,,Angel Genao,694197,335,49,88,17,4,5,.332,.714,.382,42,35,58,6,1,154,128,.263,3B,ALL (2)
3,sf,21,,Gavin Kilen,702264,39,5,8,1,1,0,.279,.561,.282,5,3,5,0,0,19,11,.205,SS,A
3,la,20,,Eduardo Quintero,808234,433,101,127,22,7,19,.415,.923,.508,69,88,123,47,13,210,220,.293,OF,ALL (2)
3,col,23,,Cole Carrigg,694249,477,81,113,18,6,15,.316,.710,.394,64,45,145,46,10,182,188,.237,OF,AA
3,ari,19,,Kayson Cunningham,815617,47,2,12,1,0,0,.308,.585,.277,4,3,15,1,1,25,13,.255,SS,A
3,nym,22,,Jett Williams,702518,486,91,127,34,7,17,.363,.828,.465,52,76,131,34,9,178,226,.261,SS,ALL (2)
3,bal,22,,Ike Irish,702610,74,9,17,2,0,1,.296,.593,.297,12,6,19,3,0,39,22,.230,C,A
3,phi,21,,Justin Crawford,702222,440,88,147,23,4,7,.411,.863,.452,47,58,91,46,11,137,199,.334,OF,AAA
3,min,19,,Eduardo Tait,806953,438,54,111,32,1,14,.311,.738,.427,71,36,99,0,0,212,187,.253,C,ALL (3)
3,cin,19,,Tyson Lewis,815653,315,65,98,16,6,9,.376,.862,.486,54,29,102,27,8,159,153,.311,SS,ALL (2)
4,stl,21,,Leonardo Bernal,699024,396,58,98,19,0,13,.332,.726,.394,70,49,77,13,3,191,156,.247,C,AA
4,mil,23,,Jeferson Quero,691620,251,42,68,17,1,11,.361,.839,.478,57,32,40,2,0,128,120,.271,C,ALL (2)
4,ari,21,,Demetrio Crisantes,702679,123,18,31,8,0,4,.358,.773,.415,29,21,19,6,1,79,51,.252,SS,A+
4,nyy,24,,Spencer Jones,682987,438,102,120,23,1,35,.362,.933,.571,80,58,179,29,6,204,250,.274,CF,ALL (2)
4,chc,20,,Jefferson Rojas,800473,398,67,94,19,4,11,.343,.730,.387,59,58,81,19,3,168,154,.236,SS,ALL (2)
4,cws,20,,Caleb Bonemer,815352,385,77,108,30,4,12,.401,.874,.473,64,75,101,29,8,163,182,.281,SS,ALL (2)
4,bal,24,,Enrique Bradfield Jr.,690961,264,49,64,15,2,3,.348,.696,.348,19,41,66,36,4,86,92,.242,OF,ALL (4)
4,atl,21,,Alex Lodise,822676,103,11,26,10,1,1,.294,.692,.398,9,5,42,2,1,51,41,.252,SS,A+
4,mia,23,,Joe Mack,691788,408,70,105,22,2,21,.338,.813,.475,58,45,127,9,3,179,194,.257,C,ALL (2)
4,cle,23,,Cooper Ingle,694876,415,68,108,36,0,10,.389,.808,.419,55,86,85,0,2,168,174,.260,C,ALL (2)
4,det,20,,Bryce Rainer,800614,125,19,36,5,0,5,.383,.831,.448,22,20,33,9,3,60,56,.288,SS,A
4,col,20,,Robert Calaz,806978,371,50,96,16,3,10,.338,.737,.399,55,37,110,7,3,182,148,.259,OF,A
4,la,24,,Alex Freeland,690976,499,87,125,32,1,18,.369,.796,.427,88,94,146,19,6,227,213,.251,SS,ALL (2)
4,tb,25,,Jacob Melton,689200,196,33,47,16,1,6,.336,.759,.423,24,28,59,19,5,84,83,.240,LF,ALL (2)
4,sf,18,,Jhonny Level,815929,346,80,93,12,5,12,.360,.796,.436,50,50,70,21,7,124,151,.269,SS,ALL (2)
