yahoo_team_id,team_name,manager_name,fbp_abbr,player_id,player_key,name,first_name,last_name,position,eligible_positions,team,team_full,status,ownership_type,owned_by,percent_owned
2,Btwn2Jackies,Lauren,B2J,9718,458.p.9718,J.T. Realmuto,J.T.,Realmuto,C,,PHI,Philadelphia Phillies,NA,team,458.l.15505.t.2,77
10,Rick Vaughn,Richard,RV,9724,458.p.9724,Eugenio Suárez,Eugenio,Suárez,3B,,SEA,Seattle Mariners,NA,team,458.l.15505.t.10,95
4,Hammers,Nathan,HAM,9750,458.p.9750,Jorge Polanco,Jorge,Polanco,"2B,3B",,NYM,New York Mets,,team,458.l.15505.t.4,73
11,The Bluke Blokes,Blake,TBB,9758,458.p.9758,Kyle Hendricks,Kyle,Hendricks,"SP,RP",,LAA,Los Angeles Angels,NA,team,458.l.15505.t.11,9
11,The Bluke Blokes,Blake,TBB,9799,458.p.9799,Chris Bassitt,Chris,Bassitt,SP,,TOR,Toronto Blue Jays,NA,team,458.l.15505.t.11,57
2,Btwn2Jackies,Lauren,B2J,9815,458.p.9815,Yimi García,Yimi,García,RP,,TOR,Toronto Blue Jays,IL60,team,458.l.15505.t.2,2
1,Whiz Kids,Kyle,WIZ,9823,458.p.9823,Carlos Rodón,Carlos,Rodón,SP,,NYY,New York Yankees,DTD,team,458.l.15505.t.1,92
3,Country Fried Lamb,Jake,CFL,9846,458.p.9846,Christian Walker,Christian,Walker,1B,,HOU,Houston Astros,,team,458.l.15505.t.3,76
8,not much of a donkey,ben,SAD,9861,458.p.9861,Kyle Schwarber,Kyle,Schwarber,OF,,PHI,Philadelphia Phillies,,team,458.l.15505.t.8,99
12,Weekend Warriors,Zach,WAR,9868,458.p.9868,Sean Newcomb,Sean,Newcomb,"SP,RP",,CWS,Chicago White Sox,DTD,team,458.l.15505.t.12,2
2,Btwn2Jackies,Lauren,B2J,9876,458.p.9876,Brandon Nimmo,Brandon,Nimmo,CF,,TEX,Texas Rangers,,team,458.l.15505.t.2,86
