FBP_Team,manager,name,team,position,player_type,contract_type,status,years_simple,yahoo_id,upid
JEP,Jepordizers!,Winston Santos,TEX,RHP,Farm,Farm Contract,[7] P,P,,4726
JEP,Jepordizers!,Wilyer Abreu,BOS,CF,MLB,Keeper Contract,[5] TC1,TC 1,,4727
JEP,Jepordizers!,Emiliano Teodo,TEX,RHP,Farm,Farm Contract,[7] P,P,,6072
JEP,Jepordizers!,Grant Holmes,ATL,"SP, RP",MLB,Keeper Contract,[5] TC1,TC 1,,6209
JEP,Jepordizers!,Tobias Myers,MIL,SP,MLB,Keeper Contract,[5] TC1,TC 1,,6283
JEP,Jepordizers!,Ignacio Alvarez,ATL,3B,Farm,Purchased Contract,[7] P,P,,6476
JEP,Jepordizers!,Dylan Crews,WSH,OF,Farm,Purchased Contract,[7] P,P,,6562
B2J,Btwn2Jackies,Thomas White,MIA,LHP,Farm,Purchased Contract,[7] P,P,,6581
JEP,Jepordizers!,Bryce Eldridge,SF,1B,Farm,Development Cont.,[7] P,P,,6599
JEP,Jepordizers!,Luke Keaschall,MIN,2B,Farm,Purchased Contract,[7] P,P,,6720
JEP,Jepordizers!,Cory Lewis,MIN,RHP,Farm,Purchased Contract,[7] P,P,,6874
JEP,Jepordizers!,Roki Sasaki,LAD,RHP,Farm,Purchased Contract,[7] P,P,,7540
JEP,Jepordizers!,Hagen Smith,CWS,LHP,Farm,Development Cont.,[7] P,P,,7674
LFB,La Flama Blanca,Mookie Betts,LAD,"2B,CF",MLB,Keeper Contract,[3] VC1,VC 1,9552,1879
LFB,La Flama Blanca,Gleyber Torres,DET,"2B,SS",MLB,Keeper Contract,[5] TC1,TC 1,10236,1905
LFB,La Flama Blanca,Fernando Tatis Jr.,SD,"SS,CF",MLB,Keeper Contract,[1] FC1,FC 1,10639,1945
LFB,La Flama Blanca,Brandon Woodruff,MIL,P,MLB,Keeper Contract,[4] TC2,TC 2,10730,1903
LFB,La Flama Blanca,Zac Veen,COL,OF,Farm,Purchased Contract,[7] P,P,,3454
LFB,La Flama Blanca,Emmanuel Rodriguez,MIN,OF,Farm,Purchased Contract,[7] P,P,,2450
LFB,La Flama Blanca,Jake Burger,TEX,"1B, 3B",MLB,Keeper Contract,[4] TC2,TC 2,,2588
LFB,La Flama Blanca,Jazz Chisholm Jr.,NYY,"2B,SS",MLB,Keeper Contract,[2] VC2,VC 2,10839,2636
LFB,La Flama Blanca,Jesús Luzardo,PHI,P,MLB,Keeper Contract,[5] TC1,TC 1,10627,2654
LFB,La Flama Blanca,Kyle Finnegan,WSH,RP,MLB,Keeper Contract,[5] TC1,TC 1,,2854
LFB,La Flama Blanca,Jarlin Susana,WSH,RHP,Farm,Purchased Contract,[7] P,P,,3875
LFB,La Flama Blanca,Randy Arozarena,SEA,OF,MLB,Keeper Contract,[5] TC1,TC 1,11104,3116
LFB,La Flama Blanca,Shane McClanahan,TB,P,MLB,Keeper Contract,[4] TC2,TC 2,11398,3228
LFB,La Flama Blanca,Tarik Skubal,DET,P,MLB,Keeper Contract,[3] VC1,VC 1,11763,3266
LFB,La Flama Blanca,Andrew Salas,MIA,SS,Farm,Farm Contract,[7] P,P,,3407
LFB,La Flama Blanca,Francisco Alvarez,NYM,C,MLB,Keeper Contract,[5] TC1,TC 1,,3435
LFB,La Flama Blanca,Grayson Rodriguez,BAL,SP,MLB,Keeper Contract,[4] TC2,TC 2,,3437
LFB,La Flama Blanca,Shea Langeliers,OAK,C,MLB,Keeper Contract,[5] TC1,TC 1,,3462
LFB,La Flama Blanca,Taj Bradley,TB,SP,MLB,Keeper Contract,[5] TC1,TC 1,,3464
LFB,La Flama Blanca,Ezequiel Tovar,COL,SS,MLB,Keeper Contract,[3] VC1,VC 1,,3488
LFB,La Flama Blanca,Harry Ford,SEA,C,Farm,Purchased Contract,[7] P,P,,3499
LFB,La Flama Blanca,Jordan Westburg,BAL,"2B, 3B",MLB,Keeper Contract,[4] TC2,TC 2,,3523
LFB,La Flama Blanca,Coby Mayo,BAL,3B,Farm,Purchased Contract,[7] P,P,,3559
LFB,La Flama Blanca,Chase Petty,CIN,RHP,Farm,Farm Contract,[7] P,P,,3607
LFB,La Flama Blanca,Parker Meadows,DET,CF,MLB,Keeper Contract,[5] TC1,TC 1,,3644
LFB,La Flama Blanca,Roderick Arias,NYY,SS,Farm,Development Cont.,[7] P,P,,3746
LFB,La Flama Blanca,Simeon Woods Richardson,MIN,SP,MLB,Keeper Contract,[5] TC1,TC 1,,3781
