FBP_Team,manager,name,team,position,player_type,contract_type,status,years_simple,yahoo_id,upid
RV,Rick Vaughn,A.J. Puk,AZ,"SP, RP",MLB,Keeper Contract,[5] TC1,TC 1,,4080
DRO,Andromedans,Shane Baz,TB,SP,MLB,Keeper Contract,[4] TC2,TC 2,,4101
RV,Rick Vaughn,Ceddanne Rafaela,BOS,"2B, SS, CF",MLB,Keeper Contract,[5] TC1,TC 1,,4462
RV,Rick Vaughn,Yoniel Curet,TB,RHP,Farm,Farm Contract,[7] P,P,,4609
RV,Rick Vaughn,Sebastian Walcott,TEX,SS,Farm,Purchased Contract,[7] P,P,,6141
RV,Rick Vaughn,Tim Herrin,CLE,RP,MLB,Keeper Contract,[5] TC1,TC 1,,6367
RV,Rick Vaughn,Alex Freeland,LAD,SS,Farm,Purchased Contract,[7] P,P,,6543
RV,Rick Vaughn,Chase Dollander,COL,RHP,Farm,Purchased Contract,[7] P,P,,6572
RV,Rick Vaughn,Kyle Teel,CWS,C,Farm,Purchased Contract,[7] P,P,,6573
RV,Rick Vaughn,Cooper Pratt,MIL,SS,Farm,Farm Contract,[7] P,P,,6583
RV,Rick Vaughn,Kristian Campbell,BOS,2B,Farm,Purchased Contract,[7] P,P,,6707
RV,Rick Vaughn,Lucas Erceg,KC,RP,MLB,Keeper Contract,[5] TC1,TC 1,,6784
RV,Rick Vaughn,Drue Hackenberg,ATL,RHP,Farm,Farm Contract,[7] P,P,,6785
RV,Rick Vaughn,Robert Calaz,COL,OF,Farm,Development Cont.,[7] P,P,,6834
RV,Rick Vaughn,Aidan Smith,TB,OF,Farm,Farm Contract,[7] P,P,,6888
