UPID,Rank,Player,Team,Position,School,Level,eta,Age,Height / Weight,Bats,Throws,FV,composite score
8131,245,Ethan Grim,,RHP,Governor Mifflin (PA),-,-,18,"6' 0"" / 190 lbs",R,R,0,175
8117,246,CJ Gray,LAA,RHP,Brown (NC),ROK,2029,18,"6' 2"" / 205 lbs",R,R,37.5,186.4285714
8133,247,Cam Maldonado,,OF,Northeastern,A,2028,22,"6' 3"" / 200 lbs",R,R,0,176.4285714
8134,248,Nic Partridge,,3B,Florida,-,-,19,"6' 2"" / 170 lbs",L,R,0,177.1428571
8135,249,Antoine Jean,,LHP,Houston,ROK,-,24,"6' 2"" / 190 lbs",R,L,0,177.8571429
8136,250,Kyle McCoy,,LHP,Maryland,ROK,-,21,"6' 6"" / 205 lbs",L,L,0,178.5714286
8137,251,Jack Anker,,RHP,Fresno State,A,-,21,"6' 2"" / 200 lbs",R,R,0,179.2857143
8138,252,Brody Irlbeck,,LHP,Staley (MO),-,-,18,"6' 0"" / 175 lbs",L,L,0,180
8124,253,Brooks Bryan,,C,Troy,ROK,-,21,"6' 2"" / 222 lbs",L,R,37.5,191.4285714
8139,254,Michael Winter,,RHP,Texas,-,-,18,"6' 5"" / 235 lbs",R,R,0,181.4285714
8123,255,Aidan Teel,,OF,Mississippi State,-,-,21,"6' 0"" / 195 lbs",L,R,42.5,194.2857143
8140,256,Peter Kussow,,RHP,Arrowhead Union (WI),ROK,2029,19,"6' 5"" / 205 lbs",R,R,0,182.8571429
8142,257,Gabe Graulau,,OF,Jupiter (FL),-,-,19,"6' 3"" / 200 lbs",R,R,0,183.5714286
8143,258,Remo Indomenico,,OF,The First Academy (FL),-,-,18,"6' 0"" / 185 lbs",L,L,0,184.2857143
8144,259,Ben Abeldt,,LHP,Texas Christian,ROK,-,22,"6' 3"" / 210 lbs",R,L,0,185
8145,260,Trace Phillips,,RHP,Middle Tennessee State,ROK,-,21,"6' 4"" / 205 lbs",R,R,0,185.7142857
8148,261,Dominick Reid,CHC,RHP,Abilene Christian,ROK,2028,22,"6' 3"" / 201 lbs",R,R,,186.4285714
8132,262,Chris Arroyo,MIA,1B/OF,Virginia,A,-,21,"6' 2"" / 225 lbs",L,L,42.5,199.2857143
8149,263,Michael Salina,,RHP,St. Bonaventure,ROK,2028,21,"6' 1"" / 215 lbs",R,R,0,187.8571429
8150,264,Payton Graham,,RHP,Gonzaga,ROK,-,22,"6' 2"" / 220 lbs",R,R,0,188.5714286
8151,265,Alan Soler,,LHP,True North (FL),-,-,19,"6' 3"" / 173 lbs",S,L,0,189.2857143
8152,266,Justice de Jong,,RHP,Poly Prep (NY),-,-,18,"6' 3"" / 210 lbs",R,R,0,190
8153,267,Isaiah Jackson,,OF,Arizona State,A,2028,21,"6' 3"" / 220 lbs",L,R,0,190.7142857
8154,268,Sean Episcope,,RHP,Princeton,ROK,-,21,"6' 0"" / 210 lbs",R,R,0,191.4285714
8141,269,Dylan Dubovik,,OF/3B,American Heritage (FL),-,-,18,"6' 4"" / 210 lbs",R,R,37.5,202.8571429
8157,270,Diego Velazquez,,SS,Crespi Carmelite (CA),-,-,18,"6' 2"" / 200 lbs",L,R,0,192.8571429
8159,271,Camden Lohman,,RHP,Fort Zumwalt North (MO),ROK,2029,19,"6' 4"" / 195 lbs",R,R,0,193.5714286
8160,272,Conor Essenburg,,OF,Lincoln-Way West (IL),ROK,2029,19,"6' 2"" / 200 lbs",R,L,0,194.2857143
8161,273,Carson Brumbaugh,,SS,Santa Fe (OK),-,-,19,"6' 2"" / 198 lbs",R,R,0,195
8146,274,Cade Crossland,STL,LHP,Oklahoma,ROK,2028,21,"6' 2"" / 210 lbs",R,L,40,207.1428571
8162,275,Maximus Martin,,SS/OF,Kansas State,A+,-,22,"6' 0"" / 190 lbs",R,R,0,196.4285714
8147,276,Landon Beidelschies,ATL,LHP,Arkansas,A,2028,21,"6' 3"" / 230 lbs",L,L,40,208.5714286
8163,277,Matt Klein,,C,Louisville,A,-,22,"6' 2"" / 210 lbs",L,R,0,197.8571429
8164,278,Sawyer Hawks,,RHP,Vanderbilt,A,-,22,"6' 4"" / 225 lbs",R,R,0,198.5714286
8165,279,Gabe Craig,,RHP,Baylor,A,-,24,"6' 5"" / 209 lbs",R,R,0,199.2857143
8166,280,Kade Snell,,OF,Alabama,A+,2028,23,"6' 1"" / 220 lbs",L,L,0,200
8167,281,Jake McCutcheon,,OF,Missouri State,A,-,22,"6' 0"" / 195 lbs",L,R,0,200.7142857
7008,282,Zane Adams,,LHP,Alabama,-,-,21,"6' 4"" / 195 lbs",L,L,0,201.4285714
8169,283,Brandon Arvidson,,LHP,Tennessee,-,-,21,"6' 5"" / 215 lbs",R,L,0,202.1428571
8170,284,Christian Foutch,,RHP,Arkansas,-,-,22,"6' 3"" / 240 lbs",R,R,0,202.8571429
8155,285,Joey Volini,MIA,LHP,Florida State,A+,-,23,"6' 4"" / 247 lbs",L,L,40,215
8171,286,Ryan DeSanto,,LHP,Penn State,ROK,-,22,"6' 4"" / 218 lbs",L,L,0,204.2857143
8172,287,Charlie Willcox,,RHP,South Walton (FL),-,-,19,"6' 4"" / 210 lbs",S,R,0,205
8156,288,Mason Ligenza,LAD,OF,Tamaqua Area (PA),-,-,18,"6' 5"" / 197 lbs",L,L,42.5,217.8571429
8173,289,Bruin Agbayani,,SS,St. Louis (HI),A,-,18,"6' 2"" / 185 lbs",L,R,0,206.4285714
8158,290,Michael Oliveto,DET,C,Hauppauge (NY),ROK,2029,18,"6' 3"" / 185 lbs",L,R,42.5,219.2857143
8175,291,Griffin Stieg,,RHP,Virginia Tech,-,-,22,"6' 4"" / 220 lbs",R,R,0,207.8571429
8176,292,Ben Moore,,LHP,Old Dominion,A,-,21,"6' 4"" / 215 lbs",L,L,0,208.5714286
8177,293,Cal Scolari,,RHP,Oregon,-,-,21,"6' 4"" / 200 lbs",R,R,0,209.2857143
8178,294,Brady Dallimore,,C/OF,Texas Christian,-,-,19,"6' 4"" / 230 lbs",R,R,0,210
8179,295,Anthony Pack Jr.,,OF,Millikan (CA),-,-,19,"5' 10"" / 160 lbs",L,L,0,210.7142857
8180,296,Joe Ariola,,LHP,Wake Forest,ROK,-,21,"6' 2"" / 190 lbs",L,L,0,211.4285714
8182,297,Joshua Flores,,RHP,Lake Central (IN),ROK,-,18,"6' 1"" / 205 lbs",R,R,0,212.1428571
8183,298,Mario Magana,,3B/SS,Columbus (FL),-,-,19,"6' 3"" / 190 lbs",S,R,0,212.8571429
8184,299,Ryan Weingartner,,SS,Penn State,A,-,21,"5' 11"" / 184 lbs",R,R,0,213.5714286
8185,300,Jase Mitchell,,C,Cape Henlopen (DE),ROK,2029,19,"6' 3"" / 205 lbs",L,R,0,214.2857143
8186,301,Boston Kellner,,3B,Hamilton (AZ),-,-,19,"6' 0"" / 195 lbs",R,R,0,215
8187,302,Brody Donay,,C,Florida,A,-,22,"6' 5"" / 235 lbs",R,R,0,215.7142857
8188,303,Nick Frusco,,LHP,Miller Place (NY),-,-,18,"6' 4"" / 208 lbs",L,L,0,216.4285714
8174,304,Jalin Flores,,SS,Texas,A,-,22,"6' 2"" / 210 lbs",R,R,37.5,227.8571429
8189,305,Kelvyn Paulino Jr.,,3B,IMG Academy (FL),-,-,19,"6' 1"" / 195 lbs",R,R,0,217.8571429
8181,306,Ty Peeples,,OF,Franklin County (GA),-,-,19,"6' 2"" / 185 lbs",L,R,37.5,229.2857143
