upid,name,manager,player_type,contract_type,status,years_simple
4193,Ray Kerr,,MLB,,[5] TC1,TC 1
4237,Mason Black,,MLB,,[5] TC1,TC 1
4241,Chase Silseth,,MLB,,[5] TC1,TC 1
4267,Andrew Nardi,,MLB,,[5] TC1,TC 1
4289,Nick Frasso,,MLB,,[5] TC1,TC 1
4296,Allan Winans,,MLB,,[5] TC1,TC 1
4299,Dylan Dodd,,MLB,,[5] TC1,TC 1
4300,Jack Suwinski,,MLB,,[5] TC1,TC 1
4307,Mike Vasil,,MLB,,[5] TC1,TC 1
4318,Sean Bouchard,,MLB,,[5] TC1,TC 1
4320,Conner Capel,,MLB,,[5] TC1,TC 1
4336,Nolan Gorman,,MLB,,[5] TC1,TC 1
4340,James Outman,,MLB,,[5] TC1,TC 1
4383,Canaan Smith-Njigba,,MLB,,[5] TC1,TC 1
4389,Bryce Johnson,,MLB,,[5] TC1,TC 1
4416,Carlos Pérez,,MLB,,[5] TC1,TC 1
4445,Spencer Torkelson,,MLB,,[5] TC1,TC 1
4457,Michael Siani,,MLB,,[5] TC1,TC 1
4461,Alexander Canario,,MLB,,[5] TC1,TC 1
4464,Anthony Garcia,,MLB,,[5] TC1,TC 1
4488,Austin Shenton,,MLB,,[5] TC1,TC 1
4508,Christian Franklin,,MLB,,[5] TC1,TC 1
4520,Noah Song,,MLB,,[5] TC1,TC 1
4537,Tyler Gentry,,MLB,,[5] TC1,TC 1
4559,Jackson Wolf,,MLB,,[5] TC1,TC 1
4567,Landen Roupp,,MLB,,[5] TC1,TC 1
4600,Jacob Amaya,,MLB,,[5] TC1,TC 1
4624,Drew Rom,,MLB,,[5] TC1,TC 1
4664,Shane Drohan,,MLB,,[5] TC1,TC 1
4670,Brett Harris,,MLB,,[5] TC1,TC 1
4790,Troy Johnston,,MLB,,[5] TC1,TC 1
4795,Trey Cabbage,,MLB,,[5] TC1,TC 1
4870,Ryan Noda,,MLB,,[5] TC1,TC 1
4963,Pedro Pages,,MLB,,[5] TC1,TC 1
4969,Paul McIntosh,,MLB,,[5] TC1,TC 1
4997,Oliver Dunn,,MLB,,[5] TC1,TC 1
5006,Noah Cameron,,MLB,,[5] TC1,TC 1
5079,Max Schuemann,,MLB,,[5] TC1,TC 1
5128,Luis Vazquez,,MLB,,[5] TC1,TC 1
5148,J.C. Escarra,,MLB,,[5] TC1,TC 1
5160,Liam Hicks,,MLB,,[5] TC1,TC 1
5223,Justice Bigbie,,MLB,,[5] TC1,TC 1
5267,Jose Torres,,MLB,,[5] TC1,TC 1
5327,Joey Loperfido,,MLB,,[5] TC1,TC 1
5379,Javier Sanoja,,MLB,,[5] TC1,TC 1
5413,Jake Mangum,,MLB,,[5] TC1,TC 1
5426,Jacob Young,,MLB,,[5] TC1,TC 1
5431,Jacob Hurtubise,,MLB,,[5] TC1,TC 1
5630,Dominic Fletcher,,MLB,,[5] TC1,TC 1
5668,Davis Schneider,,MLB,,[5] TC1,TC 1
5672,David Hamilton,,MLB,,[5] TC1,TC 1
5703,Dane Myers,,MLB,,[5] TC1,TC 1
5829,Caleb Durbin,,MLB,,[5] TC1,TC 1
5847,Brett Wisely,,MLB,,[5] TC1,TC 1
5858,Brant Hurter,,MLB,,[5] TC1,TC 1
5885,Billy Cook,,MLB,,[5] TC1,TC 1
6078,Keaton Winn,,MLB,,[5] TC1,TC 1
6092,Nic Enright,,MLB,,[5] TC1,TC 1
6094,Alek Jacob,,MLB,,[5] TC1,TC 1
6097,Abner Uribe,,MLB,,[5] TC1,TC 1
6150,Evan Reifert,,MLB,,[5] TC1,TC 1
6198,Brock Stewart,,MLB,,[5] TC1,TC 1
6203,Riley Pint,,MLB,,[5] TC1,TC 1
6210,Andrew Moore,,MLB,,[5] TC1,TC 1
6233,Andrew Taylor,,MLB,,[5] TC1,TC 1
6259,José Soriano,,MLB,,[5] TC1,TC 1
6273,Austin Cox,,MLB,,[5] TC1,TC 1
6282,Michael Mercado,,MLB,,[5] TC1,TC 1
6303,Jack Kochanowicz,,MLB,,[5] TC1,TC 1
6346,Chad Patrick,,MLB,,[5] TC1,TC 1
6349,James McArthur,,MLB,,[5] TC1,TC 1
6356,Brendan Beck,,MLB,,[5] TC1,TC 1
6364,J.P. France,,MLB,,[5] TC1,TC 1
6368,Colby White,,MLB,,[5] TC1,TC 1
6377,Gus Varland,,MLB,,[5] TC1,TC 1
6501,Brett Sullivan,,MLB,,[5] TC1,TC 1
6511,Nathan Lukes,,MLB,,[5] TC1,TC 1
6519,Osvaldo Bido,,MLB,,[5] TC1,TC 1
6537,Brooks Baldwin,,MLB,,[5] TC1,TC 1
6625,Justin Slaten,,MLB,,[5] TC1,TC 1
6641,John McMillon,,MLB,,[5] TC1,TC 1
6643,Jordan Leasure,,MLB,,[5] TC1,TC 1
6669,Jose Lopez,,MLB,,[5] TC1,TC 1
6709,Ryan Fernandez,,MLB,,[5] TC1,TC 1
6722,Tyler Cleveland,,MLB,,[5] TC1,TC 1
6774,Carson Spiers,,MLB,,[5] TC1,TC 1
6787,Ben Casparius,,MLB,,[5] TC1,TC 1
6788,Tyler Collins,,MLB,,[5] TC1,TC 1
6821,Brandon Young,,MLB,,[5] TC1,TC 1
6832,Grant Anderson,,MLB,,[5] TC1,TC 1
6878,Lazaro Estrada,,MLB,,[5] TC1,TC 1
6898,Eduarniel Nunez,,MLB,,[5] TC1,TC 1
6901,Connor Noland,,MLB,,[5] TC1,TC 1
6923,Anthony Veneziano,,MLB,,[5] TC1,TC 1
6958,Michel Otanez,,MLB,,[5] TC1,TC 1
6981,Blake Dunn,,MLB,,[5] TC1,TC 1
6994,Carlos Silva,,MLB,,[5] TC1,TC 1
7136,Rhett Kouba,,MLB,,[5] TC1,TC 1
7153,Jacob Lopez,,MLB,,[5] TC1,TC 1
7164,Mitch Spence,,MLB,,[5] TC1,TC 1
7166,Stephen Kolek,,MLB,,[5] TC1,TC 1
7170,Brady Basso,,MLB,,[5] TC1,TC 1
7172,Marcelo Perez,,MLB,,[5] TC1,TC 1
7207,Ramon Ramirez,,MLB,,[5] TC1,TC 1
7247,Matt Waldron,,MLB,,[5] TC1,TC 1
7501,Woo-Suk Go,,MLB,,[5] TC1,TC 1
7576,Trent Harris,,MLB,,[5] TC1,TC 1
7620,Victor Scott,,MLB,,[5] TC1,TC 1
7711,Grant Knipp,,MLB,,[5] TC1,TC 1
7805,Samy Natera Jr.,,MLB,,[5] TC1,TC 1
7861,Ben Shields,,MLB,,[5] TC1,TC 1
MNGR,Kyle Klingerman,,MLB,,[5] TC1,TC 1
7933,Jonathan Pintaro,,MLB,,[5] TC1,TC 1
,z,,MLB,,[5] TC1,TC 1
,Josh Donaldson,,MLB,,[5] TC1,TC 1
,Nick Solak,,MLB,,[5] TC1,TC 1
2531,Héctor Neris,,MLB,,[5] TC1,TC 1
,Casey Sadler,,MLB,,[5] TC1,TC 1
,Lou Trivino,,MLB,,[5] TC1,TC 1
,Adam Wainwright,,MLB,,[5] TC1,TC 1
,Kyle Lewis,,MLB,,[5] TC1,TC 1
3411,Yonny Hernández,,MLB,,[5] TC1,TC 1
,DJ Peters,,MLB,,[5] TC1,TC 1
,Joe Barlow,,MLB,,[5] TC1,TC 1
,A.J. Alexy,,MLB,,[5] TC1,TC 1
,Trevor May,,MLB,,[5] TC1,TC 1
,Alex Reyes,,MLB,,[5] TC1,TC 1
,Aaron Loup,,MLB,,[5] TC1,TC 1
,Codi Heuer,,MLB,,[5] TC1,TC 1
,Noah Syndergaard,,MLB,,[5] TC1,TC 1
,Yadier Molina,,MLB,,[5] TC1,TC 1
,Bobby Bradley,,MLB,,[5] TC1,TC 1
,Josh Harrison,,MLB,,[5] TC1,TC 1
,Trey Mancini,,MLB,,[5] TC1,TC 1
,Franmil Reyes,,MLB,,[5] TC1,TC 1
3132,Richard Rodríguez,,MLB,,[5] TC1,TC 1
,Craig Stammen,,MLB,,[5] TC1,TC 1
2738,José Álvarez,,MLB,,[5] TC1,TC 1
,Zack Greinke,,MLB,,[5] TC1,TC 1
,Hunter Dozier,,MLB,,[5] TC1,TC 1
,Brandon Belt,,MLB,,[5] TC1,TC 1
,Ryan Tepera,,MLB,,[5] TC1,TC 1
,Nelson Cruz,,MLB,,[5] TC1,TC 1
,Brett Phillips,,MLB,,[5] TC1,TC 1
,Deolis Guerra,,MLB,,[5] TC1,TC 1
,Jon Lester,,MLB,,[5] TC1,TC 1
,Hyun Jin Ryu,,MLB,,[5] TC1,TC 1
,Jonathan Schoop,,MLB,,[5] TC1,TC 1
,Zach Thompson,,MLB,,[5] TC1,TC 1
,Jean Segura,,MLB,,[5] TC1,TC 1
,Eduardo Escobar,,MLB,,[5] TC1,TC 1
,Mark Melancon,,MLB,,[5] TC1,TC 1
,Corey Kluber,,MLB,,[5] TC1,TC 1
,Buster Posey,,MLB,,[5] TC1,TC 1
2876,Leury García,,MLB,,[5] TC1,TC 1
,Mychal Givens,,MLB,,[5] TC1,TC 1
,Michael Pineda,,MLB,,[5] TC1,TC 1
,James Kaprielian,,MLB,,[5] TC1,TC 1
,Danny Duffy,,MLB,,[5] TC1,TC 1
,Luis Robert Jr.,,MLB,,[5] TC1,TC 1
,Eric Lauer,,MLB,,[5] TC1,TC 1
,Jake McGee,,MLB,,[5] TC1,TC 1
,Jake Arrieta,,MLB,,[5] TC1,TC 1
,Ian Kennedy,,MLB,,[5] TC1,TC 1
,Jaime Barria,,MLB,,[5] TC1,TC 1
2232,Carlos Martínez,,MLB,,[5] TC1,TC 1
,Kolten Wong,,MLB,,[5] TC1,TC 1
,Evan Longoria,,MLB,,[5] TC1,TC 1
,Tony Watson,,MLB,,[5] TC1,TC 1
,Domingo Tapia,,MLB,,[5] TC1,TC 1
,Wily Peralta,,MLB,,[5] TC1,TC 1
,Wil Crowe,,MLB,,[5] TC1,TC 1
,Frank Schwindel,,MLB,,[5] TC1,TC 1
,Trevor Bauer,,MLB,,[5] TC1,TC 1
,Wil Myers,,MLB,,[5] TC1,TC 1
,Alex Colomé,,MLB,,[5] TC1,TC 1
,Jake Odorizzi,,MLB,,[5] TC1,TC 1
