rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,avg,plateAppearances,totalBases,games,position,sportAbbrev,yahoo_owner,yahoo_team,yahoo_id,yahoo_position
162,mil,25,158,Sal Frelick,686217,281,36,83,9,3,4,0.352,0.743,0.391,31,21,41,15,2,123,0.295,313,110,77,RF,MLB,LAW,LAW,12476,CF
163,cin,28,113,Tyler Stephenson,663886,151,20,36,9,0,6,0.326,0.743,0.417,24,20,61,0,1,56,0.238,172,63,41,C,MLB,LFB,LFB,10456,C
164,mia,27,146,Jesús Sánchez,660821,203,24,51,9,2,7,0.322,0.741,0.419,28,21,50,8,1,93,0.251,227,85,57,RF,MLB,,,,
165,det,26,116,Dillon Dingler,693307,213,24,58,9,1,8,0.304,0.741,0.437,34,6,57,0,0,93,0.272,224,93,61,C,MLB,,,,
166,cin,27,113,Gavin Lux,666158,233,24,62,14,1,4,0.355,0.741,0.386,35,32,62,1,0,101,0.266,265,90,72,LF,MLB,,,,
167,stl,25,138,Nolan Gorman,669357,146,22,33,8,1,6,0.322,0.74,0.418,21,22,50,0,1,80,0.226,171,61,51,2B,MLB,,,,
168,cws,25,145,Miguel Vargas,678246,284,39,67,20,2,10,0.314,0.74,0.426,34,29,55,3,0,123,0.236,318,121,77,3B,MLB,DRO,DRO,11781,"1B,3B,OF"
169,det,27,116,Kerry Carpenter,681481,255,38,63,11,1,14,0.277,0.74,0.463,29,7,58,1,1,111,0.247,270,118,74,RF,MLB,RV,RV,12667,OF
170,cws,25,145,Miguel Vargas,678246,284,39,67,20,2,10,0.314,0.74,0.426,34,29,55,3,0,123,0.236,318,121,77,3B,MLB,DRO,DRO,11781,"1B,3B,OF"
171,wsh,25,120,Luis García Jr.,671277,255,36,69,19,0,7,0.313,0.74,0.427,36,16,38,7,4,100,0.271,278,109,71,2B,MLB,HAM,HAM,10964,2B
172,nyy,31,121,Jesse Winker,608385,67,8,16,5,2,1,0.321,0.739,0.418,10,9,20,1,0,35,0.239,78,28,24,LF,MLB,,,,
173,nyy,31,121,Jesse Winker,608385,67,8,16,5,2,1,0.321,0.739,0.418,10,9,20,1,0,35,0.239,78,28,24,LF,MLB,,,,
174,ari,25,109,Gabriel Moreno,672515,174,29,47,8,1,5,0.324,0.738,0.414,20,13,32,1,1,74,0.27,188,72,53,C,MLB,LAW,LAW,11855,C
175,col,30,115,Ryan McMahon,641857,271,32,61,12,1,12,0.328,0.738,0.41,25,41,97,2,1,109,0.225,314,111,77,3B,MLB,,,,
176,sf,34,137,Mike Yastrzemski,573262,240,31,60,13,1,6,0.349,0.737,0.388,26,36,59,5,2,101,0.25,278,93,72,RF,MLB,,,,
177,min,27,142,Matt Wallner,670242,131,15,27,8,2,6,0.302,0.737,0.435,10,15,45,0,0,38,0.206,149,57,39,RF,MLB,,,,
178,laa,25,108,Logan O'Hoppe,681351,231,25,54,3,0,17,0.267,0.735,0.468,37,10,81,0,1,98,0.234,243,108,65,C,MLB,RV,RV,12011,C
179,tor,30,141,Nathan Lukes,664770,132,19,35,3,0,4,0.355,0.734,0.379,22,17,21,1,2,71,0.265,156,50,53,RF,MLB,,,,
180,kc,27,118,Vinnie Pasquantino,686469,300,31,80,7,1,11,0.326,0.733,0.407,42,23,52,1,0,146,0.267,328,122,78,1B,MLB,DRO,DRO,12449,1B
181,lad,32,119,Mookie Betts,605141,284,50,73,10,1,9,0.339,0.733,0.394,39,35,32,6,0,109,0.257,322,112,73,SS,MLB,LFB,LFB,9552,"2B,SS,OF"
182,mil,21,158,Jackson Chourio,694192,339,51,87,22,3,12,0.287,0.732,0.445,46,14,72,15,5,141,0.257,356,151,79,CF,MLB,SAD,SAD,12480,CF
183,col,29,115,Thairo Estrada,642731,69,6,20,6,0,1,0.311,0.731,0.42,10,1,11,0,1,27,0.29,74,29,17,2B,MLB,,,,
184,cws,30,145,Andrew Benintendi,643217,187,23,44,9,2,8,0.298,0.731,0.433,29,16,36,0,0,75,0.235,209,81,52,LF,MLB,,,,
185,cle,28,114,Daniel Schneemann,682177,168,22,39,7,0,8,0.314,0.731,0.417,21,20,47,5,1,65,0.232,189,70,60,2B,MLB,,,,
186,lad,30,119,Tommy Edman,669242,218,35,54,10,1,10,0.291,0.731,0.44,38,11,38,3,1,88,0.248,237,96,61,2B,MLB,CFL,CFL,11596,"2B,SS,CF"
187,oak,30,133,Miguel Andujar,609280,169,19,50,7,1,3,0.328,0.73,0.402,20,9,23,1,0,56,0.296,180,68,46,LF,MLB,,,,
188,oak,27,133,Shea Langeliers,669127,207,25,49,10,0,10,0.3,0.73,0.43,27,20,43,4,1,108,0.237,230,89,56,C,MLB,LFB,LFB,11728,C
189,tex,23,140,Wyatt Langford,694671,259,32,60,10,0,13,0.308,0.729,0.421,31,28,76,11,3,106,0.232,292,109,67,LF,MLB,WAR,WAR,62973,CF
190,phi,28,143,Alec Bohm,664761,296,32,85,11,1,7,0.327,0.729,0.402,36,16,50,2,0,124,0.287,318,119,76,3B,MLB,WIZ,WIZ,11365,"1B,3B"
191,nyy,24,147,Anthony Volpe,683011,279,33,65,20,3,9,0.306,0.729,0.423,43,28,81,8,7,147,0.233,315,118,78,SS,MLB,WIZ,WIZ,11809,SS
192,bal,21,110,Jackson Holliday,702616,279,32,73,12,2,9,0.311,0.727,0.416,32,16,70,8,6,87,0.262,299,116,72,2B,MLB,LAW,LAW,60090,"2B,SS"
193,bal,30,110,Cedric Mullins,656775,226,31,49,11,0,12,0.302,0.727,0.425,35,26,65,8,2,98,0.217,256,96,63,CF,MLB,,,,
194,sf,26,137,Jung Hoo Lee,808982,289,44,73,17,5,6,0.318,0.726,0.408,34,27,35,6,1,105,0.253,321,118,76,CF,MLB,WIZ,WIZ,63494,CF
195,ari,31,109,Lourdes Gurriel Jr.,666971,284,25,73,15,1,10,0.303,0.726,0.423,40,18,44,7,1,119,0.257,310,120,73,LF,MLB,JEP,JEP,10616,OF
196,pit,26,134,Oneil Cruz,665833,260,41,54,10,1,13,0.321,0.725,0.404,31,42,102,26,3,116,0.208,308,105,71,CF,MLB,HAM,HAM,11370,"SS,CF"
197,stl,27,138,Lars Nootbaar,663457,291,43,67,13,0,11,0.337,0.725,0.388,35,44,74,4,4,136,0.23,341,113,76,LF,MLB,WIZ,WIZ,12212,CF
198,det,23,116,Colt Keith,690993,207,33,50,12,1,6,0.329,0.725,0.396,24,28,49,0,0,92,0.242,237,82,70,2B,MLB,,,,
199,bal,26,110,Jordan Westburg,676059,131,20,30,4,1,7,0.289,0.724,0.435,14,9,37,1,1,47,0.229,142,57,34,3B,MLB,LFB,LFB,12122,"2B,3B"
200,sf,33,137,Wilmer Flores,527038,269,31,67,7,0,11,0.323,0.721,0.398,54,25,55,1,0,122,0.249,300,107,76,1B,MLB,,,,
201,mil,25,158,Brice Turang,668930,289,51,80,11,0,5,0.353,0.72,0.367,31,35,73,16,7,100,0.277,330,106,77,2B,MLB,TBB,TBB,11343,2B
202,nyy,36,121,Starling Marte,516782,141,20,35,6,0,4,0.344,0.72,0.376,18,13,29,4,2,62,0.248,164,53,52,LF,MLB,,,,
203,sea,24,136,Julio Rodríguez,677594,318,48,80,11,3,11,0.31,0.719,0.409,41,22,72,12,3,145,0.252,348,130,77,CF,MLB,SAD,SAD,11384,CF
204,oak,28,133,Luis Urías,649966,202,22,50,7,0,7,0.333,0.719,0.386,17,24,31,2,0,78,0.248,234,78,64,2B,MLB,,,,
205,tex,31,140,Corey Seager,608369,179,22,43,6,0,7,0.328,0.719,0.391,16,23,42,1,0,75,0.24,204,70,48,SS,MLB,HAM,HAM,9584,SS
206,bos,28,111,Jarren Duran,680776,338,40,87,20,8,5,0.311,0.719,0.408,38,22,87,15,5,117,0.257,368,138,80,LF,MLB,JEP,JEP,11735,CF
207,stl,23,138,Masyn Winn,691026,258,49,66,14,0,7,0.324,0.715,0.391,29,24,52,4,5,102,0.256,288,101,68,SS,MLB,WAR,WAR,12025,SS
208,cin,27,113,Will Benson,666181,108,15,23,5,0,6,0.288,0.714,0.426,21,12,34,1,2,51,0.213,125,46,38,RF,MLB,,,,
209,phi,27,143,Brandon Marsh,669016,148,20,38,9,1,2,0.341,0.713,0.372,16,20,42,3,1,66,0.257,171,55,58,CF,MLB,,,,
210,cws,32,145,Austin Slater,596103,69,10,16,5,0,2,0.321,0.712,0.391,5,9,26,0,0,37,0.232,79,27,33,RF,MLB,,,,
211,tb,24,139,Curtis Mead,678554,101,13,25,2,1,3,0.336,0.712,0.376,8,10,26,3,1,51,0.248,116,38,43,1B,MLB,,,,
212,min,24,142,Brooks Lee,686797,227,21,63,7,0,7,0.311,0.712,0.401,29,11,46,1,1,85,0.278,241,91,63,3B,MLB,,,,
213,cws,32,145,Austin Slater,596103,69,10,16,5,0,2,0.321,0.712,0.391,5,9,26,0,0,37,0.232,79,27,33,RF,MLB,,,,
214,cws,32,145,Austin Slater,596103,69,10,16,5,0,2,0.321,0.712,0.391,5,9,26,0,0,37,0.232,79,27,33,RF,MLB,,,,
215,fa,27,529,Leo Rivas,660844,60,14,17,1,0,0,0.411,0.711,0.3,4,12,15,4,0,35,0.283,73,18,30,2B,MLB,,,,
216,bos,24,111,Ceddanne Rafaela,678882,258,42,65,13,2,8,0.3,0.711,0.411,30,14,58,11,1,109,0.252,280,106,76,CF,MLB,DRO,DRO,12730,"2B,SS,CF"
217,ari,33,109,Randal Grichuk,545341,119,18,29,10,1,3,0.29,0.71,0.42,15,9,27,0,0,52,0.244,131,50,51,RF,MLB,,,,
218,nyy,22,147,Jasson Domínguez,691176,212,32,51,11,0,6,0.332,0.709,0.377,27,30,69,10,1,99,0.241,247,80,66,LF,MLB,,,,
219,stl,34,138,Nolan Arenado,571448,283,37,70,11,1,10,0.309,0.708,0.399,39,23,32,1,0,141,0.247,311,113,74,3B,MLB,TBB,TBB,9105,3B
220,nyy,35,147,Giancarlo Stanton,519317,23,0,7,1,0,0,0.36,0.708,0.348,1,2,9,0,0,15,0.304,25,8,7,DH,MLB,WIZ,WIZ,8634,OF
221,nyy,25,147,Austin Wells,669224,222,26,48,13,1,11,0.276,0.708,0.432,44,16,62,3,1,108,0.216,250,96,67,C,MLB,CFL,CFL,12161,C
222,tb,26,139,Christopher Morel,666624,156,24,35,11,0,6,0.297,0.707,0.41,18,14,59,4,2,61,0.224,172,64,57,LF,MLB,,,,
223,tb,26,139,Christopher Morel,666624,156,24,35,11,0,6,0.297,0.707,0.41,18,14,59,4,2,61,0.224,172,64,57,LF,MLB,,,,
224,cin,30,113,Jake Fraley,641584,125,24,28,4,0,5,0.331,0.707,0.376,17,19,28,4,2,44,0.224,145,47,47,RF,MLB,,,,
225,col,23,115,Ezequiel Tovar,678662,128,14,33,6,2,3,0.301,0.707,0.406,10,7,30,2,2,41,0.258,138,52,32,SS,MLB,LFB,LFB,12322,SS
226,chc,31,112,Dansby Swanson,621020,299,44,71,10,1,14,0.288,0.706,0.418,39,23,87,7,2,140,0.237,327,125,78,SS,MLB,,,,
227,chc,28,112,Nico Hoerner,663538,289,43,85,17,1,1,0.335,0.705,0.37,33,15,22,15,3,110,0.294,310,107,75,2B,MLB,WIZ,WIZ,11284,"2B,SS"
228,sd,28,135,Luis Arraez,650333,298,37,84,16,4,3,0.311,0.704,0.393,29,13,6,3,1,119,0.282,319,117,73,1B,MLB,SAD,SAD,11221,"1B,2B"
229,sd,28,135,Luis Arraez,650333,298,37,84,16,4,3,0.311,0.704,0.393,29,13,6,3,1,119,0.282,319,117,73,1B,MLB,SAD,SAD,11221,"1B,2B"
230,fa,31,512,Tomás Nido,621512,35,4,12,0,0,0,0.361,0.704,0.343,2,0,10,0,0,15,0.343,37,12,11,C,MLB,,,,
231,fa,31,512,Tomás Nido,621512,35,4,12,0,0,0,0.361,0.704,0.343,2,0,10,0,0,15,0.343,37,12,11,C,MLB,,,,
232,cle,39,114,Carlos Santana,467793,254,36,61,6,0,9,0.333,0.703,0.37,37,34,52,4,0,110,0.24,294,94,72,1B,MLB,WAR,WAR,8619,1B
233,hou,30,117,Mauricio Dubón,643289,148,19,37,9,0,5,0.291,0.703,0.412,18,9,14,2,0,81,0.25,159,61,56,2B,MLB,,,,
234,sea,32,136,Dylan Moore,664238,153,24,35,4,0,8,0.29,0.702,0.412,16,14,56,9,4,71,0.229,169,63,60,2B,MLB,,,,
235,mil,27,158,William Contreras,661388,270,38,65,11,0,6,0.354,0.702,0.348,34,49,63,5,0,122,0.241,322,94,75,C,MLB,WAR,WAR,11268,C
236,hou,31,117,Victor Caratini,605170,163,17,41,7,0,5,0.315,0.702,0.387,17,10,32,0,0,68,0.252,181,63,52,C,MLB,,,,
237,min,30,142,Ty France,664034,282,34,74,14,0,6,0.324,0.7,0.376,42,13,46,1,0,118,0.262,309,106,77,1B,MLB,,,,
238,mia,25,146,Xavier Edwards,669364,246,28,72,8,1,0,0.367,0.7,0.333,17,29,41,14,6,69,0.293,280,82,62,SS,MLB,WIZ,WIZ,11375,"2B,SS"
239,min,30,142,Ty France,664034,282,34,74,14,0,6,0.324,0.7,0.376,42,13,46,1,0,118,0.262,309,106,77,1B,MLB,,,,
240,tb,27,139,Josh Lowe,666139,126,24,29,7,0,4,0.317,0.698,0.381,12,15,33,5,1,56,0.23,143,48,35,RF,MLB,LFB,LFB,10601,CF
241,bal,31,110,Ramón Urías,602104,188,21,48,7,0,6,0.31,0.698,0.388,26,17,43,1,0,92,0.255,213,73,56,3B,MLB,,,,
242,min,30,142,Carlos Correa,621043,249,30,65,14,0,6,0.305,0.695,0.39,24,16,52,0,0,121,0.261,266,97,68,SS,MLB,,,,
243,bal,26,110,Dylan Carlson,666185,104,10,26,4,0,4,0.288,0.692,0.404,12,6,29,2,2,37,0.25,111,42,38,LF,MLB,,,,
244,bal,26,110,Dylan Carlson,666185,104,10,26,4,0,4,0.288,0.692,0.404,12,6,29,2,2,37,0.25,111,42,38,LF,MLB,,,,
245,wsh,29,120,Nathaniel Lowe,663993,302,33,69,12,0,13,0.294,0.691,0.397,52,28,89,1,0,123,0.228,333,120,80,1B,MLB,,,,
246,phi,32,143,Max Kepler,596146,232,32,49,14,0,9,0.303,0.691,0.388,27,28,54,0,0,116,0.211,264,90,71,LF,MLB,,,,
247,bal,27,110,Adley Rutschman,668939,242,31,55,9,1,8,0.319,0.691,0.372,20,32,45,0,0,94,0.227,276,90,68,C,MLB,CFL,CFL,11732,C
248,fa,28,235,Luken Baker,663609,34,3,8,3,0,0,0.366,0.69,0.324,2,7,10,0,0,22,0.235,41,11,19,1B,MLB,,,,
249,fa,24,534,José Tena,677588,137,18,34,12,2,0,0.325,0.69,0.365,13,15,33,2,1,55,0.248,154,50,44,3B,MLB,,,,
250,fa,24,534,José Tena,677588,137,18,34,12,2,0,0.325,0.69,0.365,13,15,33,2,1,55,0.248,154,50,44,3B,MLB,,,,
251,hou,25,117,Zach Dezenzo,701305,98,17,24,6,0,2,0.321,0.688,0.367,10,11,37,1,0,50,0.245,109,36,34,LF,MLB,,,,
252,cin,24,113,Rece Hinds,677956,23,3,4,1,0,2,0.208,0.686,0.478,3,1,11,0,0,10,0.174,24,11,8,RF,MLB,,,,
253,mil,32,158,Eric Haase,606992,47,6,11,2,0,2,0.28,0.684,0.404,7,3,21,0,0,16,0.234,51,19,22,C,MLB,,,,
254,tb,30,139,Matt Thaiss,642136,117,15,27,5,0,1,0.385,0.684,0.299,13,28,36,1,1,48,0.231,149,35,45,C,MLB,,,,
255,sea,30,136,Rowdy Tellez,642133,173,20,36,6,0,11,0.249,0.683,0.434,27,8,49,1,0,86,0.208,185,75,62,1B,MLB,,,,
256,bal,32,110,Gary Sánchez,596142,56,8,12,0,0,3,0.308,0.683,0.375,14,3,18,0,0,14,0.214,65,21,21,C,MLB,,,,
257,tex,32,140,Adolis García,666969,267,26,62,17,0,9,0.283,0.68,0.397,38,18,71,7,2,127,0.232,293,106,75,RF,MLB,,,,
258,sea,37,136,Donovan Solano,456781,109,6,29,3,0,3,0.302,0.678,0.376,15,5,26,0,0,61,0.266,116,41,45,1B,MLB,,,,
259,fa,25,552,Mark Vientos,668901,187,22,43,8,1,6,0.298,0.678,0.38,21,17,49,0,0,86,0.23,208,71,53,3B,MLB,LFB,LFB,10922,3B
260,pit,30,134,Bryan Reynolds,668804,292,27,68,13,2,8,0.304,0.677,0.373,39,29,84,3,2,124,0.233,326,109,75,RF,MLB,RV,RV,10577,CF
261,oak,28,133,Max Schuemann,680474,80,10,18,1,2,1,0.351,0.676,0.325,5,14,15,3,1,38,0.225,97,26,54,3B,MLB,,,,
262,tb,30,139,Danny Jansen,643376,166,18,33,5,0,8,0.302,0.675,0.373,22,22,48,0,0,87,0.199,192,62,53,C,MLB,,,,
263,mia,27,146,Eric Wagaman,676572,271,30,69,17,1,5,0.295,0.675,0.38,29,17,55,2,1,113,0.255,292,103,72,1B,MLB,,,,
264,tb,30,139,Danny Jansen,643376,166,18,33,5,0,8,0.302,0.675,0.373,22,22,48,0,0,87,0.199,192,62,53,C,MLB,,,,
265,cws,25,145,Lenyn Sosa,672820,227,20,61,12,1,4,0.291,0.674,0.383,17,7,56,1,0,105,0.269,235,87,65,2B,MLB,JEP,JEP,12420,"1B,2B,3B"
266,col,26,115,Michael Toglia,669911,219,17,46,12,1,9,0.277,0.674,0.397,28,20,92,3,0,87,0.21,242,87,62,1B,MLB,,,,
267,pit,30,134,Isiah Kiner-Falefa,643396,228,22,63,10,2,1,0.322,0.673,0.351,18,12,40,9,3,92,0.276,248,80,68,SS,MLB,,,,
268,pit,30,134,Isiah Kiner-Falefa,643396,228,22,63,10,2,1,0.322,0.673,0.351,18,12,40,9,3,92,0.276,248,80,68,SS,MLB,,,,
269,phi,34,143,J.T. Realmuto,592663,242,29,59,11,1,5,0.312,0.672,0.36,27,22,63,5,1,99,0.244,266,87,65,C,MLB,B2J,B2J,9718,C
270,pit,27,134,Spencer Horwitz,687462,114,14,29,8,0,1,0.32,0.671,0.351,9,10,31,0,0,50,0.254,125,40,32,1B,MLB,,,,
271,mia,29,146,Derek Hill,656537,73,11,17,4,0,2,0.3,0.67,0.37,5,6,29,6,0,41,0.233,82,27,23,CF,MLB,,,,
272,mia,29,146,Derek Hill,656537,73,11,17,4,0,2,0.3,0.67,0.37,5,6,29,6,0,41,0.233,82,27,23,CF,MLB,,,,
273,mia,29,146,Derek Hill,656537,73,11,17,4,0,2,0.3,0.67,0.37,5,6,29,6,0,41,0.233,82,27,23,CF,MLB,,,,
274,kc,35,118,Salvador Perez,521692,293,19,69,19,0,9,0.277,0.669,0.392,41,14,67,0,0,134,0.235,312,115,75,C,MLB,TBB,TBB,9015,"C,1B"
275,sd,32,135,Xander Bogaerts,593428,276,33,68,15,0,4,0.324,0.668,0.344,29,33,52,13,1,131,0.246,315,95,78,SS,MLB,,,,
276,tb,28,139,José Caballero,676609,179,27,41,11,1,2,0.332,0.667,0.335,22,25,62,29,6,85,0.229,209,60,65,SS,MLB,,,,
277,kc,26,118,Nick Loftin,679845,52,7,11,3,2,1,0.263,0.667,0.404,5,4,10,1,1,19,0.212,57,21,18,LF,MLB,,,,
278,mia,28,146,Nick Fortes,663743,94,9,23,4,1,2,0.294,0.666,0.372,9,6,14,0,0,42,0.245,103,35,39,C,MLB,,,,
279,mia,26,146,Otto Lopez,672640,229,28,56,7,0,6,0.312,0.666,0.354,28,22,35,8,3,95,0.245,253,81,62,2B,MLB,,,,
280,lad,33,119,Enrique Hernández,571771,147,21,31,5,0,7,0.278,0.666,0.388,18,14,42,0,0,74,0.211,163,57,65,1B,MLB,,,,
281,nyy,25,121,Brett Baty,683146,175,17,38,4,2,8,0.266,0.666,0.4,26,11,51,3,0,76,0.217,189,70,58,3B,MLB,,,,
282,cle,25,114,Bo Naylor,666310,174,25,31,6,1,9,0.286,0.665,0.379,20,27,57,1,1,71,0.178,204,66,58,C,MLB,,,,
283,oak,27,133,JJ Bleday,668709,197,29,39,10,0,8,0.293,0.664,0.371,22,27,53,1,2,79,0.198,225,73,59,CF,MLB,,,,
284,atl,30,144,Eli White,642201,163,25,40,7,3,3,0.281,0.661,0.38,16,7,39,5,1,73,0.245,172,62,61,RF,MLB,,,,
285,tex,27,140,Josh Jung,673962,256,24,62,10,1,7,0.289,0.66,0.371,31,15,65,4,1,109,0.242,273,95,69,3B,MLB,WAR,WAR,11850,3B
286,cin,27,113,Spencer Steer,668715,269,30,65,13,1,6,0.296,0.66,0.364,27,20,73,6,1,109,0.242,291,98,73,1B,MLB,,,,
287,fa,26,494,Korey Lee,686676,28,7,7,3,0,0,0.3,0.657,0.357,1,2,5,0,0,13,0.25,31,10,14,C,MLB,,,,
288,pit,26,134,Enmanuel Valdez,665839,91,7,19,4,2,2,0.294,0.657,0.363,12,11,16,0,0,38,0.209,102,33,31,1B,MLB,,,,
289,tex,29,140,Jake Burger,669394,236,27,52,13,0,10,0.253,0.656,0.403,29,8,65,1,1,99,0.22,249,95,65,1B,MLB,LFB,LFB,10877,"1B,3B"
290,mia,25,146,Connor Norby,681393,198,26,48,10,1,4,0.292,0.656,0.364,21,11,60,6,2,80,0.242,212,72,56,3B,MLB,,,,
291,mia,25,146,Connor Norby,681393,198,26,48,10,1,4,0.292,0.656,0.364,21,11,60,6,2,80,0.242,212,72,56,3B,MLB,,,,
292,stl,24,138,Victor Scott II,687363,229,35,55,8,1,3,0.331,0.654,0.323,24,24,72,22,1,91,0.24,267,74,74,CF,MLB,,,,
293,phi,27,143,Bryson Stott,681082,262,32,63,8,2,5,0.31,0.654,0.344,34,26,52,12,3,112,0.24,291,90,71,2B,MLB,LAW,LAW,11817,"2B,SS"
294,fa,23,552,Francisco Alvarez,682626,123,10,29,3,0,3,0.319,0.652,0.333,11,13,38,0,0,55,0.236,138,41,35,C,MLB,,,,
295,nyy,36,147,DJ LeMahieu,518934,99,9,24,3,0,2,0.318,0.651,0.333,10,11,24,0,0,49,0.242,110,33,34,2B,MLB,CFL,CFL,8949,"1B,2B,3B"
296,oak,33,133,Gio Urshela,570482,105,4,25,10,1,0,0.298,0.65,0.352,14,9,19,0,0,52,0.238,116,37,35,3B,MLB,,,,
297,oak,33,133,Gio Urshela,570482,105,4,25,10,1,0,0.298,0.65,0.352,14,9,19,0,0,52,0.238,116,37,35,3B,MLB,,,,
298,pit,33,134,Adam Frazier,624428,217,20,55,9,0,3,0.314,0.65,0.336,20,15,38,6,5,69,0.253,240,73,69,2B,MLB,,,,
299,hou,26,117,Yainer Diaz,673237,266,29,63,9,1,9,0.269,0.649,0.38,30,10,52,0,1,128,0.237,279,101,69,C,MLB,TBB,TBB,12435,"C,1B"
300,hou,30,117,Chas McCormick,676801,43,6,11,2,0,0,0.347,0.649,0.302,2,5,14,1,3,19,0.256,53,13,36,LF,MLB,,,,
301,cle,25,114,Gabriel Arias,672356,241,27,55,16,0,5,0.291,0.648,0.357,27,17,83,3,3,92,0.228,266,86,72,SS,MLB,,,,
302,laa,23,108,Kyren Paris,677347,126,20,24,4,1,6,0.266,0.647,0.381,11,10,59,7,1,31,0.19,140,48,44,2B,MLB,,,,
303,kc,28,118,Jonathan India,663697,273,29,65,14,0,4,0.314,0.647,0.333,22,28,43,0,3,74,0.238,306,91,71,3B,MLB,CFL,CFL,11292,"2B,3B,OF"
304,hou,27,117,Yordan Alvarez,670541,100,7,21,4,0,3,0.306,0.646,0.34,18,16,21,1,0,36,0.21,121,34,29,LF,MLB,HAM,HAM,10883,OF
305,pit,28,134,Joey Bart,663698,166,9,40,5,1,1,0.344,0.645,0.301,13,23,48,1,0,78,0.241,192,50,50,C,MLB,,,,
306,ari,25,109,Alek Thomas,677950,204,23,50,9,2,3,0.292,0.645,0.353,20,10,53,5,2,93,0.245,220,72,69,CF,MLB,,,,
307,cws,34,145,Michael A. Taylor,572191,142,20,29,9,1,4,0.278,0.644,0.366,17,15,60,7,2,60,0.204,159,52,69,RF,MLB,,,,
308,kc,30,118,Freddy Fermin,666023,132,12,34,4,0,2,0.31,0.643,0.333,8,9,23,0,1,51,0.258,143,44,45,C,MLB,,,,
309,hou,34,117,Christian Walker,572233,288,32,62,10,1,10,0.281,0.642,0.361,37,22,87,0,0,139,0.215,317,104,76,1B,MLB,CFL,CFL,9846,1B
310,sf,29,137,Daniel Johnson,669288,21,4,4,1,0,1,0.261,0.642,0.381,1,2,7,1,0,3,0.19,23,8,10,OF,MLB,,,,
311,lad,36,119,Miguel Rojas,500743,101,11,24,4,0,3,0.274,0.64,0.366,8,5,15,0,0,51,0.238,107,37,46,2B,MLB,,,,
312,bos,32,111,Trevor Story,596115,298,35,69,7,0,11,0.273,0.639,0.366,39,14,95,11,0,139,0.232,316,109,77,SS,MLB,JEP,JEP,9571,SS
313,fa,25,512,Justyn-Henry Malloy,669234,93,13,20,4,0,1,0.348,0.638,0.29,16,19,31,0,0,36,0.215,115,27,45,RF,MLB,,,,
314,sf,29,137,Willy Adames,642715,291,42,60,11,1,9,0.293,0.637,0.344,33,37,88,4,2,117,0.206,335,100,78,SS,MLB,B2J,B2J,9893,SS
315,fa,27,564,Matt Mervis,670223,120,15,21,4,0,7,0.254,0.637,0.383,14,11,50,0,0,61,0.175,134,46,42,1B,MLB,,,,
316,kc,26,118,Drew Waters,671221,190,21,49,6,3,1,0.299,0.636,0.337,14,9,51,5,2,86,0.258,201,64,62,LF,MLB,,,,
317,tex,34,140,Marcus Semien,543760,280,30,62,8,1,7,0.301,0.633,0.332,32,32,59,6,1,107,0.221,319,93,79,2B,MLB,WIZ,WIZ,9517,2B
318,tor,30,141,Myles Straw,664702,133,19,35,7,0,1,0.295,0.633,0.338,14,6,17,5,1,65,0.263,144,45,62,CF,MLB,,,,
319,sea,29,136,Miles Mastrobuoni,670156,120,17,30,3,0,1,0.331,0.631,0.3,9,15,22,4,3,48,0.25,139,36,57,2B,MLB,,,,
320,laa,33,108,Jorge Soler,624585,237,25,49,10,0,8,0.28,0.63,0.35,26,22,79,0,0,102,0.207,265,83,67,RF,MLB,,,,
321,laa,33,108,Jorge Soler,624585,237,25,49,10,0,8,0.28,0.63,0.35,26,22,79,0,0,102,0.207,265,83,67,RF,MLB,,,,
322,nyy,26,147,Oswaldo Cabrera,665828,107,17,26,4,0,1,0.322,0.63,0.308,11,11,25,0,1,51,0.243,122,33,34,3B,MLB,,,,
323,cle,23,114,Angel Martínez,682657,212,24,51,10,1,5,0.262,0.63,0.368,25,6,46,5,0,88,0.241,224,78,61,CF,MLB,,,,
324,stl,26,138,Pedro Pagés,686780,185,23,41,10,0,5,0.271,0.628,0.357,22,12,47,0,0,98,0.222,201,66,60,C,MLB,,,,
325,bal,28,110,Ryan Mountcastle,663624,187,19,46,13,0,2,0.28,0.628,0.348,15,8,46,1,0,81,0.246,200,65,52,1B,MLB,,,,
326,sea,34,136,Mitch Garver,641598,120,13,25,3,0,3,0.317,0.625,0.308,16,18,41,3,0,67,0.208,139,37,44,C,MLB,,,,
327,col,34,115,Kyle Farmer,571657,176,8,40,14,0,3,0.267,0.625,0.358,17,9,40,0,0,74,0.227,187,63,57,2B,MLB,,,,
328,sea,28,136,Victor Robles,645302,44,3,12,3,0,0,0.283,0.624,0.341,3,0,7,3,0,17,0.273,46,15,10,RF,MLB,DRO,DRO,10227,CF
329,wsh,32,120,Josh Bell,605137,237,23,46,4,1,10,0.278,0.624,0.346,28,25,48,0,1,108,0.194,266,82,68,1B,MLB,B2J,B2J,9883,1B
330,wsh,32,120,Josh Bell,605137,237,23,46,4,1,10,0.278,0.624,0.346,28,25,48,0,1,108,0.194,266,82,68,1B,MLB,B2J,B2J,9883,1B
