rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,avg,plateAppearances,totalBases,games,position,sportAbbrev,yahoo_owner,yahoo_team,yahoo_id,yahoo_position
53,atl,31,144,Matt Olson,621566,289,46,74,20,0,15,0.363,0.844,0.481,52,48,76,0,0,139,0.256,342,139,78,1B,MLB,SAD,SAD,9605,1B
54,cin,32,113,Jose Trevino,624431,148,22,45,17,0,4,0.344,0.844,0.5,15,10,18,0,0,59,0.304,161,74,50,C,MLB,,,,
55,laa,30,108,Yoán Moncada,660162,97,16,23,6,1,6,0.336,0.841,0.505,19,13,32,0,0,45,0.237,113,49,30,3B,MLB,,,,
56,sf,25,137,Heliot Ramos,671218,294,48,84,15,1,13,0.363,0.839,0.476,43,28,79,5,4,115,0.286,336,140,77,LF,MLB,WAR,WAR,10944,CF
57,hou,26,117,Isaac Paredes,670623,276,40,70,10,1,16,0.36,0.831,0.471,45,42,57,0,1,114,0.254,325,130,75,3B,MLB,WAR,WAR,10881,"1B,3B"
58,hou,26,117,Isaac Paredes,670623,276,40,70,10,1,16,0.36,0.831,0.471,45,42,57,0,1,114,0.254,325,130,75,3B,MLB,WAR,WAR,10881,"1B,3B"
59,tb,21,139,Junior Caminero,691406,288,47,76,17,0,19,0.309,0.83,0.521,50,19,55,5,1,127,0.264,311,150,74,3B,MLB,SAD,SAD,60419,3B
60,cws,34,145,Mike Tauchman,643565,101,17,26,7,1,4,0.361,0.826,0.465,14,17,26,0,0,37,0.257,119,47,29,RF,MLB,,,,
61,ari,28,109,Josh Naylor,647304,287,41,87,18,1,9,0.358,0.825,0.467,51,25,41,10,2,117,0.303,317,134,75,1B,MLB,WIZ,WIZ,10572,1B
62,tor,26,141,Vladimir Guerrero Jr.,665489,288,46,81,16,0,10,0.383,0.824,0.441,39,45,48,2,2,109,0.281,339,127,77,1B,MLB,CFL,CFL,10621,"1B,3B"
63,nyy,33,121,Jeff McNeil,643446,150,16,37,6,3,8,0.337,0.824,0.487,24,20,17,1,0,73,0.247,175,73,48,2B,MLB,,,,
64,chc,30,112,Carson Kelly,608348,159,28,40,5,1,9,0.358,0.823,0.465,26,26,31,0,0,67,0.252,187,74,50,C,MLB,,,,
65,chc,30,112,Carson Kelly,608348,159,28,40,5,1,9,0.358,0.823,0.465,26,26,31,0,0,67,0.252,187,74,50,C,MLB,,,,
66,kc,25,118,Bobby Witt Jr.,677951,308,42,87,26,3,10,0.339,0.823,0.484,40,26,62,21,6,112,0.282,342,149,79,SS,MLB,LAW,LAW,11771,SS
67,sd,22,135,Jackson Merrill,701538,183,26,56,11,2,5,0.352,0.822,0.47,26,13,41,1,2,72,0.306,199,86,47,CF,MLB,HAM,HAM,12522,CF
68,chc,30,112,Reese McGuire,624512,42,7,10,1,0,4,0.273,0.821,0.548,6,2,10,0,0,19,0.238,45,23,13,C,MLB,,,,
69,tor,35,141,George Springer,543807,238,40,61,15,1,11,0.354,0.82,0.466,36,36,62,7,0,109,0.256,285,111,73,RF,MLB,,,,
70,nyy,26,147,Ben Rice,700250,228,36,55,12,2,14,0.323,0.819,0.496,29,22,56,3,2,100,0.241,258,113,67,1B,MLB,DRO,DRO,62137,1B
71,bos,28,111,Romy Gonzalez,663853,99,15,29,10,1,2,0.343,0.818,0.475,16,7,26,4,2,43,0.293,108,47,32,1B,MLB,,,,
72,chc,26,112,Miguel Amaya,665804,93,14,26,9,0,4,0.313,0.818,0.505,25,4,22,0,0,26,0.28,100,47,27,C,MLB,,,,
73,sf,26,137,Casey Schmitt,669477,95,12,27,4,0,4,0.364,0.817,0.453,15,10,27,0,0,51,0.284,108,43,33,1B,MLB,JEP,JEP,12544,"1B,2B,3B,SS"
