rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,gamesStarted,completeGames,shutouts
140,fa,34,113,641941,Emilio Pagán,34,0.85,34.0,18,14,12,11,43,6,102,133,511,3.18,18,2,3,0,2,0,0,0
141,fa,26,119,676263,Jack Dreyer,30,1.13,39.2,30,15,14,15,39,1,119,162,607,3.18,0,8,1,2,2,4,0,0
142,fa,34,138,571927,Steven Matz,22,1.11,42.1,41,18,15,6,39,2,127,174,693,3.19,1,3,3,3,2,2,0,0
143,fa,26,120,669022,MacKenzie Gore,16,1.19,93.0,84,34,33,27,123,11,279,381,1561,3.19,0,0,0,3,7,16,0,0
144,fa,25,144,680885,Spencer Schwellenbach,16,0.99,103.2,86,43,37,17,96,13,311,409,1483,3.21,0,0,0,6,4,16,1,0
145,fa,33,118,608379,Michael Wacha,15,1.19,86.0,79,31,31,23,65,9,258,358,1313,3.24,0,0,0,4,6,15,0,0
146,fa,23,137,806185,Hayden Birdsong,17,1.33,52.2,50,25,19,20,55,6,158,230,924,3.25,0,3,0,3,1,6,0,0
147,fa,35,113,608718,Brent Suter,24,1.14,36.0,32,14,13,9,23,4,108,148,579,3.25,0,0,0,1,0,3,0,0
148,fa,26,119,676508,Ben Casparius,24,1.04,52.2,44,19,19,11,50,3,158,213,812,3.25,0,7,0,6,1,2,0,0
149,fa,30,137,702352,Spencer Bivens,24,1.11,38.2,30,16,14,13,26,3,116,158,590,3.26,0,1,0,2,2,0,0,0
150,fa,29,140,656641,Jacob Latz,16,1.29,30.1,26,11,11,13,30,4,91,126,494,3.26,0,1,0,1,0,1,0,0
151,fa,31,145,656457,Tyler Gilbert,17,1.03,19.1,12,7,7,8,20,2,58,76,316,3.26,0,1,0,1,1,3,0,0
152,fa,35,147,518585,Fernando Cruz,29,1.09,30.1,19,13,11,14,50,3,91,123,497,3.26,2,8,1,2,3,0,0,0
153,fa,34,140,542888,Shawn Armstrong,31,0.97,33.0,18,13,12,14,36,3,99,133,526,3.27,2,6,2,2,2,2,0,0
154,fa,31,115,623474,Jimmy Herget,26,1.33,38.1,38,14,14,13,27,4,115,164,592,3.29,0,1,1,0,1,0,0,0
155,fa,28,134,663767,Chase Shugart,28,1.19,32.2,25,13,12,14,20,4,98,134,511,3.31,0,4,2,4,3,0,0,0
156,fa,26,111,678394,Brayan Bello,12,1.41,65.1,63,29,24,29,51,7,196,284,1122,3.31,0,0,0,3,2,12,0,0
157,fa,37,119,477132,Clayton Kershaw,7,1.32,32.2,31,14,12,12,24,4,98,136,516,3.31,0,0,0,3,0,7,0,0
158,fa,30,110,642397,Gregory Soto,33,1.22,27.0,24,11,10,9,35,2,81,116,438,3.33,0,17,0,0,2,0,0,0
159,fa,34,113,573124,Taylor Rogers,30,1.44,24.1,23,15,9,12,24,3,73,107,441,3.33,0,7,1,2,2,0,0,0
160,fa,31,144,607481,Aaron Bummer,26,1.28,29.2,26,14,11,12,30,0,89,127,516,3.34,0,1,0,0,1,0,0,0
161,fa,32,136,622491,Luis Castillo,15,1.24,85.1,78,34,32,28,72,11,256,359,1424,3.38,0,0,0,4,5,15,0,0
162,fa,25,145,681343,Shane Smith,15,1.27,74.2,63,36,28,32,68,5,224,323,1235,3.38,0,0,0,3,5,15,0,0
163,fa,28,158,681982,Grant Anderson,32,1.26,37.1,29,16,14,18,39,5,112,159,634,3.38,0,1,1,1,2,0,0,0
164,fa,26,114,677944,Slade Cecconi,7,1.29,37.1,36,14,14,12,37,6,112,158,575,3.38,0,0,0,3,3,7,0,0
165,fa,26,108,667755,José Soriano,16,1.42,93.0,89,38,35,43,80,3,279,395,1509,3.39,0,0,0,5,5,16,0,0
166,fa,36,109,518876,Merrill Kelly,16,1.05,93.0,73,39,35,25,93,10,279,372,1458,3.39,0,0,0,7,3,16,0,0
167,fa,31,119,607455,Anthony Banda,35,1.22,34.1,24,13,13,18,26,5,103,139,548,3.41,0,4,1,4,1,0,0,0
168,fa,34,144,572955,Pierce Johnson,29,1.25,26.1,26,11,10,7,30,3,79,107,465,3.42,1,5,2,1,3,0,0,0
169,fa,23,143,690953,Mick Abel,5,1.16,23.1,23,9,9,4,18,7,70,96,401,3.47,0,0,0,2,1,5,0,0
170,fa,27,114,661403,Emmanuel Clase,35,1.49,33.2,40,15,13,10,35,1,101,152,564,3.48,18,1,3,4,1,0,0,0
171,fa,25,120,695418,Brad Lord,28,1.31,54.1,51,22,21,20,48,5,163,230,888,3.48,0,6,0,1,5,6,0,0
172,fa,31,141,621244,José Berríos,16,1.24,95.0,82,38,37,36,81,12,285,391,1422,3.51,0,0,0,3,3,16,0,0
173,fa,30,110,622554,Seranthony Domínguez,32,1.3,30.2,22,12,12,18,39,3,92,125,514,3.52,1,10,1,2,1,0,0,0
174,fa,32,138,607200,Erick Fedde,15,1.3,84.0,73,36,33,36,55,6,252,353,1328,3.54,0,0,0,3,6,15,1,1
175,fa,27,141,687606,Paxton Schultz,9,1.23,20.1,20,12,8,5,25,3,61,88,353,3.54,0,0,0,0,0,2,0,0
176,fa,35,110,608372,Tomoyuki Sugano,15,1.21,83.2,84,34,33,17,50,14,251,348,1311,3.55,0,0,0,5,4,15,0,0
177,fa,28,133,663687,Hogan Harris,23,1.58,30.1,28,13,12,20,36,2,91,140,554,3.56,0,1,0,1,1,0,0,0
178,fa,29,146,676534,Calvin Faucher,31,1.27,27.2,24,14,11,11,25,2,83,118,484,3.58,7,3,3,2,2,0,0,0
179,fa,25,114,668909,Gavin Williams,15,1.42,75.1,65,34,30,42,78,10,226,326,1398,3.58,0,0,0,5,3,15,0,0
180,fa,28,134,663559,Bailey Falter,16,1.18,85.1,70,39,34,31,51,9,256,343,1284,3.59,0,0,0,6,3,16,0,0
181,fa,26,135,681190,Randy Vásquez,16,1.33,80.0,69,33,32,37,45,12,240,343,1279,3.6,0,0,0,3,4,16,0,0
182,fa,29,111,676477,Garrett Whitlock,29,1.25,40.0,31,17,16,19,49,2,120,169,716,3.6,1,7,4,5,1,0,0,0
183,fa,36,141,605135,Chris Bassitt,16,1.26,92.1,95,38,37,21,90,10,277,393,1488,3.61,0,0,0,7,3,16,0,0
184,fa,34,135,663158,Robert Suarez,34,0.96,32.1,22,14,13,9,33,1,97,125,491,3.62,21,0,2,2,3,0,0,0
185,fa,27,113,666157,Nick Lodolo,16,1.12,89.1,82,38,36,18,80,12,268,372,1441,3.63,0,0,0,5,5,16,1,0
186,fa,32,135,601713,Nick Pivetta,15,1.08,84.0,67,36,34,24,91,11,252,339,1312,3.64,0,0,0,7,2,15,0,0
187,fa,26,137,694738,Landen Roupp,15,1.42,76.0,76,39,31,32,70,7,228,333,1254,3.67,0,0,0,5,5,15,0,0
188,fa,30,138,664854,Ryan Helsley,27,1.44,27.0,27,11,11,12,32,4,81,119,462,3.67,14,0,5,3,0,0,0,0
189,fa,28,136,668984,Casey Legumina,29,1.33,29.1,24,15,12,15,30,3,88,124,476,3.68,0,2,0,4,3,1,0,0
190,fa,24,158,682990,Quinn Priester,14,1.31,71.0,67,31,29,26,50,8,213,299,1156,3.68,0,0,0,5,2,10,0,0
191,fa,27,116,669724,Brenan Hanifee,34,1.41,39.0,45,24,16,10,27,2,117,171,641,3.69,0,8,0,3,2,0,0,0
192,fa,33,143,621383,Tanner Banks,33,0.97,34.0,28,15,14,5,34,5,102,133,563,3.71,1,1,1,2,0,0,0,0
193,fa,29,144,656550,Grant Holmes,16,1.22,85.0,65,36,35,39,97,14,255,352,1398,3.71,0,0,0,4,6,15,0,0
194,fa,35,138,543243,Sonny Gray,15,1.19,84.2,84,37,35,17,90,10,254,347,1298,3.72,0,0,0,7,2,15,0,0
195,fa,30,146,669199,Lake Bachar,26,1.27,36.1,25,16,15,21,38,3,109,152,574,3.72,0,4,0,3,0,0,0,0
196,fa,26,158,694477,Chad Patrick,17,1.32,84.2,85,35,35,27,85,9,254,361,1418,3.72,0,0,0,3,7,16,0,0
197,fa,29,110,656240,Scott Blewett,21,1.27,36.1,34,17,15,12,29,6,109,153,555,3.72,0,0,0,3,0,2,0,0
198,fa,31,118,670167,John Schreiber,35,1.34,29.0,29,14,12,10,32,5,87,125,489,3.72,0,10,1,2,2,0,0,0
199,fa,29,135,673513,Yuki Matsui,33,1.31,31.1,26,14,13,15,36,4,94,133,525,3.73,1,2,0,2,1,0,0,0
200,fa,33,143,621381,Matt Strahm,34,1.21,31.1,30,15,13,8,36,3,94,131,523,3.73,4,9,4,1,3,0,0,0
201,fa,29,144,660853,Enyel De Los Santos,31,1.05,31.1,22,13,13,11,31,2,94,127,515,3.73,0,2,1,2,2,0,0,0
202,fa,23,112,690990,Cade Horton,8,1.29,41.0,43,22,17,10,31,4,123,176,659,3.73,0,0,0,3,1,7,0,0
203,fa,32,111,656794,Sean Newcomb,19,1.66,55.1,70,30,23,22,52,4,166,253,997,3.74,0,0,0,1,4,5,0,0
204,fa,26,135,669093,Jeremiah Estrada,37,1.34,33.2,31,17,14,14,46,5,101,146,573,3.74,2,14,3,2,4,0,0,0
205,fa,33,140,592426,Luke Jackson,30,1.33,24.0,21,12,10,11,18,3,72,103,355,3.75,9,2,2,1,4,0,0,0
206,fa,34,147,643410,Mark Leiter Jr.,36,1.42,31.0,35,15,13,9,44,3,93,137,529,3.77,2,10,3,4,3,0,0,0
207,fa,29,139,641793,Zack Littell,16,1.1,97.2,96,41,41,11,66,22,293,391,1383,3.78,0,0,0,6,7,16,1,0
208,fa,25,118,672582,Angel Zerpa,33,1.38,33.1,36,14,14,10,27,4,100,143,586,3.78,0,7,2,3,0,0,0,0
209,fa,30,119,656945,Tanner Scott,37,0.95,35.2,30,18,15,4,40,5,107,136,534,3.79,15,7,5,1,2,0,0,0
210,fa,27,146,665795,Edward Cabrera,12,1.39,59.0,56,27,25,26,63,7,177,254,997,3.81,0,0,0,2,2,12,0,0
211,fa,25,120,669371,Cole Henry,26,1.19,26.0,17,12,11,14,29,5,78,114,439,3.81,0,2,0,0,1,0,0,0
212,fa,33,135,593974,Wandy Peralta,35,1.47,35.1,35,17,15,17,31,2,106,159,571,3.82,0,3,1,3,1,0,0,0
213,fa,27,133,687765,Mitch Spence,26,1.3,58.2,59,32,25,17,50,6,176,251,946,3.84,1,4,0,2,2,4,0,0
214,fa,33,112,592791,Jameson Taillon,15,1.04,86.2,73,38,37,17,67,18,260,345,1305,3.84,0,0,0,7,4,15,0,0
215,fa,26,143,676661,Max Lazar,9,1.21,14.0,11,6,6,6,10,2,42,56,219,3.86,1,0,0,0,0,0,0,0
216,fa,26,114,676440,Tanner Bibee,15,1.23,88.2,83,41,38,26,75,15,266,369,1448,3.86,0,0,0,4,7,15,1,0
217,fa,27,109,669194,Ryne Nelson,16,1.08,55.2,42,25,24,18,45,5,167,227,906,3.88,1,1,1,4,2,6,0,0
218,fa,26,144,675911,Spencer Strider,7,1.14,37.0,29,17,16,13,45,5,111,153,621,3.89,0,0,0,2,5,7,0,0
219,fa,30,147,641656,Ian Hamilton,23,1.23,27.2,18,13,12,16,31,2,83,115,454,3.9,0,2,0,1,0,0,0,0
220,fa,29,121,656288,Griffin Canning,15,1.41,73.2,69,35,32,35,67,8,221,319,1307,3.91,0,0,0,7,3,15,0,0
221,fa,32,113,605130,Scott Barlow,37,1.17,34.1,19,16,15,21,36,2,103,146,612,3.93,0,7,0,3,0,0,0,0
222,fa,34,134,571760,Andrew Heaney,15,1.19,82.1,71,36,36,27,61,11,247,342,1296,3.94,0,0,0,3,6,15,0,0
223,fa,31,158,657649,Jared Koenig,36,1.34,32.0,31,14,14,12,32,3,96,138,517,3.94,0,13,1,3,1,0,0,0
224,fa,28,135,663568,Stephen Kolek,10,1.3,57.0,54,28,25,20,42,5,171,241,901,3.95,0,0,0,3,3,10,1,1
225,fa,25,138,669461,Matthew Liberatore,15,1.15,86.1,87,40,38,12,71,7,259,356,1267,3.96,0,0,0,5,6,15,0,0
226,fa,28,114,682120,Tim Herrin,32,1.48,25.0,21,11,11,16,24,3,75,112,433,3.96,0,11,0,4,2,0,0,0
227,fa,38,119,489446,Kirby Yates,28,1.24,22.2,21,11,10,7,34,4,68,96,406,3.97,2,12,2,4,2,0,0,0
228,fa,32,143,592836,Taijuan Walker,17,1.37,49.2,49,28,22,19,44,7,149,220,862,3.99,1,1,2,2,5,8,0,0
229,fa,27,146,663969,Tyler Phillips,27,1.3,38.1,40,17,17,10,22,6,115,159,567,3.99,0,2,0,1,0,0,0,0
230,fa,24,115,675848,Juan Mejia,19,1.26,24.2,21,16,11,10,25,4,74,102,408,4.01,0,3,0,0,0,0,0,0
231,fa,29,134,656605,Mitch Keller,16,1.22,94.0,91,46,42,24,73,6,282,395,1486,4.02,0,0,0,1,10,16,0,0
232,fa,36,112,519151,Ryan Pressly,31,1.62,29.0,35,16,13,12,20,2,87,131,484,4.03,5,4,1,2,2,0,0,0
233,fa,32,114,596001,Jakob Junis,30,1.44,33.1,39,16,15,9,24,3,100,144,534,4.05,0,3,0,1,1,0,0,0
234,fa,27,143,666200,Jesús Luzardo,16,1.37,90.1,95,44,41,29,104,7,271,385,1524,4.08,0,0,0,7,3,16,0,0
235,fa,25,146,678368,Valente Bellozo,12,1.29,39.2,37,19,18,14,31,4,119,168,673,4.08,0,0,1,1,3,5,0,0
236,fa,31,140,657097,Jacob Webb,31,1.11,35.0,27,16,16,12,26,5,105,144,540,4.11,1,6,2,4,3,0,0,0
237,fa,28,108,656271,Brock Burke,36,1.63,30.2,35,14,14,15,26,4,92,140,535,4.11,0,9,2,4,1,0,0,0
238,fa,28,113,663903,Brady Singer,15,1.3,80.2,72,40,37,33,67,9,242,341,1362,4.13,0,0,0,7,5,15,0,0
239,fa,34,117,606160,Rafael Montero,26,1.31,26.0,18,12,12,16,30,1,78,111,503,4.15,0,4,0,0,0,0,0,0
240,fa,34,141,643338,Chad Green,33,1.33,32.1,35,16,15,8,27,9,97,135,505,4.18,1,4,0,2,2,0,0,0
241,fa,30,142,643377,Griffin Jax,35,1.27,32.1,33,16,15,8,54,4,97,138,540,4.18,0,16,4,1,4,0,0,0
242,fa,28,120,663623,Jake Irvin,16,1.23,94.2,90,44,44,26,66,16,284,398,1472,4.18,0,0,0,6,3,16,0,0
243,fa,32,114,670036,Matt Festa,20,1.03,19.1,14,9,9,6,17,0,58,78,258,4.19,0,6,0,1,1,0,0,0
244,fa,29,137,676254,Ryan Walker,32,1.1,30.0,25,16,14,8,30,2,90,126,487,4.2,10,6,4,1,3,0,0,0
245,fa,26,114,671106,Logan Allen,14,1.48,66.1,68,34,31,30,50,8,199,292,1186,4.21,0,0,0,5,4,13,0,0
246,fa,26,145,673929,Jordan Leasure,32,1.52,27.2,27,15,13,15,34,4,83,125,526,4.23,1,8,3,2,4,0,0,0
247,fa,32,133,605488,Jeffrey Springs,16,1.23,87.0,75,50,41,32,72,13,261,369,1442,4.24,0,0,0,6,5,14,0,0
248,fa,35,140,571578,Patrick Corbin,14,1.28,76.1,75,36,36,23,59,12,229,319,1208,4.24,0,0,0,4,7,14,1,0
249,fa,27,133,682052,Jacob Lopez,10,1.44,36.0,36,20,17,16,49,6,108,165,686,4.25,0,0,0,1,4,6,0,0
250,fa,26,114,682847,Luis L. Ortiz,15,1.41,81.2,74,40,39,41,91,10,245,354,1399,4.3,0,0,0,4,8,15,0,0
251,fa,36,138,571945,Miles Mikolas,15,1.28,77.1,80,39,37,19,51,7,232,328,1221,4.31,0,0,0,4,5,15,0,0
252,fa,25,115,678020,Seth Halvorsen,32,1.4,31.1,30,19,15,14,29,5,94,131,465,4.31,6,4,3,1,2,0,0,0
253,fa,34,142,623437,Justin Topa,28,1.34,29.0,30,17,14,9,23,1,87,128,457,4.34,0,2,2,1,2,1,0,0
254,fa,26,109,666661,Juan Morillo,23,1.45,20.2,19,12,10,11,24,2,62,89,361,4.35,0,3,0,0,1,0,0,0
255,fa,31,113,664139,Ian Gibaut,22,1.37,22.2,23,11,11,8,15,3,68,98,344,4.37,0,3,1,0,1,0,0,0
256,fa,37,108,445276,Kenley Jansen,30,1.31,26.2,26,13,13,9,25,6,80,115,436,4.39,15,0,0,1,2,0,0,0
257,fa,34,113,607259,Nick Martinez,17,1.23,86.0,87,43,42,19,63,13,258,354,1309,4.4,0,1,0,4,8,15,0,0
258,fa,33,119,642152,Lou Trivino,26,1.29,28.2,27,14,14,10,24,5,86,124,509,4.4,0,4,1,2,0,1,0,0
259,fa,27,145,685126,Brandon Eisert,34,1.32,32.2,35,16,16,8,38,4,98,144,558,4.41,2,4,2,2,1,2,0,0
260,fa,31,133,622663,Luis Severino,16,1.34,95.2,98,50,47,30,66,7,287,416,1566,4.42,0,0,0,2,7,16,0,0
261,fa,34,112,607067,Colin Rea,16,1.39,73.1,83,37,36,19,54,13,220,312,1183,4.42,1,0,0,4,3,12,0,0
262,fa,29,135,656302,Dylan Cease,16,1.29,87.1,80,45,43,33,109,8,262,373,1514,4.43,0,0,0,3,6,16,0,0
263,fa,42,137,434378,Justin Verlander,11,1.43,56.2,59,31,28,22,47,9,170,247,942,4.45,0,0,0,0,4,11,0,0
264,fa,27,119,669160,Dustin May,14,1.32,78.2,72,43,39,32,72,11,236,340,1234,4.46,0,0,0,4,5,14,0,0
265,fa,26,138,669467,Andre Pallante,15,1.31,82.1,81,43,41,27,58,11,247,352,1312,4.48,0,0,0,5,3,15,0,0
266,fa,29,142,663978,Chris Paddack,15,1.23,80.1,76,43,40,23,56,11,241,336,1323,4.48,0,0,0,3,6,15,0,0
267,fa,25,145,680732,Sean Burke,15,1.42,76.0,73,44,38,35,61,11,228,333,1286,4.5,0,0,0,3,7,13,0,0
268,fa,33,121,592773,Ryne Stanek,31,1.5,26.0,28,18,13,11,26,2,78,117,494,4.5,1,5,3,2,4,0,0,0
269,fa,30,111,608337,Lucas Giolito,10,1.37,51.2,54,29,26,17,46,8,155,217,838,4.53,0,0,0,3,1,10,0,0
270,fa,26,117,676467,Colton Gordon,7,1.37,35.2,44,19,18,5,34,8,107,154,595,4.54,0,0,0,2,1,7,0,0
271,fa,25,140,683004,Jack Leiter,13,1.32,65.1,54,33,33,32,51,9,196,278,1122,4.55,0,0,0,4,5,13,0,0
272,fa,23,141,689254,Mason Fluharty,33,1.07,31.2,22,16,16,12,35,2,95,128,510,4.55,0,4,1,3,1,0,0,0
273,fa,35,108,542881,Tyler Anderson,15,1.4,81.0,82,45,41,31,65,15,243,357,1410,4.56,0,0,0,2,5,15,0,0
274,fa,29,116,663947,Tyler Holton,32,1.3,35.1,38,19,18,8,30,8,106,147,549,4.58,0,7,3,3,3,4,0,0
275,fa,32,118,664199,Taylor Clarke,15,0.85,17.2,13,9,9,2,12,3,53,67,275,4.58,1,1,1,1,1,0,0,0
276,fa,29,109,620454,José Castillo,17,1.87,17.2,24,11,9,9,17,3,53,86,309,4.58,0,3,1,0,1,0,0,0
277,fa,25,120,680730,Mitchell Parker,16,1.32,86.1,81,48,44,33,59,11,259,370,1396,4.59,0,0,0,5,8,16,0,0
278,fa,34,141,592332,Kevin Gausman,15,1.13,86.0,73,45,44,24,84,12,258,348,1400,4.6,0,0,0,5,6,15,0,0
279,fa,29,110,665152,Dean Kremer,16,1.34,90.0,97,48,46,24,72,12,270,384,1458,4.6,0,0,0,6,7,15,0,0
280,fa,26,117,687473,Ryan Gusto,17,1.48,60.1,66,34,31,23,67,9,181,270,1048,4.62,0,0,0,5,3,11,0,0
281,fa,27,142,663485,Cole Sands,34,1.27,33.0,33,21,17,9,24,3,99,139,515,4.64,2,7,2,3,3,0,0,0
282,fa,25,108,672282,Reid Detmers,30,1.48,33.0,32,17,17,17,43,2,99,143,590,4.64,2,6,1,2,2,0,0,0
283,fa,28,137,663546,Sean Hjelle,6,1.55,9.2,8,5,5,7,7,2,29,43,157,4.66,0,0,0,1,1,1,0,0
284,fa,26,147,701542,Will Warren,16,1.33,75.1,69,41,39,31,96,6,226,327,1306,4.66,0,0,0,4,4,16,0,0
285,fa,25,111,690916,Richard Fitts,5,1.29,21.0,20,12,11,7,15,5,63,91,332,4.71,0,0,0,0,3,5,0,0
286,fa,30,138,667463,John King,30,1.61,26.2,35,16,14,8,13,3,80,121,422,4.73,0,1,1,2,0,0,0,0
287,fa,35,110,552640,Andrew Kittredge,13,1.43,13.1,14,8,7,5,14,2,40,60,209,4.73,0,4,0,1,1,0,0,0
288,fa,27,108,666171,Ryan Zeferjahn,33,1.41,28.1,26,15,15,14,36,6,85,124,511,4.76,1,14,3,4,1,0,0,0
289,fa,26,144,693821,Bryce Elder,12,1.33,66.0,68,35,35,20,55,11,198,281,1059,4.77,0,0,0,2,4,12,0,0
290,fa,26,139,669358,Shane Baz,15,1.33,82.2,76,44,44,34,77,14,248,352,1368,4.79,0,0,0,7,3,15,0,0
291,fa,33,118,547179,Michael Lorenzen,15,1.37,82.1,85,46,44,28,69,14,247,357,1359,4.81,0,0,0,4,7,15,0,0
292,fa,25,134,681347,Mike Burrows,6,1.39,28.0,31,16,15,8,29,6,84,123,460,4.82,0,0,0,1,2,6,0,0
293,fa,35,108,543294,Kyle Hendricks,15,1.32,82.0,85,47,44,23,55,14,246,351,1301,4.83,0,0,0,5,6,15,0,0
294,fa,29,116,656427,Jack Flaherty,15,1.21,78.1,64,43,42,31,93,15,235,327,1373,4.83,0,0,0,5,8,15,0,0
295,fa,29,142,641927,Bailey Ober,16,1.37,86.1,97,48,47,21,69,17,259,377,1390,4.9,0,0,0,4,5,16,1,0
296,fa,27,139,670955,Edwin Uceta,33,1.42,31.0,30,17,17,14,32,8,93,136,519,4.94,0,12,2,5,1,0,0,0
297,fa,24,139,671737,Taj Bradley,15,1.35,80.0,74,52,44,34,73,12,240,343,1288,4.95,0,0,0,4,5,15,0,0
298,fa,32,109,657044,Ryan Thompson,32,1.48,29.0,35,17,16,8,27,4,87,126,458,4.97,1,9,3,1,2,0,0,0
299,fa,25,139,682254,Mason Montgomery,34,1.56,27.0,29,18,15,13,36,4,81,123,484,5.0,1,9,1,1,1,0,0,0
300,fa,26,133,695243,Mason Miller,28,1.19,28.2,19,17,16,15,47,4,86,119,463,5.02,14,0,3,1,2,0,0,0
301,fa,30,145,650644,Aaron Civale,7,1.47,34.0,38,19,19,12,25,7,102,149,586,5.03,0,0,0,1,4,7,0,0
302,fa,24,142,680573,Simeon Woods Richardson,11,1.46,53.1,57,32,30,21,46,8,160,235,930,5.06,0,0,0,2,4,10,0,0
