rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,gamesStarted,completeGames,shutouts
347,fa,27,115,669020,Ryan Rolison,14,1.76,17.0,20,14,13,10,10,2,51,77,266,6.88,0,0,0,0,0,1,0,0
348,fa,34,115,641755,Tyler Kinley,34,1.68,32.2,31,28,25,24,32,2,98,155,645,6.89,2,5,3,0,3,0,0,0
349,fa,25,138,682610,Roddery Muñoz,6,1.5,6.2,6,6,6,4,7,2,20,30,132,8.1,0,0,0,0,0,0,0,0
350,fa,29,111,660896,Jorge Alcala,25,1.69,26.2,30,25,24,15,30,5,80,122,512,8.1,0,1,1,0,2,0,0,0
351,fa,36,108,593576,Héctor Neris,22,1.57,14.0,15,13,13,7,20,3,42,63,285,8.36,0,7,2,3,1,0,0,0
352,fa,27,120,674285,Eduardo Salazar,25,2.3,24.1,42,24,23,14,19,5,73,129,464,8.51,0,2,1,0,1,0,0,0
353,fa,29,118,669674,Sam Long,8,2.25,8.0,12,12,10,6,7,2,24,41,176,11.25,0,0,0,0,2,0,0,0
354,fa,31,109,656464,Kevin Ginkel,17,2.0,14.0,18,19,18,10,18,2,42,73,301,11.57,1,5,1,1,3,0,0,0
355,fa,27,117,666215,Forrest Whitley,9,2.0,11.0,16,16,16,6,9,3,33,57,212,13.09,0,0,0,0,0,0,0,0
356,fa,26,119,702795,Ryan Loutos,7,2.29,7.0,11,13,11,5,4,1,21,39,126,14.14,0,0,0,1,0,0,0,0
