#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName,CBSSportsName,CBSSportsID
35,Matt Carpenter,572761,8090,8090,8083,*021at*,FA,DH,DH,Carpenter,Matt,,,,Matt Carpenter DH | FA,1794765
36,Donovan Solano,456781,8623,8623,8294,*01te5*,FA,2B,2B,Solano,Donovan,,,,Donovan Solano 2B | FA,1666544
37,Justin Verlander,434378,8700,8700,5420,*000dp*,DET,SP,SP,Verlander,Justin,Verlander,Justin,Justin Verlander,Justin Verlander P | DET,530362
38,Wade Miley,489119,8779,8779,8137,*01sev*,FA,SP,SP,Miley,Wade,,,,Wade Miley P | FA,1716842
39,Kirby Yates,489446,9073,9073,8808,*030vs*,LAA,RP,RP,Yates,Kirby,Yates,Kirby,Kirby Yates,Kirby Yates P | LAA,2036146
40,Nathan Eovaldi,543135,9132,9132,8130,*01ut7*,TEX,SP,SP,Eovaldi,Nathan,Eovaldi,Nathan,Nathan Eovaldi,Nathan Eovaldi P | TEX,1803864
41,Paul Goldschmidt,502671,9218,9218,8126,*01ual*,NYY,1B,1B,Goldschmidt,Paul,Goldschmidt,Paul,Paul Goldschmidt,Paul Goldschmidt 1B | NYY,1765052
42,Starling Marte,516782,9241,9241,7736,*01s9k*,KC,DH,OF,Marte,Starling,Marte,Starling,Starling Marte,Starling Marte DH | KC,1741213
43,Patrick Corbin,571578,9323,9323,8272,*01xfr*,FA,SP,SP,Corbin,Patrick,,,,Patrick Corbin P | FA,1758836
44,Yan Gomes,543228,9627,9627,8290,*024o9*,FA,C,C,Gomes,Yan,,,,Yan Gomes C | FA,1945612
45,Christian Vazquez,543877,9774,9774,8843,*029us*,HOU,C,C,Vazquez,Christian,Vázquez,Christian,Christian Vázquez,Christian Vazquez C | HOU,1810924
46,Nolan Arenado,571448,9777,9777,8223,*01sy3*,ARI,3B,3B,Arenado,Nolan,Arenado,Nolan,Nolan Arenado,Nolan Arenado 3B | ARI,1755142
47,Andrew McCutchen,457705,9847,9847,6696,*01c1g*,TEX,DH,DH,McCutchen,Andrew,McCutchen,Andrew,Andrew McCutchen,Andrew McCutchen DH | TEX,1103290
48,DJ LeMahieu,518934,9874,9874,8079,*01sfi*,FA,3B,3B,LeMahieu,DJ,,,,DJ LeMahieu 3B | FA,1740958
49,Christian Bethancourt,542194,10028,10028,8615,*01sci*,CHC,C,C,Bethancourt,Christian,Bethancourt,Christian,Christian Bethancourt,Christian Bethancourt C | CHC,1718084
50,Mike Trout,545361,10155,10155,7689,*01s8u*,LAA,OF,OF,Trout,Mike,Trout,Mike,Mike Trout,Mike Trout OF | LAA,1739608
51,Shelby Miller,571946,10197,10197,7683,*01sbv*,CHC,RP,RP,Miller,Shelby,Miller,Shelby,Shelby Miller,Shelby Miller P | CHC,1739603
52,Tucker Barnhart,571466,10200,10200,8747,*022vw*,FA,C,C,Barnhart,Tucker,,,,Tucker Barnhart C | FA,1803883
53,Jose Iglesias,578428,10231,10231,7867,*01s98*,FA,SS,SS,Iglesias,Jose,,,,Jose Iglesias SS | FA,1707364
54,Aroldis Chapman,547973,10233,10233,7709,*01gya*,BOS,RP,RP,Chapman,Aroldis,Chapman,Aroldis,Aroldis Chapman,Aroldis Chapman P | BOS,1717646
55,Randal Grichuk,545341,10243,10243,8773,*01s9c*,NYY,OF,OF,Grichuk,Randal,Grichuk,Randal,Randal Grichuk,Randal Grichuk OF | NYY,1745354
56,Zack Wheeler,554430,10310,10310,8235,*01sb3*,PHI,SP,SP,Wheeler,Zack,Wheeler,Zack,Zack Wheeler,Zack Wheeler P | PHI,1744777
57,Michael Tonkin,543859,10315,10315,8541,*02oyz*,FA,RP,RP,Tonkin,Michael,,,,Michael Tonkin P | FA,2027421
58,Rafael Ortega,542364,10323,10323,8410,*022vt*,FA,OF,OF,Ortega,Rafael,,,,Rafael Ortega OF | FA,2017392
59,Marcell Ozuna,542303,10324,10324,8478,*01usi*,PIT,DH,OF,Ozuna,Marcell,Ozuna,Marcell,Marcell Ozuna,Marcell Ozuna DH | PIT,1953522
