upid,name,manager,contract,mlb_id,player_type,rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev,atBats,doubles,triples,obp,ops,slg,rbi,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position
4216,Marco Raya,,,694397,pitcher,18,min,23,142.0,694397,Marco Raya,30.0,1.62,98.2,103,72,66.0,57,102,16,296.0,451.0,,6.02,0.0,1.0,0.0,2.0,8.0,AAA,,,,,,,,,,,,,
4237,Mason Black,,,696131,pitcher,21,kc,26,118.0,696131,Mason Black,31.0,1.47,123.1,119,88,80.0,62,119,19,370.0,550.0,,5.84,0.0,0.0,0.0,3.0,10.0,ALL (2),,,,,,,,,,,,,
4301,Gabriel Rincones Jr.,,,687282,batter,9,phi,24,,687282,Gabriel Rincones Jr.,,,,99,81,,80,114,18,,,,,,,,,,AAA,412.0,22.0,1.0,0.37,0.8,0.43,73.0,21.0,5.0,230.0,177.0,0.24,RF
4309,Blake Burkhalter,,,686628,pitcher,11,atl,25,144.0,686628,Blake Burkhalter,32.0,1.32,103.0,91,41,38.0,45,88,4,309.0,437.0,,3.32,1.0,2.0,1.0,4.0,7.0,ALL (2),,,,,,,,,,,,,
4314,Brayan Cortesia,,,829049,batter,24,was,18,,829049,Brayan Cortesia,,,,38,26,,25,25,0,,,,,,,,,,ROK,120.0,3.0,1.0,0.44,0.798,0.358,12.0,22.0,13.0,53.0,43.0,0.317,SS
4349,Brendan Tunink,,,815665,batter,19,la,20,,815665,Brendan Tunink,,,,42,35,,27,51,5,,,,,,,,,,ROK,140.0,10.0,5.0,0.417,0.967,0.55,17.0,9.0,2.0,50.0,77.0,0.3,OF
4443,Walbert Ureña,,,700712,pitcher,24,ana,21,108.0,700712,Walbert Urena,28.0,1.36,141.0,119,75,68.0,73,125,8,423.0,604.0,,4.34,0.0,0.0,0.0,6.0,9.0,ALL (2),,,,,,,,,,,,,
4443,Walbert Urena,,,700712,pitcher,24,ana,21,108.0,700712,Walbert Urena,28.0,1.36,141.0,119,75,68.0,73,125,8,423.0,604.0,,4.34,0.0,0.0,0.0,6.0,9.0,ALL (2),,,,,,,,,,,,,
4467,Randy De Jesus,,,703194,batter,27,ana,20,,703194,Randy De Jesus,,,,78,42,,49,164,18,,,,,,,,,,A+,421.0,11.0,0.0,0.28,0.62,0.34,55.0,3.0,2.0,218.0,143.0,0.185,OF
4508,Christian Franklin,,,681047,batter,13,was,26,,681047,Christian Franklin,,,,121,77,,80,110,12,,,,,,,,,,ALL (2),445.0,23.0,5.0,0.39,0.817,0.427,64.0,19.0,9.0,169.0,190.0,0.272,LF
4523,Tirso Ornelas,,,672359,batter,11,sd,25,,672359,Tirso Ornelas,,,,93,63,,48,66,10,,,,,,,,,,ALL (2),332.0,21.0,0.0,0.376,0.81,0.434,58.0,7.0,2.0,159.0,144.0,0.28,LF
4552,Garrett Hawkins,,,678184,pitcher,19,sd,25,135.0,678184,Garrett Hawkins,45.0,0.85,60.0,28,10,10.0,23,80,1,180.0,228.0,,1.5,10.0,3.0,0.0,9.0,1.0,ALL (2),,,,,,,,,,,,,
4558,Jackson Cox,,,702484,pitcher,30,col,22,115.0,702484,Jackson Cox,23.0,1.12,85.0,70,35,32.0,25,92,12,255.0,341.0,,3.39,0.0,0.0,0.0,4.0,6.0,A,,,,,,,,,,,,,
4560,Leonardo Bernal,,,699024,batter,4,stl,21,,699024,Leonardo Bernal,,,,98,58,,49,77,13,,,,,,,,,,AA,396.0,19.0,0.0,0.332,0.726,0.394,70.0,13.0,3.0,191.0,156.0,0.247,C
4561,Miguel Ullola,,,699044,pitcher,4,hou,23,117.0,699044,Miguel Ullola,28.0,1.35,113.2,75,49,49.0,78,131,7,341.0,492.0,,3.88,1.0,0.0,1.0,7.0,6.0,AAA,,,,,,,,,,,,,
4562,Chen Zhong-Ao Zhuang,,,800018,pitcher,28,oak,25,133.0,800018,Chen Zhong-Ao Zhuang,28.0,1.28,145.2,151,79,66.0,35,145,22,437.0,617.0,,4.08,0.0,0.0,0.0,6.0,11.0,AA,,,,,,,,,,,,,
4566,David McCabe,,,678173,batter,28,atl,25,,678173,David McCabe,,,,129,62,,71,121,14,,,,,,,,,,ALL (2),469.0,27.0,1.0,0.367,0.793,0.426,71.0,3.0,1.0,183.0,200.0,0.275,3B
4569,Luis Lara,,,800325,batter,12,mil,21,,800325,Luis Lara,,,,132,79,,86,99,2,,,,,,,,,,AA,513.0,32.0,3.0,0.369,0.712,0.343,40.0,44.0,7.0,190.0,176.0,0.257,CF
4576,Jesus Baez,,,800305,batter,10,stl,20,,800305,Jesus Baez,,,,94,60,,46,80,14,,,,,,,,,,ALL (3),388.0,14.0,0.0,0.326,0.713,0.387,57.0,9.0,5.0,198.0,150.0,0.242,SS
4579,Mitch Bratt,,,683352,pitcher,9,ari,22,109.0,683352,Mitch Bratt,24.0,1.17,122.1,122,49,46.0,21,148,18,367.0,505.0,,3.38,0.0,0.0,0.0,7.0,4.0,ALL (2),,,,,,,,,,,,,
4582,Ashton Izzi,,,802416,pitcher,18,ari,22,109.0,802416,Ashton Izzi,18.0,1.44,75.0,80,48,40.0,28,80,11,225.0,334.0,,4.8,0.0,0.0,0.0,3.0,6.0,ALL (2),,,,,,,,,,,,,
4596,Yendry Rojas,,,696070,pitcher,5,min,23,142.0,696070,Kendry Rojas,19.0,1.55,69.0,75,42,36.0,32,90,7,207.0,312.0,,4.7,0.0,0.0,0.0,2.0,5.0,ALL (5),,,,,,,,,,,,,
4597,Adrian Sugastey,,,814696,batter,26,la,21,,814696,Jaron Elkins,,,,118,81,,45,153,9,,,,,,,,,,A,447.0,30.0,5.0,0.35,0.764,0.414,72.0,63.0,6.0,234.0,185.0,0.264,OF
4606,Rosman Verdugo,,,698916,batter,25,sd,20,,698916,Rosman Verdugo,,,,83,59,,72,158,13,,,,,,,,,,A+,404.0,15.0,3.0,0.339,0.693,0.354,43.0,6.0,3.0,214.0,143.0,0.205,SS
4611,Bradgley Rodriguez,,,699134,pitcher,6,sd,22,135.0,699134,Bradgley Rodriguez,40.0,1.06,44.1,28,15,14.0,19,47,1,133.0,181.0,,2.84,5.0,5.0,3.0,7.0,0.0,ALL (3),,,,,,,,,,,,,
4613,Cutter Coffey,,,702690,batter,27,tor,21,,702690,Cutter Coffey,,,,105,68,,47,100,11,,,,,,,,,,A+,384.0,26.0,0.0,0.359,0.786,0.427,62.0,10.0,3.0,192.0,164.0,0.273,3B
4629,Mason Barnett,,,686930,pitcher,9,oak,25,133.0,686930,Mason Barnett,30.0,1.61,141.1,151,99,98.0,76,142,20,424.0,648.0,,6.24,0.0,0.0,0.0,7.0,3.0,ALL (2),,,,,,,,,,,,,
4631,Nelson Rada,,,703185,batter,7,ana,20,,703185,Nelson Rada,,,,143,81,,75,117,2,,,,,,,,,,ALL (2),489.0,19.0,4.0,0.398,0.758,0.36,39.0,54.0,18.0,138.0,176.0,0.292,CF
4634,T.J. Rumfield,,,681198,batter,25,nyy,25,,681198,T.J. Rumfield,,,,142,85,,70,108,16,,,,,,,,,,AAA,499.0,31.0,1.0,0.378,0.825,0.447,87.0,5.0,2.0,239.0,223.0,0.285,1B
4641,Danny De Andrade,,,694185,batter,30,min,21,,694185,Danny De Andrade,,,,100,55,,43,115,9,,,,,,,,,,A+,437.0,26.0,8.0,0.317,0.704,0.387,58.0,15.0,6.0,205.0,169.0,0.229,SS
4644,Isaiah Lowe,,,702584,pitcher,27,sd,22,135.0,702584,Isaiah Lowe,22.0,1.76,91.2,110,67,58.0,51,70,8,275.0,433.0,,5.69,0.0,0.0,0.0,3.0,12.0,A+,,,,,,,,,,,,,
4649,Trevor McDonald,,,686790,pitcher,18,sf,24,137.0,686790,Trevor McDonald,32.0,1.4,157.1,157,104,87.0,64,158,23,472.0,689.0,,4.98,0.0,0.0,0.0,10.0,9.0,ALL (2),,,,,,,,,,,,,
4651,Yu-Min Lin,,,801179,pitcher,20,ari,22,109.0,801179,Yu-Min Lin,23.0,1.81,101.2,124,81,75.0,60,85,18,305.0,481.0,,6.64,0.0,0.0,0.0,5.0,7.0,AAA,,,,,,,,,,,,,
4655,Carson Palmquist,,,687223,pitcher,13,col,25,115.0,687223,Carson Palmquist,35.0,1.55,112.0,107,78,74.0,67,121,17,336.0,513.0,,5.95,0.0,0.0,0.0,4.0,9.0,ALL (2),,,,,,,,,,,,,
4656,Gabriel Rodriguez,,,821657,batter,24,cle,18,,821657,Gabriel Rodriguez,,,,30,21,,15,23,1,,,,,,,,,,ROK,102.0,4.0,2.0,0.393,0.795,0.402,15.0,11.0,2.0,43.0,41.0,0.294,SS
4661,Luis Baez,,,800232,batter,20,hou,21,,800232,Luis Baez,,,,63,29,,23,74,2,,,,,,,,,,ALL (2),254.0,14.0,2.0,0.312,0.655,0.343,28.0,7.0,1.0,128.0,87.0,0.248,OF
4664,Shane Drohan,,,675660,pitcher,30,bos,26,111.0,675660,Shane Drohan,15.0,1.13,54.0,40,19,18.0,21,77,5,162.0,223.0,,3.0,0.0,0.0,0.0,5.0,2.0,ALL (2),,,,,,,,,,,,,
4669,Yordany De Los Santos,,,703154,batter,15,pit,20,,703154,Yordany De Los Santos,,,,115,62,,40,140,11,,,,,,,,,,ALL (2),464.0,27.0,2.0,0.309,0.695,0.386,54.0,51.0,14.0,195.0,179.0,0.248,SS
4683,Alex McFarlane,,,686934,pitcher,20,phi,24,143.0,686934,Alex McFarlane,28.0,1.38,80.0,67,46,43.0,43,82,4,240.0,346.0,,4.84,0.0,1.0,2.0,4.0,9.0,ALL (2),,,,,,,,,,,,,
4686,Nick Morabito,,,703492,batter,16,nym,22,,703492,Nick Morabito,,,,119,63,,47,115,6,,,,,,,,,,AA,436.0,27.0,2.0,0.348,0.733,0.385,59.0,49.0,11.0,187.0,168.0,0.273,CF
4923,Ricardo Olivar,,,691627,batter,26,min,24,,691627,Ricardo Olivar,,,,93,56,,49,74,13,,,,,,,,,,AA,352.0,13.0,0.0,0.356,0.768,0.412,59.0,13.0,3.0,172.0,145.0,0.264,C
4966,Austin Charles,,,800051,batter,29,kc,22,,800051,Austin Charles,,,,45,24,,19,65,2,,,,,,,,,,ALL (2),220.0,10.0,2.0,0.26,0.555,0.295,20.0,11.0,5.0,95.0,65.0,0.205,SS
5211,Kala'i Rosario,,,693850,batter,29,min,23,,693850,Kala'i Rosario,,,,127,92,,73,159,25,,,,,,,,,,AA,497.0,30.0,5.0,0.358,0.845,0.487,83.0,32.0,7.0,252.0,242.0,0.256,OF
5242,Juan Sanchez,,,825646,batter,18,tor,18,,825646,Juan Sanchez,,,,73,47,,26,44,8,,,,,,,,,,ROK,214.0,16.0,4.0,0.439,1.004,0.565,40.0,4.0,3.0,82.0,121.0,0.341,SS
5344,Jesus Rodriguez,,,683679,batter,16,sf,23,,683679,Jesus Rodriguez,,,,150,76,,66,78,7,,,,,,,,,,ALL (3),489.0,20.0,3.0,0.393,0.796,0.403,59.0,21.0,9.0,196.0,197.0,0.307,C
5423,Jadher Areinamo,,,699130,batter,29,tb,22,,699130,Jadher Areinamo,,,,145,69,,46,67,15,,,,,,,,,,ALL (2),508.0,32.0,2.0,0.344,0.789,0.445,70.0,21.0,8.0,199.0,226.0,0.285,2B
5433,Jacob Gonzalez,,,694378,batter,16,cws,23,,694378,Jacob Gonzalez,,,,110,56,,48,86,8,,,,,,,,,,ALL (2),475.0,26.0,2.0,0.307,0.652,0.345,61.0,17.0,3.0,224.0,164.0,0.232,SS
5442,Jack Neely,,,680891,pitcher,25,chc,25,112.0,680891,Jack Neely,31.0,1.5,33.1,23,22,22.0,27,43,5,100.0,155.0,,5.94,5.0,5.0,0.0,0.0,2.0,ALL (2),,,,,,,,,,,,,
5641,Diego Velasquez,,,694196,batter,23,sf,22,,694196,Diego Velasquez,,,,121,60,,70,81,2,,,,,,,,,,AA,473.0,20.0,1.0,0.362,0.677,0.315,32.0,19.0,6.0,157.0,149.0,0.256,SS
5723,Creed Willems,,,695735,batter,30,bal,22,,695735,Creed Willems,,,,96,41,,38,83,16,,,,,,,,,,AA,379.0,21.0,1.0,0.338,0.779,0.441,59.0,1.0,2.0,175.0,167.0,0.253,C
5819,Cameron Cauley,,,695508,batter,17,tex,22,,695508,Cameron Cauley,,,,110,74,,47,121,15,,,,,,,,,,AA,435.0,26.0,7.0,0.325,0.773,0.448,51.0,28.0,7.0,186.0,195.0,0.253,SS
5881,Blake Hunt,,,687762,pitcher,21,bos,25,111.0,687762,Blake Wehunt,17.0,1.47,63.1,64,45,40.0,29,76,8,190.0,281.0,,5.68,0.0,0.0,0.0,2.0,8.0,AA,,,,,,,,,,,,,
6007,Abimelec Ortiz,,,694673,batter,18,tex,23,,694673,Abimelec Ortiz,,,,123,85,,65,123,25,,,,,,,,,,ALL (2),478.0,25.0,3.0,0.356,0.835,0.479,89.0,4.0,2.0,225.0,229.0,0.257,1B
6016,Jacob Reimer,,,702544,batter,6,nym,21,,702544,Jacob Reimer,,,,125,88,,58,112,17,,,,,,,,,,ALL (2),444.0,32.0,5.0,0.379,0.87,0.491,77.0,15.0,3.0,233.0,218.0,0.282,3B
6019,Lamar King Jr.,,,702601,batter,14,sd,22,,702601,Lamar King Jr.,,,,110,54,,44,93,4,,,,,,,,,,ALL (2),401.0,30.0,1.0,0.353,0.737,0.384,44.0,21.0,3.0,218.0,154.0,0.274,C
6025,Kenni Gomez,,,703198,batter,23,hou,20,,703198,Kenni Gomez,,,,79,34,,20,100,6,,,,,,,,,,A+,341.0,18.0,2.0,0.274,0.623,0.349,48.0,22.0,7.0,167.0,119.0,0.232,OF
6028,Dominic Keegan,,,681371,batter,20,tb,25,,681371,Dominic Keegan,,,,71,41,,32,97,12,,,,,,,,,,ALL (2),290.0,18.0,2.0,0.322,0.767,0.445,40.0,0.0,1.0,152.0,129.0,0.245,C
6040,Caleb Ricketts,,,681080,batter,22,phi,25,,681080,Caleb Ricketts,,,,69,32,,14,47,8,,,,,,,,,,ALL (3),251.0,17.0,0.0,0.315,0.753,0.438,34.0,0.0,1.0,113.0,110.0,0.275,C
