upid,name,manager,contract,mlb_id,player_type,rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev,atBats,doubles,triples,obp,ops,slg,rbi,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position
6574,Yohandy Morales,,,691002,batter,21,was,24,,691002,Yohandy Morales,,,,135,85,,57,164,15,,,,,,,,,,ALL (2),509.0,31.0,4.0,0.339,0.769,0.43,71.0,7.0,2.0,230.0,219.0,0.265,3B
6575,Jansel Luis,,,800306,batter,12,ari,20,,800306,Jansel Luis,,,,131,65,,27,74,5,,,,,,,,,,ALL (2),421.0,21.0,8.0,0.347,0.782,0.435,67.0,24.0,7.0,201.0,183.0,0.311,SS
6576,Cristofer Torin,,,800198,batter,19,ari,20,,800198,Cristofer Torin,,,,142,83,,69,81,6,,,,,,,,,,ALL (2),488.0,26.0,3.0,0.383,0.776,0.393,59.0,16.0,7.0,224.0,192.0,0.291,SS
6582,Alexander Albertus,,,800316,batter,23,cws,21,,800316,Alexander Albertus,,,,6,4,,6,3,0,,,,,,,,,,ROK,18.0,2.0,0.0,0.52,0.964,0.444,2.0,3.0,0.0,5.0,8.0,0.333,SS
6585,Brock Wilken,,,694385,batter,17,mil,23,,694385,Brock Wilken,,,,61,46,,69,93,18,,,,,,,,,,AA,270.0,17.0,0.0,0.387,0.876,0.489,46.0,2.0,0.0,151.0,132.0,0.226,3B
6589,Dillon Head,,,702977,batter,11,mia,21,,702977,Dillon Head,,,,81,60,,59,82,4,,,,,,,,,,ALL (2),362.0,4.0,9.0,0.336,0.654,0.318,39.0,37.0,9.0,148.0,115.0,0.224,CF
6594,Tai Peete,,,806191,batter,11,sea,20,,806191,Tai Peete,,,,103,58,,46,162,19,,,,,,,,,,A+,475.0,24.0,4.0,0.288,0.692,0.404,63.0,25.0,11.0,247.0,192.0,0.217,OF
6600,Joe Whitman,,,802126,pitcher,14,sf,24,137.0,802126,Joe Whitman,26.0,1.5,117.1,129,72,69.0,47,124,10,352.0,513.0,,5.29,0.0,0.0,0.0,5.0,11.0,AA,,,,,,,,,,,,,
6607,Chase Davis,,,690971,batter,26,stl,24,,690971,Chase Davis,,,,100,61,,67,146,10,,,,,,,,,,AA,414.0,16.0,0.0,0.358,0.711,0.353,48.0,9.0,2.0,178.0,146.0,0.242,OF
6610,Luis Guanipa,,,806994,batter,20,atl,20,,806994,Luis Guanipa,,,,33,20,,14,20,1,,,,,,,,,,ALL (2),126.0,5.0,0.0,0.345,0.67,0.325,15.0,2.0,1.0,43.0,41.0,0.262,OF
6613,Garrett Baumann,,,803833,pitcher,6,atl,21,144.0,803833,Garrett Baumann,23.0,1.24,113.2,110,48,43.0,31,108,10,341.0,481.0,,3.4,0.0,0.0,0.0,6.0,9.0,A+,,,,,,,,,,,,,
6614,Colton Ledbetter,,,807742,batter,24,tb,24,,807742,Colton Ledbetter,,,,123,67,,51,128,7,,,,,,,,,,AA,465.0,24.0,4.0,0.337,0.715,0.378,49.0,37.0,11.0,178.0,176.0,0.265,OF
6620,Tony Blanco Jr.,,,703156,batter,30,pit,20,,703156,Tony Blanco Jr.,,,,29,11,,18,46,8,,,,,,,,,,ALL (2),112.0,3.0,0.0,0.359,0.859,0.5,23.0,0.0,0.0,46.0,56.0,0.259,OF
6621,Zander Mueth,,,805800,pitcher,14,pit,20,134.0,805800,Zander Mueth,12.0,2.08,26.0,25,25,19.0,29,34,1,78.0,135.0,,6.58,0.0,0.0,0.0,0.0,4.0,ALL (2),,,,,,,,,,,,,
6622,Carlos Jimenez,,,692039,batter,26,sea,22,,692039,Carlos Jimenez,,,,108,75,,60,116,14,,,,,,,,,,A,418.0,17.0,4.0,0.358,0.777,0.419,63.0,30.0,13.0,189.0,175.0,0.258,CF
6629,Juaran Watts-Brown,,,695033,pitcher,10,bal,23,110.0,695033,Juaron Watts-Brown,26.0,1.13,124.1,90,58,50.0,50,158,16,373.0,515.0,,3.62,0.0,0.0,0.0,3.0,8.0,ALL (3),,,,,,,,,,,,,
6633,Will Sanders,,,691739,pitcher,23,chc,23,112.0,691739,Will Sanders,26.0,1.35,123.1,125,77,69.0,41,123,15,370.0,531.0,,5.04,0.0,1.0,0.0,10.0,6.0,ALL (2),,,,,,,,,,,,,
6634,Teddy McGraw,,,803141,pitcher,13,sea,24,136.0,803141,Teddy McGraw,14.0,1.41,28.1,32,10,10.0,8,33,1,85.0,120.0,,3.18,0.0,0.0,0.0,0.0,3.0,ALL (2),,,,,,,,,,,,,
6636,Maui Ahuna,,,694757,batter,12,sf,23,,694757,Maui Ahuna,,,,63,49,,31,74,5,,,,,,,,,,ALL (3),234.0,22.0,3.0,0.37,0.823,0.453,36.0,12.0,2.0,109.0,106.0,0.269,SS
6637,Walker Martin,,,806152,batter,28,sf,21,,806152,Walker Martin,,,,95,67,,69,137,12,,,,,,,,,,A,406.0,19.0,3.0,0.353,0.737,0.384,70.0,13.0,4.0,226.0,156.0,0.234,SS
6638,Blake Wolters,,,806265,pitcher,18,kc,21,118.0,806265,Blake Wolters,12.0,1.56,47.1,34,25,21.0,40,40,3,142.0,207.0,,3.99,0.0,0.0,0.0,2.0,2.0,A,,,,,,,,,,,,,
6640,Asbel Gonzalez,,,808706,batter,12,kc,20,,808706,Asbel Gonzalez,,,,99,82,,54,86,1,,,,,,,,,,A,415.0,12.0,3.0,0.365,0.654,0.289,21.0,78.0,26.0,135.0,120.0,0.239,OF
6642,David Sandlin,,,689818,pitcher,8,bos,24,111.0,689818,David Sandlin,32.0,1.37,106.0,105,55,53.0,40,107,10,318.0,457.0,,4.5,0.0,2.0,2.0,9.0,6.0,ALL (2),,,,,,,,,,,,,
6644,Jared Sundstrom,,,814791,batter,14,sea,24,,814791,Jared Sundstrom,,,,96,62,,40,145,12,,,,,,,,,,AA,438.0,22.0,5.0,0.297,0.671,0.374,53.0,35.0,4.0,231.0,164.0,0.219,OF
6645,Ty Floyd,,,692226,pitcher,28,cin,24,113.0,692226,Ty Floyd,8.0,0.9,27.2,14,12,10.0,11,31,4,83.0,109.0,,3.25,0.0,0.0,0.0,0.0,1.0,A,,,,,,,,,,,,,
6647,Steven Echavarria,,,806064,pitcher,12,oak,20,133.0,806064,Steven Echavarria,26.0,1.42,104.0,106,57,53.0,42,88,8,312.0,451.0,,4.59,0.0,0.0,0.0,3.0,7.0,A+,,,,,,,,,,,,,
6648,Ryan Lasko,,,805782,batter,16,oak,23,,805782,Ryan Lasko,,,,76,52,,46,86,6,,,,,,,,,,ALL (3),312.0,9.0,2.0,0.355,0.698,0.343,42.0,14.0,5.0,150.0,107.0,0.244,OF
6659,Kendall George,,,806077,batter,24,la,21,,806077,Kendall George,,,,125,93,,84,78,3,,,,,,,,,,A+,424.0,9.0,7.0,0.409,0.779,0.37,34.0,100.0,24.0,152.0,157.0,0.295,OF
6660,Eriq Swan,,,811291,pitcher,18,was,24,120.0,811291,Eriq Swan,21.0,1.43,91.2,68,48,45.0,63,102,7,275.0,398.0,,4.42,0.0,0.0,0.0,4.0,6.0,ALL (2),,,,,,,,,,,,,
6662,Dylan Campbell,,,694749,batter,28,phi,23,,694749,Dylan Campbell,,,,97,63,,51,110,14,,,,,,,,,,ALL (2),452.0,23.0,2.0,0.298,0.665,0.367,60.0,33.0,11.0,219.0,166.0,0.215,CF
6670,Bryan Rincon,,,804858,batter,17,phi,21,,804858,Bryan Rincon,,,,54,58,,50,103,6,,,,,,,,,,A+,299.0,13.0,2.0,0.304,0.602,0.298,31.0,40.0,5.0,127.0,89.0,0.181,SS
6672,T.J. Nichols,,,694375,pitcher,26,tb,23,139.0,694375,T.J. Nichols,25.0,1.02,133.2,106,47,43.0,30,156,21,401.0,524.0,,2.9,0.0,0.0,0.0,14.0,3.0,ALL (2),,,,,,,,,,,,,
6678,Jake Miller,,,805725,pitcher,19,det,24,116.0,805725,Jake Miller,6.0,1.2,20.0,20,5,4.0,4,21,1,60.0,83.0,,1.8,0.0,0.0,0.0,0.0,0.0,ALL (2),,,,,,,,,,,,,
6680,Nasim Nuñez,,,800957,batter,15,nyy,23,,800957,Brendan Jones,,,,112,89,,82,109,11,,,,,,,,,,ALL (2),458.0,20.0,8.0,0.359,0.754,0.395,69.0,51.0,9.0,180.0,181.0,0.245,OF
6682,Kemp Alderman,,,694580,batter,10,mia,23,,694580,Kemp Alderman,,,,139,69,,39,124,22,,,,,,,,,,ALL (2),488.0,20.0,5.0,0.338,0.82,0.482,70.0,22.0,10.0,205.0,235.0,0.285,OF
6689,Mitch Jebb,,,694991,batter,19,pit,23,,694991,Mitch Jebb,,,,118,55,,59,56,0,,,,,,,,,,AA,445.0,11.0,6.0,0.35,0.667,0.317,34.0,33.0,5.0,184.0,141.0,0.265,SS
6690,Jhonny Severino,,,703177,batter,23,pit,21,,703177,Jhonny Severino,,,,91,44,,32,118,11,,,,,,,,,,A,423.0,24.0,2.0,0.277,0.636,0.359,49.0,10.0,8.0,188.0,152.0,0.215,SS
6692,Michael Prosecky,,,687087,pitcher,22,col,24,115.0,687087,Michael Prosecky,27.0,1.35,126.2,107,65,59.0,64,127,13,380.0,550.0,,4.19,0.0,0.0,0.0,11.0,7.0,ALL (2),,,,,,,,,,,,,
6693,Caden Scarborough,,,807291,pitcher,8,tex,20,140.0,807291,Caden Scarborough,22.0,0.88,88.0,56,26,24.0,21,114,7,264.0,343.0,,2.45,0.0,0.0,0.0,2.0,5.0,ALL (2),,,,,,,,,,,,,
6698,Sean Sullivan,,,807743,pitcher,12,col,23,115.0,807743,Sean Sullivan,20.0,1.06,104.0,85,35,34.0,25,104,7,312.0,418.0,,2.94,0.0,0.0,0.0,9.0,6.0,ALL (3),,,,,,,,,,,,,
6708,Yordanny Monegro,,,694057,pitcher,24,bos,23,111.0,694057,Yordanny Monegro,9.0,1.19,33.2,32,12,10.0,8,49,3,101.0,137.0,,2.67,0.0,0.0,0.0,2.0,1.0,AA,,,,,,,,,,,,,
6714,Landon Maroudis,,,805793,pitcher,28,tor,21,141.0,805793,Landen Maroudis,18.0,1.79,45.1,36,35,33.0,45,34,1,136.0,216.0,,6.55,0.0,0.0,0.0,1.0,8.0,ALL (2),,,,,,,,,,,,,
6716,Max Anderson,,,801194,batter,9,det,23,,801194,Max Anderson,,,,149,78,,36,87,19,,,,,,,,,,ALL (2),504.0,31.0,2.0,0.35,0.828,0.478,88.0,3.0,3.0,221.0,241.0,0.296,2B
6718,Charlee Soto,Btwn2Jackies,Purchased Contract,805792,pitcher,15,min,20,142.0,805792,Charlee Soto,3.0,1.0,13.0,9,2,2.0,4,15,0,39.0,53.0,,1.38,0.0,0.0,0.0,0.0,1.0,A+,,,,,,,,,,,,,
6721,Ethan Pecko,,,814490,pitcher,10,hou,23,117.0,814490,Ethan Pecko,20.0,1.25,80.0,73,37,34.0,27,95,6,240.0,331.0,,3.83,0.0,1.0,0.0,3.0,10.0,ALL (3),,,,,,,,,,,,,
6722,Tyler Cleveland,,,804663,pitcher,29,sea,26,136.0,804663,Tyler Cleveland,41.0,0.75,51.2,22,9,5.0,17,50,0,155.0,196.0,,0.87,2.0,11.0,1.0,3.0,1.0,ALL (2),,,,,,,,,,,,,
6725,Jaxon Wiggins,Country Fried Lamb,Purchased Contract,694393,pitcher,3,chc,24,112.0,694393,Jaxon Wiggins,19.0,1.03,78.0,44,24,19.0,36,97,4,234.0,313.0,,2.19,0.0,0.0,0.0,3.0,4.0,ALL (3),,,,,,,,,,,,,
6728,Alonzo Tredwell,,,696280,pitcher,26,hou,23,117.0,696280,Alonzo Tredwell,26.0,1.3,100.0,85,46,41.0,45,122,9,300.0,427.0,,3.69,1.0,3.0,0.0,5.0,3.0,ALL (3),,,,,,,,,,,,,
6731,RJ Schreck,,,702302,batter,10,tor,25,,702302,RJ Schreck,,,,85,62,,70,91,18,,,,,,,,,,ALL (4),342.0,14.0,2.0,0.395,0.854,0.459,53.0,9.0,1.0,162.0,157.0,0.249,LF
6733,Jake Bloss,,,814005,pitcher,8,tor,24,141.0,814005,Jake Bloss,6.0,1.94,23.2,33,25,17.0,13,24,3,71.0,115.0,,6.46,0.0,0.0,0.0,0.0,5.0,AAA,,,,,,,,,,,,,
6740,Daiverson Gutierrez,,,806987,batter,19,nym,20,,806987,Daiverson Gutierrez,,,,79,54,,53,58,4,,,,,,,,,,A,327.0,10.0,0.0,0.362,0.671,0.309,41.0,6.0,4.0,171.0,101.0,0.242,C
6741,Tyler Schlaffer,,,690370,pitcher,30,chc,24,112.0,690370,Tyler Schlaffer,21.0,1.19,104.2,79,45,41.0,46,102,9,314.0,429.0,,3.53,0.0,0.0,0.0,7.0,3.0,ALL (2),,,,,,,,,,,,,
6753,Steven Zobac,,,686632,pitcher,11,kc,25,118.0,686632,Steven Zobac,14.0,1.79,44.2,64,38,36.0,16,45,10,134.0,211.0,,7.25,0.0,0.0,0.0,0.0,4.0,ALL (2),,,,,,,,,,,,,
6754,Hiro Wyatt,,,702965,pitcher,23,kc,21,118.0,702965,Hiro Wyatt,21.0,1.46,79.0,86,45,42.0,29,78,8,237.0,349.0,,4.78,0.0,0.0,0.0,2.0,7.0,A,,,,,,,,,,,,,
6757,Kyle Carr,,,694805,pitcher,13,nyy,23,147.0,694805,Kyle Carr,25.0,1.13,133.0,95,48,39.0,55,117,8,399.0,538.0,,2.64,0.0,0.0,0.0,8.0,7.0,ALL (2),,,,,,,,,,,,,
6772,Brett Bateman,,,703520,batter,21,chc,23,,703520,Brett Bateman,,,,86,42,,61,82,2,,,,,,,,,,AA,329.0,9.0,0.0,0.376,0.683,0.307,33.0,19.0,6.0,125.0,101.0,0.261,OF
6773,Cole Schoenwetter,,,800616,pitcher,26,cin,21,113.0,800616,Cole Schoenwetter,26.0,1.61,78.1,66,62,51.0,60,75,9,235.0,358.0,,5.86,2.0,0.0,0.0,3.0,8.0,A,,,,,,,,,,,,,
6775,Jackson Nezuh,,,694545,pitcher,12,hou,23,117.0,694545,Jackson Nezuh,20.0,1.29,76.2,71,40,37.0,28,76,10,230.0,325.0,,4.34,0.0,0.0,1.0,3.0,9.0,ALL (2),,,,,,,,,,,,,
6782,Cole Miller,,,800612,pitcher,24,oak,20,133.0,800612,Cole Miller,15.0,1.08,52.0,45,19,11.0,11,45,1,156.0,210.0,,1.9,0.0,1.0,0.0,1.0,4.0,ALL (2),,,,,,,,,,,,,
6786,Arnaldo Lantigua,,,806984,batter,12,cin,20,,806984,Arnaldo Lantigua,,,,80,50,,27,78,12,,,,,,,,,,ALL (2),302.0,26.0,3.0,0.334,0.824,0.49,56.0,2.0,4.0,164.0,148.0,0.265,OF
6791,Payton Martin,,,806293,pitcher,20,la,21,119.0,806293,Payton Martin,21.0,1.28,81.1,79,41,39.0,25,82,10,244.0,341.0,,4.32,0.0,0.0,0.0,7.0,4.0,ALL (2),,,,,,,,,,,,,
6795,Devin Saltiban,,,813880,batter,14,phi,20,,813880,Devin Saltiban,,,,55,42,,23,102,7,,,,,,,,,,ALL (3),305.0,11.0,3.0,0.259,0.564,0.305,26.0,19.0,5.0,144.0,93.0,0.18,SS
6802,Antonio Jimenez,,,806128,batter,18,nym,21,,806128,Antonio Jimenez,,,,25,12,,12,15,0,,,,,,,,,,A,95.0,1.0,0.0,0.345,0.619,0.274,14.0,8.0,3.0,36.0,26.0,0.263,SS
6806,Alexander Alberto,,,693739,pitcher,21,cws,24,145.0,693739,Alexander Alberto,42.0,1.17,48.2,36,16,14.0,21,64,1,146.0,209.0,,2.59,6.0,5.0,4.0,2.0,2.0,ALL (2),,,,,,,,,,,,,
6826,Jack Brannigan,,,687394,batter,22,pit,24,,687394,Jack Brannigan,,,,46,29,,25,62,5,,,,,,,,,,AA,204.0,8.0,2.0,0.329,0.687,0.358,30.0,9.0,0.0,94.0,73.0,0.225,SS
6850,Luke Adams,,,702726,batter,8,mil,21,,702726,Luke Adams,,,,54,58,,52,64,11,,,,,,,,,,ALL (2),234.0,15.0,0.0,0.417,0.853,0.436,42.0,10.0,3.0,116.0,102.0,0.231,3B
6855,Allan Castro,,,691369,batter,20,bos,22,,691369,Allan Castro,,,,91,43,,44,79,7,,,,,,,,,,AA,340.0,20.0,2.0,0.353,0.753,0.4,37.0,15.0,3.0,135.0,136.0,0.268,CF
6865,"Homer Bush, Jr.",,,683344,batter,28,tb,24,,683344,Homer Bush Jr.,,,,142,69,,48,98,0,,,,,,,,,,AA,472.0,12.0,8.0,0.375,0.735,0.36,45.0,57.0,12.0,164.0,170.0,0.301,CF
6878,Lazaro Estrada,,,681751,pitcher,21,tor,26,141.0,681751,Lazaro Estrada,28.0,1.45,104.2,119,76,69.0,33,109,19,314.0,464.0,,5.93,0.0,0.0,1.0,4.0,7.0,ALL (2),,,,,,,,,,,,,
6880,Brandon Winokur,,,806263,batter,13,min,21,,806263,Brandon Winokur,,,,107,65,,44,131,17,,,,,,,,,,A+,474.0,20.0,3.0,0.304,0.692,0.388,68.0,26.0,4.0,262.0,184.0,0.226,OF
6884,Andrew Morris,,,702193,pitcher,19,min,24,142.0,702193,Andrew Morris,21.0,1.33,94.2,98,49,43.0,28,89,11,284.0,398.0,,4.09,0.0,0.0,1.0,4.0,6.0,AAA,,,,,,,,,,,,,
6898,Eduarniel Nunez,,,674384,pitcher,15,oak,26,133.0,674384,Eduarniel Nunez,49.0,1.28,59.1,40,25,23.0,36,82,4,178.0,245.0,,3.49,7.0,4.0,1.0,6.0,1.0,ALL (5),,,,,,,,,,,,,
6900,Chase Jaworsky,,,814172,batter,16,mia,21,,814172,Chase Jaworsky,,,,54,38,,34,64,4,,,,,,,,,,ALL (2),237.0,10.0,2.0,0.351,0.689,0.338,31.0,31.0,4.0,113.0,80.0,0.228,SS
6901,Connor Noland,,,690939,pitcher,22,chc,26,112.0,690939,Connor Noland,27.0,1.42,132.2,133,69,60.0,55,115,13,398.0,579.0,,4.07,0.0,0.0,0.0,9.0,6.0,AAA,,,,,,,,,,,,,
6909,Kade Morris,,,695034,pitcher,14,oak,23,133.0,695034,Kade Morris,28.0,1.35,150.0,154,81,73.0,48,128,16,450.0,643.0,,4.38,0.0,0.0,0.0,9.0,10.0,ALL (2),,,,,,,,,,,,,
6911,Nolan McLean,not much of a donkey,Purchased Contract,690997,pitcher,1,nym,24,121.0,690997,Nolan McLean,29.0,1.1,161.2,112,48,42.0,66,184,12,485.0,655.0,,2.34,0.0,0.0,0.0,13.0,6.0,ALL (3),,,,,,,,,,,,,
6916,Zach Thornton,,,804267,pitcher,23,nym,23,121.0,804267,Zach Thornton,14.0,0.81,72.2,48,21,16.0,11,78,5,218.0,274.0,,1.98,0.0,0.0,0.0,6.0,2.0,ALL (2),,,,,,,,,,,,,
6917,James Hicks,,,801802,pitcher,24,hou,24,117.0,801802,James Hicks,11.0,1.52,46.2,57,33,29.0,14,46,7,140.0,206.0,,5.59,0.0,0.0,0.0,1.0,5.0,AA,,,,,,,,,,,,,
6921,George Wolkow,,,805804,batter,10,cws,19,,805804,George Wolkow,,,,95,58,,54,147,13,,,,,,,,,,A,426.0,16.0,2.0,0.317,0.679,0.362,69.0,33.0,6.0,242.0,154.0,0.223,OF
6926,Gerelmi Maldonado,,,698965,pitcher,24,sf,22,137.0,698965,Gerelmi Maldonado,23.0,1.58,59.0,49,34,26.0,44,69,2,177.0,272.0,,3.97,0.0,0.0,0.0,0.0,4.0,A,,,,,,,,,,,,,
6938,Carlos Lagrange,Andromedans,Purchased Contract,801739,pitcher,2,nyy,22,147.0,801739,Carlos Lagrange,24.0,1.2,120.0,82,51,47.0,62,168,8,360.0,503.0,,3.53,0.0,0.0,0.0,11.0,8.0,ALL (2),,,,,,,,,,,,,
6942,Barrett Kent,,,806010,pitcher,14,ana,21,108.0,806010,Barrett Kent,10.0,1.5,35.1,32,13,8.0,21,31,1,106.0,153.0,,2.04,0.0,0.0,0.0,1.0,0.0,ALL (2),,,,,,,,,,,,,
6948,Deivid Coronil,,,829060,batter,9,sd,18,,829060,Deivid Coronil,,,,26,23,,21,47,0,,,,,,,,,,ROK,140.0,2.0,1.0,0.327,0.541,0.214,12.0,8.0,0.0,79.0,30.0,0.186,SS
6971,Dario Laverde,,,800188,batter,19,ana,20,,800188,Dario Laverde,,,,80,39,,31,91,4,,,,,,,,,,ALL (2),373.0,13.0,2.0,0.289,0.581,0.292,40.0,0.0,0.0,180.0,109.0,0.214,C
6978,Juan Flores,,,808129,batter,17,ana,19,,808129,Juan Flores,,,,63,38,,18,94,10,,,,,,,,,,A+,305.0,11.0,0.0,0.283,0.624,0.341,40.0,0.0,1.0,164.0,104.0,0.207,C
6979,Enrique Jimenez,,,806992,batter,28,min,20,,806992,Enrique Jimenez,,,,63,42,,46,66,12,,,,,,,,,,ALL (2),246.0,12.0,3.0,0.371,0.847,0.476,50.0,5.0,1.0,116.0,117.0,0.256,C
6985,Jose Urbina,,,808250,pitcher,17,tb,20,139.0,808250,Jose Urbina,20.0,1.06,96.1,72,31,23.0,30,101,9,289.0,380.0,,2.15,0.0,0.0,0.0,7.0,2.0,ALL (2),,,,,,,,,,,,,
6986,Jeter Martinez,,,807002,pitcher,25,pit,19,134.0,807002,Jeter Martinez,18.0,1.72,65.0,70,58,51.0,42,66,1,195.0,306.0,,7.06,0.0,0.0,0.0,2.0,7.0,ALL (2),,,,,,,,,,,,,
6987,Juan De La Cruz,,,829063,batter,17,sd,18,,829063,Jhoan De La Cruz,,,,36,37,,46,45,1,,,,,,,,,,ROK,139.0,5.0,3.0,0.477,0.837,0.36,21.0,11.0,4.0,71.0,50.0,0.259,SS
6990,Angel Cepeda,,,806980,batter,24,chc,20,,806980,Angel Cepeda,,,,95,47,,40,136,8,,,,,,,,,,A,381.0,14.0,5.0,0.339,0.714,0.375,49.0,27.0,7.0,165.0,143.0,0.249,SS
7004,Juaron Watts-Brown,,,695033,pitcher,10,bal,23,110.0,695033,Juaron Watts-Brown,26.0,1.13,124.1,90,58,50.0,50,158,16,373.0,515.0,,3.62,0.0,0.0,0.0,3.0,8.0,ALL (3),,,,,,,,,,,,,
7007,Landen Maroudis,,,805793,pitcher,28,tor,21,141.0,805793,Landen Maroudis,18.0,1.79,45.1,36,35,33.0,45,34,1,136.0,216.0,,6.55,0.0,0.0,0.0,1.0,8.0,ALL (2),,,,,,,,,,,,,
7016,Homer Bush Jr.,,,683344,batter,28,tb,24,,683344,Homer Bush Jr.,,,,142,69,,48,98,0,,,,,,,,,,AA,472.0,12.0,8.0,0.375,0.735,0.36,45.0,57.0,12.0,164.0,170.0,0.301,CF
7017,Levi Wells,,,694370,pitcher,19,bal,24,110.0,694370,Levi Wells,25.0,1.32,95.2,87,46,37.0,39,96,7,287.0,417.0,,3.48,2.0,0.0,0.0,2.0,6.0,ALL (2),,,,,,,,,,,,,
7033,Carson Roccaforte,,,811287,batter,20,kc,23,,811287,Carson Roccaforte,,,,119,81,,82,162,18,,,,,,,,,,ALL (2),462.0,30.0,7.0,0.373,0.843,0.47,74.0,43.0,12.0,219.0,217.0,0.258,OF
7058,Ixan Henderson,,,809100,pitcher,17,stl,23,138.0,809100,Ixan Henderson,25.0,1.14,132.0,99,41,38.0,51,134,5,396.0,532.0,,2.59,0.0,0.0,0.0,9.0,7.0,AA,,,,,,,,,,,,,
7059,Tayshaun Walton,,,807737,batter,19,phi,20,,807737,TJayy Walton,,,,36,27,,20,63,0,,,,,,,,,,ALL (2),161.0,4.0,3.0,0.315,0.601,0.286,17.0,15.0,5.0,75.0,46.0,0.224,OF
7065,Kehden Hettiger,,,800607,batter,23,phi,21,,800607,Kehden Hettiger,,,,77,43,,54,120,9,,,,,,,,,,ALL (3),353.0,21.0,2.0,0.322,0.687,0.365,55.0,2.0,1.0,159.0,129.0,0.218,C
7066,Bishop Letson,,,811309,pitcher,7,mil,21,158.0,811309,Bishop Letson,11.0,1.04,41.1,31,14,11.0,12,49,2,124.0,159.0,,2.4,0.0,0.0,0.0,2.0,2.0,ALL (2),,,,,,,,,,,,,
7090,Kannon Kemp,,,807748,pitcher,29,sd,21,135.0,807748,Kannon Kemp,18.0,1.52,77.2,86,51,48.0,32,64,4,233.0,350.0,,5.56,0.0,0.0,0.0,3.0,7.0,ALL (2),,,,,,,,,,,,,
7096,Andrew Pinckney,,,687605,batter,29,was,25,,687605,Andrew Pinckney,,,,121,77,,44,148,20,,,,,,,,,,AAA,450.0,9.0,2.0,0.348,0.779,0.431,66.0,34.0,5.0,217.0,194.0,0.269,OF
7099,Patrick Reilly,,,694345,pitcher,20,bal,24,110.0,694345,Patrick Reilly,3.0,1.03,9.2,6,2,2.0,4,8,0,29.0,37.0,,1.86,0.0,0.0,0.0,0.0,1.0,AA,,,,,,,,,,,,,
7104,Boston Baro,,,805951,batter,21,nym,21,,805951,Boston Baro,,,,88,43,,31,88,4,,,,,,,,,,A+,393.0,16.0,5.0,0.282,0.603,0.321,38.0,28.0,2.0,173.0,126.0,0.224,SS
7105,Christian Oppor,,,803291,pitcher,8,cws,21,145.0,803291,Christian Oppor,22.0,1.19,87.2,62,35,30.0,42,116,6,263.0,366.0,,3.08,0.0,0.0,0.0,4.0,8.0,ALL (2),,,,,,,,,,,,,
7109,Matthew Etzel,,,803033,batter,29,mia,23,,803033,Matthew Etzel,,,,78,47,,59,93,7,,,,,,,,,,ALL (4),314.0,11.0,2.0,0.363,0.726,0.363,49.0,27.0,9.0,135.0,114.0,0.248,LF
7110,Josh Grosz,,,701056,pitcher,20,col,23,115.0,701056,Josh Grosz,23.0,1.3,125.1,108,71,65.0,55,135,14,376.0,535.0,,4.67,0.0,0.0,0.0,5.0,14.0,ALL (2),,,,,,,,,,,,,
7120,John Peck,,,807726,batter,16,det,23,,807726,John Peck,,,,141,88,,41,125,11,,,,,,,,,,ALL (2),469.0,27.0,1.0,0.359,0.792,0.433,69.0,19.0,6.0,223.0,203.0,0.301,SS
7121,Dean Curley,,,806053,batter,10,cle,21,,806053,Dean Curley,,,,8,4,,2,11,0,,,,,,,,,,A,33.0,1.0,0.0,0.286,0.559,0.273,2.0,1.0,1.0,16.0,9.0,0.242,SS
7129,Sam Aldegheri,,,691951,pitcher,13,ana,24,108.0,691951,Sam Aldegheri,28.0,1.44,147.0,141,75,68.0,70,125,16,441.0,651.0,,4.16,0.0,0.0,1.0,8.0,10.0,ALL (3),,,,,,,,,,,,,
7131,Johanfran Garcia,,,703190,batter,25,bos,21,,703190,Johanfran Garcia,,,,55,37,,19,68,12,,,,,,,,,,ALL (2),211.0,7.0,0.0,0.328,0.792,0.464,41.0,1.0,0.0,90.0,98.0,0.261,C
7134,Sheng-En Lin,,,806823,batter,14,cin,20,,806823,Sheng-En Lin,,,,15,14,,24,30,2,,,,,,,,,,ROK,87.0,4.0,1.0,0.348,0.658,0.31,13.0,1.0,2.0,38.0,27.0,0.172,SS
7137,Zach Cole,,,805904,batter,17,hou,25,,805904,Zach Cole,,,,112,72,,57,166,23,,,,,,,,,,ALL (3),405.0,24.0,7.0,0.372,0.913,0.541,76.0,21.0,7.0,174.0,219.0,0.277,CF
7150,Nerwilian Cedeño,,,807083,batter,30,tb,19,,807083,Nathan Flewelling,,,,81,48,,94,127,6,,,,,,,,,,ALL (2),352.0,17.0,2.0,0.393,0.734,0.341,52.0,9.0,3.0,164.0,120.0,0.23,C
7154,Jose Corniell,,,692030,pitcher,3,tex,22,140.0,692030,Jose Corniell,14.0,0.91,39.2,26,14,11.0,10,42,2,119.0,155.0,,2.5,0.0,0.0,0.0,1.0,3.0,ALL (4),,,,,,,,,,,,,
