55,Rainiel Rodriguez,C,St. Louis Cardinals,A+,2028,19,"5' 10"" / 197 lbs",R,R
56,Cooper Pratt,SS,Milwaukee Brewers,AA,2027,21,"6' 3"" / 206 lbs",R,R
57,Eduardo Tait,C,Minnesota Twins,A+,2028,19,"6' 0"" / 175 lbs",L,R
58,Chase DeLauter,OF,Cleveland Guardians,MLB,2026,24,"6' 3"" / 235 lbs",L,L
59,Angel Genao,SS,Cleveland Guardians,MLB,2026,21,"5' 9"" / 150 lbs",S,R
60,Gage Jump,LHP,Athletics,AA,2027,22,"6' 0"" / 200 lbs",L,L
61,Charlie Condon,1B/OF,Colorado Rockies,AA,2026,22,"6' 6"" / 216 lbs",R,R
62,Blake Mitchell,C,Kansas City Royals,A+,2027,21,"6' 1"" / 202 lbs",L,R
63,Michael Arroyo,2B,Seattle Mariners,AA,2026,21,"5' 10"" / 160 lbs",R,R
64,Mike Sirota,OF,Los Angeles Dodgers,A+,2027,22,"6' 2"" / 188 lbs",R,R
65,Theo Gillen,OF,Tampa Bay Rays,A,2028,20,"6' 2"" / 195 lbs",L,R
66,Ryan Waldschmidt,OF,Arizona Diamondbacks,AA,2027,23,"6' 2"" / 205 lbs",R,R
67,Jaxon Wiggins,RHP,Chicago Cubs,AAA,2026,24,"6' 6"" / 225 lbs",R,R
68,Arjun Nimmala,SS,Toronto Blue Jays,A+,2028,20,"6' 1"" / 190 lbs",R,R
69,Emmanuel Rodriguez,OF,Minnesota Twins,MLB,2025,22,"5' 11"" / 210 lbs",L,L
70,Joe Mack,C,Miami Marlins,MLB,2025,23,"6' 0"" / 210 lbs",L,R
71,Billy Carlson,SS,Chicago White Sox,ROK,2029,19,"6' 1"" / 185 lbs",R,R
72,Cam Caminiti,LHP,Atlanta Braves,A,2028,19,"6' 2"" / 195 lbs",L,L
73,Caleb Bonemer,SS/3B,Chicago White Sox,A+,2028,20,"6' 1"" / 195 lbs",R,R
74,Carlos Lagrange,RHP,New York Yankees,AA,2026,22,"6' 7"" / 248 lbs",R,R
75,Jonny Farmelo,OF,Seattle Mariners,A+,2028,21,"6' 2"" / 205 lbs",L,R
76,Tyson Lewis,SS,Cincinnati Reds,A,2028,19,"6' 2"" / 195 lbs",L,R
77,Ethan Salas,C,San Diego Padres,AA,2027,19,"6' 1"" / 185 lbs",L,R
78,Hunter Barco,LHP,Pittsburgh Pirates,MLB,2026,25,"6' 4"" / 235 lbs",L,L
79,Steele Hall,SS,Cincinnati Reds,ROK,2029,18,"6' 0"" / 180 lbs",R,R
80,Rhett Lowder,RHP,Cincinnati Reds,MLB,2025,23,"6' 2"" / 200 lbs",R,R
81,Edward Florentino,OF/1B,Pittsburgh Pirates,A,2029,19,"6' 4"" / 200 lbs",L,R
82,Josuar Gonzalez,SS,San Francisco Giants,ROK,2030,18,"6' 0"" / 167 lbs",S,R
83,Dylan Beavers,OF,Baltimore Orioles,MLB,2025,24,"6' 5"" / 206 lbs",L,R
84,Jeferson Quero,C,Milwaukee Brewers,MLB,2025,23,"5' 11"" / 203 lbs",R,R
85,Jhostynxon Garcia,OF,Pittsburgh Pirates,MLB,2026,23,"6' 0"" / 163 lbs",R,R
