upid,name,fbp_team,manager,age,role,mlb_pa_approx,mlb_g_bat,mlb_ip,mlb_g_pit,fail_reasons
2429,Edgar Quero,TBB,The Bluke Blokes,22,batter,883.0,111.0,0,0,PA|GP
3647,Forrest Whitley,TBB,The Bluke Blokes,28,pitcher,52.0,33.0,10.2,0,AGE
6604,George Lombard Jr.,TBB,The Bluke Blokes,20,batter,357.0,81.0,0,0,PA|GP
6137,Joendry Vargas,TBB,The Bluke Blokes,20,batter,367.0,86.0,0,0,PA|GP
7409,Johnathan Rodriguez,TBB,The Bluke Blokes,26,batter,578.0,113.0,0,0,AGE|PA|GP
3846,Kameron Misner,TBB,The Bluke Blokes,28,batter,1631.0,335.0,0,0,AGE|PA|GP
6064,Kyle Hurt,TBB,The Bluke Blokes,27,pitcher,50.0,24.0,8.2,0,AGE
3653,Matt Mervis,TBB,The Bluke Blokes,27,batter,256.0,0,0,0,AGE
3467,Orelvis Martinez,TBB,The Bluke Blokes,24,batter,948.0,229.0,0,0,PA|GP
3984,Xavier Isaac,TBB,The Bluke Blokes,22,batter,368.0,90.0,0,0,PA|GP
3543,Adrian Del Castillo,WAR,Weekend Warriors,26,batter,215.0,0,0,0,AGE
6530,Chase Meidroth,WAR,Weekend Warriors,24,batter,1421.0,213.0,0,0,PA|GP
6124,Christian Scott,WAR,Weekend Warriors,26,pitcher,15.0,15.0,47.1,0,AGE
3522,Colson Montgomery,WAR,Weekend Warriors,23,batter,834.0,130.0,0,0,PA|GP
3914,Dalton Rushing,WAR,Weekend Warriors,24,batter,514.0,89.0,0,0,PA|GP
3720,Ethan Salas,WAR,Weekend Warriors,19,batter,459.0,111.0,0,0,PA|GP
7130,Franklin Arias,WAR,Weekend Warriors,20,batter,1070.0,283.0,0,0,PA|GP
3845,Ian Seymour,WAR,Weekend Warriors,27,pitcher,49.0,31.0,57.0,0,AGE
3944,Jacob Melton,WAR,Weekend Warriors,25,batter,392.0,86.0,0,0,PA|GP
4151,Juan Brito,WAR,Weekend Warriors,24,batter,1482.0,338.0,0,0,PA|GP
7608,Luis Pena,WAR,Weekend Warriors,19,batter,356.0,215.0,0,0,PA|GP
4030,Richard Fitts,WAR,Weekend Warriors,26,pitcher,46.0,32.0,65.2,0,AGE
6868,Sawyer Gipson-Long,WAR,Weekend Warriors,28,pitcher,22.0,20.0,51.1,0,AGE
6590,Arjun Nimmala,WIZ,Whiz Kids,20,batter,349.0,82.0,0,0,GP
6696,Cole Carrigg,WIZ,Whiz Kids,23,batter,490.0,111.0,0,0,PA|GP
6555,Jakob Marsee,WIZ,Whiz Kids,24,batter,1099.0,204.0,0,0,PA|GP
2674,Joe Mack,WIZ,Whiz Kids,23,batter,960.0,232.0,0,0,PA|GP
4001,Max Muncy,WIZ,Whiz Kids,23,batter,1154.0,1138.0,0,0,PA|GP
6564,Eduardo Quintero,SAD,not much of a donkey,20,batter,428.0,105.0,0,0,PA|GP
6593,Jefferson Rojas,SAD,not much of a donkey,20,batter,568.0,141.0,0,0,PA|GP
3526,Kevin Alcántara,SAD,not much of a donkey,23,batter,1021.0,239.0,0,0,PA|GP
6592,Matt Shaw,SAD,not much of a donkey,24,batter,788.0,86.0,0,0,PA|GP
3935,Ryan Clifford,SAD,not much of a donkey,22,batter,396.0,98.0,0,0,PA|GP
3951,Sal Stewart,SAD,not much of a donkey,22,batter,382.0,88.0,0,0,PA|GP
4593,Samuel Basallo,SAD,not much of a donkey,21,batter,1114.0,273.0,0,0,PA|GP
3886,Termarr Johnson,SAD,not much of a donkey,21,batter,473.0,110.0,0,0,PA|GP
3709,Tyler Black,SAD,not much of a donkey,25,batter,425.0,84.0,0,0,PA|GP
6973,Yophery Rodriguez,SAD,not much of a donkey,20,batter,698.0,162.0,0,0,PA|GP
