upid,name,fbp_team,manager,age,role,mlb_pa_approx,mlb_g_bat,mlb_ip,mlb_g_pit,fail_reasons
5706,Damiano Palmegiani,,,25,batter,937.0,231.0,0,0,PA|GP
5703,Dane Myers,,,29,batter,990.0,149.0,0,0,AGE|PA|GP
7786,Daniel Hernandez,,,17,batter,281.0,115.0,0,0,GP
3912,Daniel Susac,,,24,batter,405.0,99.0,0,0,PA|GP
2332,Daniel Vazquez,,,22,batter,462.0,113.0,0,0,PA|GP
4641,Danny De Andrade,,,21,batter,842.0,203.0,0,0,PA|GP
4087,Darell Hernaiz,,,24,batter,721.0,94.0,0,0,PA|GP
6971,Dario Laverde,,,20,batter,334.0,88.0,0,0,GP
3553,Darius Vines,,,27,pitcher,59.0,45.0,33.3,0,AGE
5672,David Hamilton,,,28,batter,1064.0,119.0,0,0,AGE|PA|GP
3684,Davis Daniel,,,28,pitcher,52.0,30.0,52.2,0,AGE
2365,Deivi García,,,26,pitcher,184.0,85.0,19.2,0,AGE
3763,Denzel Clarke,,,25,batter,624.0,116.0,0,0,PA|GP
3676,Denzer Guzman,,,21,batter,836.0,207.0,0,0,PA|GP
6795,Devin Saltiban,,,20,batter,396.0,97.0,0,0,PA|GP
3446,Diego Cartaya,,,24,batter,391.0,93.0,0,0,PA|GP
5641,Diego Velasquez,,,22,batter,835.0,209.0,0,0,PA|GP
5630,Dominic Fletcher,,,28,batter,1233.0,203.0,0,0,AGE|PA|GP
6028,Dominic Keegan,,,25,batter,425.0,104.0,0,0,PA|GP
4624,Drew Rom,,,26,pitcher,83.0,63.0,33.2,0,AGE
3507,Drew Romo,,,24,batter,1152.0,271.0,0,0,PA|GP
2418,Dustin Harris,,,26,batter,423.0,85.0,0,0,AGE|PA|GP
6662,Dylan Campbell,,,23,batter,485.0,115.0,0,0,PA|GP
4299,Dylan Dodd,,,27,pitcher,13.0,10.0,71.1,0,AGE
7665,Edgleen Perez,,,19,batter,380.0,90.0,0,0,PA|GP
6898,Eduarniel Nunez,,,26,batter,123.0,108.0,0,0,AGE|GP
3789,Eguy Rosario,,,26,batter,1995.0,467.0,0,0,AGE|PA|GP
3770,Erik Miller,,,27,pitcher,81.0,105.0,97.1,0,AGE
3712,Ethan Small,,,28,pitcher,6.0,17.0,4.0,0,AGE
6150,Evan Reifert,,,26,batter,52.0,80.0,0,0,AGE|GP
7260,Fernando Perez,,,21,batter,1939.0,601.0,0,0,PA|GP
7684,Franyerber Montilla,,,20,batter,424.0,102.0,0,0,PA|GP
3548,Freddy Tarnok,,,27,pitcher,64.0,53.0,21.3,0,AGE
4656,Gabriel Rodriguez,,,18,batter,240.0,99.0,0,0,GP
2491,Gage Workman,,,26,batter,1072.0,254.0,0,0,AGE|PA|GP
3897,Gavin Cross,,,24,batter,825.0,195.0,0,0,PA|GP
3463,George Valera,,,25,batter,430.0,90.0,0,0,PA|GP
6832,Grant Anderson,,,28,pitcher,45.0,61.0,130.6,0,AGE|IP
7711,Grant Knipp,,,26,,0,0,0,0,AGE
3697,Grant McCray,,,25,batter,1429.0,281.0,0,0,PA|GP
3768,Griff McGarry,,,26,batter,67.0,29.0,0,0,AGE
7654,Griff O'Ferrall,,,22,batter,464.0,111.0,0,0,PA|GP
3754,Gunnar Hoglund,,,26,batter,28.0,21.0,0,0,AGE
6377,Gus Varland,,,29,pitcher,69.0,70.0,14.2,0,AGE
4044,Hendry Mendez,,,22,batter,808.0,195.0,0,0,PA|GP
3851,Henry Bolte,,,22,batter,482.0,112.0,0,0,PA|GP
4041,Hunter Bigge,,,27,pitcher,56.0,58.0,18.1,0,AGE
2542,Hunter Owen,,,23,batter,650.0,189.0,0,0,PA|GP
3635,Izaac Pacheco,,,23,batter,870.0,207.0,0,0,PA|GP
5148,J.C. Escarra,,,30,batter,1017.0,236.0,0,0,AGE|PA|GP
3756,J.T. Ginn,,,26,pitcher,39.0,26.0,124.1,0,AGE|IP
4068,Jace Avina,,,22,batter,899.0,227.0,0,0,PA|GP
6303,Jack Kochanowicz,,,25,pitcher,56.0,42.0,176.1,0,IP
3873,Jackson Rutledge,,,26,pitcher,41.0,27.0,101.2,0,AGE|IP
4559,Jackson Wolf,,,26,pitcher,22.0,19.0,5.0,0,AGE
4600,Jacob Amaya,,,27,batter,1008.0,216.0,0,0,AGE|PA|GP
