rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,avg,plateAppearances,totalBases,games,position,sportAbbrev
1,fa,27,109,Ryne Nelson,669194,1,1,1,0,0,0,1.0,2.0,1.0,1,0,0,0,0,0,1.0,1,1,17,P,MLB
2,fa,27,116,Jahmai Jones,663330,22,4,9,3,0,2,0.48,1.298,0.818,3,3,5,0,0,4,0.409,25,18,13,CF,MLB
3,fa,27,144,Ronald Acuña Jr.,660670,101,30,40,5,0,9,0.5,1.213,0.713,16,21,27,3,0,25,0.396,122,72,28,RF,MLB
4,fa,33,147,Aaron Judge,592450,289,68,106,18,2,28,0.468,1.202,0.734,62,53,88,6,3,102,0.367,346,212,78,RF,MLB
5,fa,29,135,Bryce Johnson,669369,9,1,4,1,0,0,0.5,1.056,0.556,0,0,2,1,0,1,0.444,10,5,5,RF,MLB
6,fa,28,136,Cal Raleigh,663728,284,57,79,14,0,32,0.383,1.048,0.665,68,45,83,9,2,130,0.278,334,189,76,C,MLB
7,fa,27,136,Dominic Canzone,686527,39,7,12,2,0,4,0.357,1.024,0.667,7,3,6,1,0,18,0.308,42,26,13,RF,MLB
8,fa,31,109,Ketel Marte,606466,190,45,60,11,0,14,0.422,1.017,0.595,31,31,31,2,1,78,0.316,225,113,52,2B,MLB
9,fa,30,119,Shohei Ohtani,660271,306,76,89,12,6,26,0.39,1.014,0.624,49,48,92,11,4,98,0.291,359,191,77,TWP,MLB
10,fa,25,116,Wenceel Pérez,672761,71,13,21,5,1,6,0.346,0.994,0.648,13,4,16,1,0,37,0.296,78,46,22,CF,MLB
11,fa,34,141,Tyler Heineman,623168,66,16,26,5,0,2,0.417,0.978,0.561,11,3,11,2,0,22,0.394,73,37,26,C,MLB
12,fa,30,119,Will Smith,669257,204,38,67,15,1,9,0.425,0.969,0.544,42,36,44,2,3,79,0.328,247,111,62,C,MLB
13,fa,34,113,Austin Wynns,642851,68,9,21,5,0,5,0.347,0.95,0.603,17,4,19,0,0,35,0.309,72,41,28,C,MLB
14,fa,26,119,Hyeseong Kim,808975,78,15,29,5,1,2,0.41,0.948,0.538,12,4,17,6,0,23,0.372,83,42,34,2B,MLB
15,fa,22,120,James Wood,695578,299,50,85,19,0,22,0.379,0.948,0.569,61,46,92,9,4,108,0.284,348,170,79,LF,MLB
16,fa,34,111,Rob Refsnyder,608701,83,15,25,5,0,5,0.388,0.93,0.542,14,12,25,2,0,40,0.301,98,45,33,RF,MLB
17,fa,30,121,Pete Alonso,624413,297,43,85,22,1,18,0.38,0.929,0.549,64,37,79,0,2,138,0.286,347,163,79,1B,MLB
18,fa,32,143,Kyle Schwarber,656941,285,57,71,9,1,24,0.38,0.92,0.54,55,55,88,6,1,140,0.249,345,154,78,LF,MLB
19,fa,35,119,Freddie Freeman,518692,249,40,80,21,1,9,0.392,0.914,0.522,41,28,57,0,1,95,0.321,283,130,67,1B,MLB
20,fa,31,142,Byron Buxton,621439,232,46,65,9,3,17,0.347,0.912,0.565,47,23,71,13,0,82,0.28,262,131,61,CF,MLB
21,fa,28,112,Kyle Tucker,663656,288,55,81,16,4,15,0.391,0.912,0.521,46,51,49,18,1,102,0.281,343,150,77,RF,MLB
22,fa,32,114,José Ramírez,608070,279,43,90,16,1,13,0.383,0.91,0.527,36,27,34,20,5,90,0.323,313,147,74,3B,MLB
23,fa,27,139,Jonathan Aranda,666018,243,39,79,15,0,8,0.411,0.897,0.486,41,30,66,0,1,97,0.325,282,118,73,1B,MLB
24,fa,33,109,Eugenio Suárez,553993,283,48,71,15,0,25,0.323,0.892,0.569,67,21,82,1,0,126,0.251,319,161,78,3B,MLB
25,fa,29,135,Trenton Brooks,670092,9,2,2,1,0,1,0.222,0.889,0.667,2,0,7,0,0,7,0.222,9,6,7,1B,MLB
26,fa,28,111,Rafael Devers,646240,295,49,79,19,0,16,0.394,0.889,0.495,61,59,83,1,1,126,0.268,360,146,79,DH,MLB
27,fa,23,133,Jacob Wilson,805779,292,40,102,15,0,9,0.39,0.883,0.493,40,17,20,5,1,97,0.349,314,144,74,SS,MLB
28,fa,30,112,Reese McGuire,624512,39,7,10,1,0,4,0.293,0.883,0.59,6,2,9,0,0,17,0.256,42,23,12,C,MLB
29,fa,26,121,Juan Soto,665742,279,55,71,14,0,17,0.391,0.878,0.487,43,64,55,8,1,131,0.254,348,136,78,RF,MLB
30,fa,23,112,Pete Crow-Armstrong,691718,300,58,82,19,3,21,0.31,0.877,0.567,61,14,78,23,4,133,0.273,322,170,77,CF,MLB
31,fa,24,116,Riley Greene,682985,296,42,86,20,0,17,0.345,0.875,0.53,59,24,99,1,1,135,0.291,322,157,77,LF,MLB
32,fa,27,117,Jeremy Peña,665161,304,47,99,16,1,11,0.38,0.873,0.493,40,19,54,15,2,90,0.326,335,150,78,SS,MLB
33,fa,27,112,Michael Busch,683737,236,32,64,13,3,12,0.365,0.869,0.504,44,30,61,3,0,95,0.271,271,119,72,1B,MLB
34,fa,32,135,Manny Machado,592518,297,52,90,20,0,13,0.366,0.868,0.502,47,31,54,8,2,132,0.303,331,149,78,3B,MLB
35,fa,31,110,Ryan O'Hearn,656811,223,29,68,9,0,10,0.387,0.867,0.48,29,26,42,3,1,105,0.305,256,107,65,RF,MLB
36,fa,29,109,Pavin Smith,656976,190,30,51,13,1,8,0.389,0.863,0.474,25,38,71,2,2,92,0.268,229,90,70,1B,MLB
37,fa,23,113,Elly De La Cruz,682829,302,62,82,15,2,18,0.348,0.861,0.513,55,34,87,21,6,134,0.272,339,155,79,SS,MLB
