rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,avg,plateAppearances,totalBases,games,position,sportAbbrev
278,fa,34,140,Marcus Semien,543760,275,29,61,8,1,7,0.303,0.638,0.335,32,32,58,6,1,104,0.222,314,92,78,2B,MLB
279,fa,32,120,Josh Bell,605137,233,23,46,4,1,10,0.282,0.634,0.352,28,25,48,0,1,106,0.197,262,82,67,1B,MLB
280,fa,28,118,Kyle Isbel,664728,181,19,45,6,3,3,0.268,0.633,0.365,15,6,35,2,1,74,0.249,198,66,68,CF,MLB
281,fa,24,139,Chandler Simpson,802415,123,17,35,4,0,0,0.315,0.632,0.317,11,6,14,19,3,40,0.285,133,39,35,CF,MLB
282,fa,30,141,Myles Straw,664702,129,19,34,7,0,1,0.291,0.632,0.341,14,5,17,5,1,62,0.264,139,44,61,CF,MLB
283,fa,29,136,Miles Mastrobuoni,670156,120,17,30,3,0,1,0.331,0.631,0.3,9,15,22,4,3,48,0.25,139,36,57,2B,MLB
284,fa,23,114,Angel Martínez,682657,209,24,50,10,1,5,0.261,0.629,0.368,25,6,45,5,0,86,0.239,220,77,60,CF,MLB
285,fa,26,138,Pedro Pagés,686780,181,22,40,9,0,5,0.272,0.626,0.354,22,12,47,0,0,96,0.221,197,64,59,C,MLB
286,fa,28,144,Ozzie Albies,645277,298,34,67,11,1,6,0.297,0.626,0.329,27,28,56,7,1,140,0.225,330,98,77,2B,MLB
287,fa,27,114,Nolan Jones,666134,176,13,38,8,1,3,0.302,0.626,0.324,19,20,51,4,3,72,0.216,200,57,68,RF,MLB
288,fa,34,136,Mitch Garver,641598,120,13,25,3,0,3,0.317,0.625,0.308,16,18,41,3,0,67,0.208,139,37,44,C,MLB
289,fa,29,121,Luis Torrens,620443,131,7,29,9,1,1,0.297,0.625,0.328,13,13,31,0,0,52,0.221,145,43,47,C,MLB
290,fa,29,140,Jonah Heim,641680,196,17,44,5,0,7,0.263,0.62,0.357,20,10,48,3,0,68,0.224,209,70,59,C,MLB
291,fa,31,121,Tyrone Taylor,621438,211,22,48,10,3,2,0.287,0.619,0.332,15,10,50,9,1,85,0.227,232,70,71,CF,MLB
292,fa,32,110,Gary Sánchez,596142,53,7,11,0,0,2,0.295,0.616,0.321,11,2,16,0,0,13,0.208,61,17,20,C,MLB
293,fa,22,146,Javier Sanoja,691594,156,18,37,10,1,1,0.278,0.611,0.333,15,10,25,3,4,61,0.237,173,52,61,2B,MLB
294,fa,23,112,Matt Shaw,807713,160,22,35,9,0,2,0.298,0.611,0.313,9,16,37,8,1,84,0.219,178,50,48,3B,MLB
295,fa,28,139,Taylor Walls,670764,176,25,39,7,1,2,0.302,0.609,0.307,25,22,43,9,6,77,0.222,203,54,66,SS,MLB
296,fa,29,121,Jared Young,676724,40,4,6,1,0,3,0.209,0.609,0.4,4,2,15,0,0,15,0.15,43,16,17,LF,MLB
297,fa,29,144,Alex Verdugo,657077,182,20,45,10,0,0,0.305,0.607,0.302,12,13,28,1,0,73,0.247,197,55,51,LF,MLB
298,fa,25,116,Parker Meadows,678009,58,8,10,2,1,2,0.262,0.607,0.345,7,7,16,2,0,16,0.172,65,20,17,CF,MLB
