rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,gamesStarted,completeGames,shutouts,yahoo_owner,yahoo_team,yahoo_id,yahoo_position
215,sd,26,135,681190,Randy Vásquez,16,1.33,80.0,69,33,32,37,45,12,240,343,1279,3.6,0,0,0,3,4,16,0,0,,,,
216,bos,29,111,676477,Garrett Whitlock,29,1.25,40.0,31,17,16,19,49,2,120,169,716,3.6,1,7,4,5,1,0,0,0,,,,
217,tor,36,141,605135,Chris Bassitt,16,1.26,92.1,95,38,37,21,90,10,277,393,1488,3.61,0,0,0,7,3,16,0,0,TBB,TBB,9799,SP
218,oak,28,133,663687,Hogan Harris,24,1.61,32.1,32,15,13,20,38,2,97,150,598,3.62,0,1,0,1,1,0,0,0,,,,
219,cin,27,113,666157,Nick Lodolo,16,1.12,89.1,82,38,36,18,80,12,268,372,1441,3.63,0,0,0,5,5,16,1,0,LAW,LAW,11750,SP
220,sd,32,135,601713,Nick Pivetta,15,1.08,84.0,67,36,34,24,91,11,252,339,1312,3.64,0,0,0,7,2,15,0,0,JEP,JEP,10683,SP
221,lad,30,119,656945,Tanner Scott,38,0.97,37.0,32,18,15,4,40,5,111,141,545,3.65,16,7,5,1,2,0,0,0,CFL,CFL,10432,RP
222,lad,30,119,656945,Tanner Scott,38,0.97,37.0,32,18,15,4,40,5,111,141,545,3.65,16,7,5,1,2,0,0,0,CFL,CFL,10432,RP
223,sf,26,137,694738,Landen Roupp,15,1.42,76.0,76,39,31,32,70,7,228,333,1254,3.67,0,0,0,5,5,15,0,0,SAD,SAD,60650,"SP,RP"
224,mil,24,158,682990,Quinn Priester,14,1.31,71.0,67,31,29,26,50,8,213,299,1156,3.68,0,0,0,5,2,10,0,0,WAR,WAR,11820,SP
225,mil,24,158,682990,Quinn Priester,14,1.31,71.0,67,31,29,26,50,8,213,299,1156,3.68,0,0,0,5,2,10,0,0,WAR,WAR,11820,SP
