upid,yahoo_player_id,yahoo_player_key,name,first_name,last_name,mlb_team,mlb_team_full,position,eligible_positions,ownership_type,owned_by_team_key,percent_owned
2736,9228,469.p.9228,Jorge Soler,Jorge,Soler,LAA,Los Angeles Angels,OF,,freeagents,,2
2199,9262,469.p.9262,Brooks Raley,Brooks,Raley,NYM,New York Mets,RP,,freeagents,,1
2805,9272,469.p.9272,Justin Wilson,Justin,Wilson,BOS,Boston Red Sox,RP,,freeagents,,0
1881,9319,469.p.9319,Xander Bogaerts,Xander,Bogaerts,SD,San Diego Padres,SS,,team,469.l.8560.t.8,19
2275,9320,469.p.9320,Christian Yelich,Christian,Yelich,MIL,Milwaukee Brewers,OF,,team,469.l.8560.t.12,92
3259,9321,469.p.9321,Taijuan Walker,Taijuan,Walker,PHI,Philadelphia Phillies,"SP,RP",,freeagents,,1
2984,9329,469.p.9329,Michael Wacha,Michael,Wacha,KC,Kansas City Royals,SP,,team,469.l.8560.t.12,19
1958,9334,469.p.9334,Kevin Gausman,Kevin,Gausman,TOR,Toronto Blue Jays,SP,,team,469.l.8560.t.3,94
2129,9336,469.p.9336,Austin Hedges,Austin,Hedges,CLE,Cleveland Guardians,C,,freeagents,,0
1950,9339,469.p.9339,George Springer,George,Springer,TOR,Toronto Blue Jays,CF,,team,469.l.8560.t.1,95
3257,9350,469.p.9350,T.J. McFarland,T.J.,McFarland,ATH, Athletics,RP,,freeagents,,0
1975,9358,469.p.9358,Ryan Pressly,Ryan,Pressly,CHC,Chicago Cubs,RP,,freeagents,,0
2928,9385,469.p.9385,Marcell Ozuna,Marcell,Ozuna,ATL,Atlanta Braves,Util,,freeagents,,9
3163,9388,469.p.9388,Ryan Brasier,Ryan,Brasier,CHC,Chicago Cubs,RP,,freeagents,,0
2219,9402,469.p.9402,Caleb Thielbar,Caleb,Thielbar,CHC,Chicago Cubs,RP,,freeagents,,1
2669,9414,469.p.9414,Joc Pederson,Joc,Pederson,TEX,Texas Rangers,Util,,freeagents,,1
,9455,469.p.9455,Luis García,Luis,García,NYM,New York Mets,RP,,freeagents,,0
3236,9459,469.p.9459,Sonny Gray,Sonny,Gray,BOS,Boston Red Sox,SP,,team,469.l.8560.t.5,93
4004,9483,469.p.9483,Wilmer Flores,Wilmer,Flores,SF,San Francisco Giants,1B,,freeagents,,1
1884,9507,469.p.9507,José Ramírez,José,Ramírez,CLE,Cleveland Guardians,3B,,team,469.l.8560.t.9,99
1964,9517,469.p.9517,Marcus Semien,Marcus,Semien,NYM,New York Mets,2B,,freeagents,,81
4176,9530,469.p.9530,Christian Bethancourt,Christian,Bethancourt,CHC,Chicago Cubs,C,,freeagents,,0
2892,9544,469.p.9544,Lucas Sims,Lucas,Sims,CWS,Chicago White Sox,RP,,freeagents,,0
2434,9546,469.p.9546,Eduardo Rodriguez,Eduardo,Rodriguez,AZ,Arizona Diamondbacks,SP,,freeagents,,1
4033,9547,469.p.9547,Hunter Harvey,Hunter,Harvey,CHC,Chicago Cubs,RP,,freeagents,,1
1879,9552,469.p.9552,Mookie Betts,Mookie,Betts,LAD,Los Angeles Dodgers,SS,,team,469.l.8560.t.7,99
1890,9557,469.p.9557,Javier Báez,Javier,Báez,DET,Detroit Tigers,"2B,3B,SS,CF",,freeagents,,8
1878,9558,469.p.9558,Kris Bryant,Kris,Bryant,COL,Colorado Rockies,Util,,freeagents,,0
3104,9559,469.p.9559,Pierce Johnson,Pierce,Johnson,CIN,Cincinnati Reds,RP,,freeagents,,1
1952,9561,469.p.9561,Jesse Winker,Jesse,Winker,NYM,New York Mets,OF,,freeagents,,0
3146,9563,469.p.9563,Robert Stephenson,Robert,Stephenson,LAA,Los Angeles Angels,RP,,freeagents,,1
2705,9567,469.p.9567,Jon Gray,Jon,Gray,TEX,Texas Rangers,RP,,freeagents,,0
3290,9570,469.p.9570,Tom Murphy,Tom,Murphy,SF,San Francisco Giants,C,,freeagents,,0
1899,9571,469.p.9571,Trevor Story,Trevor,Story,BOS,Boston Red Sox,SS,,team,469.l.8560.t.6,89
1933,9573,469.p.9573,Carlos Correa,Carlos,Correa,HOU,Houston Astros,"3B,SS",,team,469.l.8560.t.4,38
2870,9575,469.p.9575,Lance McCullers Jr.,Lance,McCullers Jr.,HOU,Houston Astros,SP,,freeagents,,0
1978,9582,469.p.9582,Sean Manaea,Sean,Manaea,NYM,New York Mets,"SP,RP",,team,469.l.8560.t.2,26
1941,9584,469.p.9584,Corey Seager,Corey,Seager,TEX,Texas Rangers,SS,,team,469.l.8560.t.5,96
2080,9586,469.p.9586,Andrew Heaney,Andrew,Heaney,LAD,Los Angeles Dodgers,SP,,freeagents,,0
1931,9590,469.p.9590,Byron Buxton,Byron,Buxton,MIN,Minnesota Twins,CF,,team,469.l.8560.t.7,92
2399,9595,469.p.9595,Dominic Smith,Dominic,Smith,SF,San Francisco Giants,1B,,freeagents,,0
3109,9598,469.p.9598,Rafael Montero,Rafael,Montero,DET,Detroit Tigers,RP,,freeagents,,0
3254,9599,469.p.9599,Steven Matz,Steven,Matz,TB,Tampa Bay Rays,RP,,freeagents,,1
,9603,469.p.9603,Tyler Austin,Tyler,Austin,CHC,Chicago Cubs,1B,,freeagents,,0
1893,9605,469.p.9605,Matt Olson,Matt,Olson,ATL,Atlanta Braves,1B,,team,469.l.8560.t.9,98
1894,9606,469.p.9606,Max Muncy,Max,Muncy,LAD,Los Angeles Dodgers,3B,,team,469.l.8560.t.1,31
2566,9610,469.p.9610,J.P. Crawford,J.P.,Crawford,SEA,Seattle Mariners,SS,,freeagents,,8
3338,9616,469.p.9616,Tyler Glasnow,Tyler,Glasnow,LAD,Los Angeles Dodgers,SP,,team,469.l.8560.t.11,94
1913,9620,469.p.9620,Max Fried,Max,Fried,NYY,New York Yankees,SP,,team,469.l.8560.t.3,99
2912,9632,469.p.9632,Luke Jackson,Luke,Jackson,SEA,Seattle Mariners,RP,,freeagents,,0
2931,9637,469.p.9637,Marcus Stroman,Marcus,Stroman,NYY,New York Yankees,SP,,freeagents,,0
1911,9640,469.p.9640,Lucas Giolito,Lucas,Giolito,BOS,Boston Red Sox,SP,,freeagents,,5
3038,9651,469.p.9651,Nick Martinez,Nick,Martinez,CIN,Cincinnati Reds,"SP,RP",,freeagents,,2
4178,9653,469.p.9653,Tommy Kahnle,Tommy,Kahnle,DET,Detroit Tigers,RP,,freeagents,,0
2152,9672,469.p.9672,Blake Treinen,Blake,Treinen,LAD,Los Angeles Dodgers,RP,,team,469.l.8560.t.8,1
2266,9684,469.p.9684,Chris Martin,Chris,Martin,TEX,Texas Rangers,RP,,freeagents,,1
4148,9689,469.p.9689,Randal Grichuk,Randal,Grichuk,KC,Kansas City Royals,OF,,freeagents,,0
1973,9691,469.p.9691,Robbie Ray,Robbie,Ray,SF,San Francisco Giants,SP,,team,469.l.8560.t.9,87
1876,9701,469.p.9701,Jacob deGrom,Jacob,deGrom,TEX,Texas Rangers,SP,,team,469.l.8560.t.1,99
2103,9703,469.p.9703,Anthony DeSclafani,Anthony,DeSclafani,AZ,Arizona Diamondbacks,"SP,RP",,freeagents,,0
1889,9718,469.p.9718,J.T. Realmuto,J.T.,Realmuto,PHI,Philadelphia Phillies,C,,team,469.l.8560.t.3,27
2472,9724,469.p.9724,Eugenio Suárez,Eugenio,Suárez,SEA,Seattle Mariners,3B,,team,469.l.8560.t.10,92
2994,9726,469.p.9726,Miguel Rojas,Miguel,Rojas,LAD,Los Angeles Dodgers,"2B,3B,SS",,freeagents,,1
2835,9727,469.p.9727,Kirby Yates,Kirby,Yates,LAA,Los Angeles Angels,RP,,freeagents,,6
1954,9750,469.p.9750,Jorge Polanco,Jorge,Polanco,NYM,New York Mets,"2B,3B",,team,469.l.8560.t.5,50
4335,9754,469.p.9754,Enrique Hernández,Enrique,Hernández,LAD,Los Angeles Dodgers,"1B,2B,3B,OF",,freeagents,,1
2273,9762,469.p.9762,Christian Vázquez,Christian,Vázquez,MIN,Minnesota Twins,C,,freeagents,,0
1938,9771,469.p.9771,Chris Taylor,Chris,Taylor,LAA,Los Angeles Angels,"2B,CF",,freeagents,,0
2531,9779,469.p.9779,Héctor Neris,Héctor,Neris,KC,Kansas City Royals,RP,,freeagents,,0
2079,9782,469.p.9782,Andrew Chafin,Andrew,Chafin,LAA,Los Angeles Angels,RP,,freeagents,,0
1936,9799,469.p.9799,Chris Bassitt,Chris,Bassitt,TOR,Toronto Blue Jays,SP,,team,469.l.8560.t.11,9
2545,9809,469.p.9809,Hunter Strickland,Hunter,Strickland,LAA,Los Angeles Angels,RP,,freeagents,,0
3406,9815,469.p.9815,Yimi García,Yimi,García,TOR,Toronto Blue Jays,RP,,team,469.l.8560.t.3,1
2615,9818,469.p.9818,James McCann,James,McCann,AZ,Arizona Diamondbacks,C,,freeagents,,0
2817,9821,469.p.9821,Kendall Graveman,Kendall,Graveman,AZ,Arizona Diamondbacks,RP,,freeagents,,0
1934,9823,469.p.9823,Carlos Rodón,Carlos,Rodón,NYY,New York Yankees,SP,,team,469.l.8560.t.1,80
3297,9842,469.p.9842,Tommy Pham,Tommy,Pham,PIT,Pittsburgh Pirates,CF,,freeagents,,1
2336,9844,469.p.9844,Danny Coulombe,Danny,Coulombe,TEX,Texas Rangers,RP,,freeagents,,0
2274,9846,469.p.9846,Christian Walker,Christian,Walker,HOU,Houston Astros,1B,,team,469.l.8560.t.4,85
3140,9851,469.p.9851,Rob Refsnyder,Rob,Refsnyder,SEA,Seattle Mariners,CF,,freeagents,,0
2926,9858,469.p.9858,Manuel Margot,Manuel,Margot,DET,Detroit Tigers,CF,,freeagents,,0
1959,9861,469.p.9861,Kyle Schwarber,Kyle,Schwarber,PHI,Philadelphia Phillies,OF,,team,469.l.8560.t.9,99
2855,9863,469.p.9863,Kyle Freeland,Kyle,Freeland,COL,Colorado Rockies,SP,,freeagents,,1
2373,9866,469.p.9866,Derek Hill,Derek,Hill,CWS,Chicago White Sox,CF,,freeagents,,0
3214,9868,469.p.9868,Sean Newcomb,Sean,Newcomb,CWS,Chicago White Sox,"SP,RP",,team,469.l.8560.t.12,0
3066,9871,469.p.9871,Orlando Arcia,Orlando,Arcia,MIN,Minnesota Twins,"1B,2B,3B,SS",,freeagents,,0
1891,9872,469.p.9872,José Berríos,José,Berríos,TOR,Toronto Blue Jays,SP,,freeagents,,5
2970,9875,469.p.9875,Michael Conforto,Michael,Conforto,LAD,Los Angeles Dodgers,OF,,freeagents,,0
2176,9876,469.p.9876,Brandon Nimmo,Brandon,Nimmo,TEX,Texas Rangers,CF,,team,469.l.8560.t.3,86
1886,9877,469.p.9877,Aaron Judge,Aaron,Judge,NYY,New York Yankees,CF,,team,469.l.8560.t.2,100
2908,9879,469.p.9879,Luis Severino,Luis,Severino,ATH, Athletics,SP,,team,469.l.8560.t.1,3
2001,9882,469.p.9882,Aaron Nola,Aaron,Nola,PHI,Philadelphia Phillies,SP,,team,469.l.8560.t.8,80
2761,9883,469.p.9883,Josh Bell,Josh,Bell,MIN,Minnesota Twins,1B,,freeagents,,3
2055,9885,469.p.9885,Alex Jackson,Alex,Jackson,MIN,Minnesota Twins,C,,freeagents,,0
2544,9889,469.p.9889,Hunter Renfroe,Hunter,Renfroe,KC,Kansas City Royals,OF,,freeagents,,0
3385,9893,469.p.9893,Willy Adames,Willy,Adames,SF,San Francisco Giants,SS,,team,469.l.8560.t.1,91
2641,9896,469.p.9896,Jeff Hoffman,Jeff,Hoffman,TOR,Toronto Blue Jays,RP,,team,469.l.8560.t.11,87
1921,9897,469.p.9897,Tim Anderson,Tim,Anderson,LAA,Los Angeles Angels,"2B,SS",,freeagents,,0
2932,9898,469.p.9898,Mark Canha,Mark,Canha,KC,Kansas City Royals,OF,,freeagents,,0
1923,9900,469.p.9900,Yoán Moncada,Yoán,Moncada,LAA,Los Angeles Angels,3B,,team,469.l.8560.t.11,1
1916,9902,469.p.9902,Raisel Iglesias,Raisel,Iglesias,ATL,Atlanta Braves,RP,,team,469.l.8560.t.2,92
2991,9903,469.p.9903,Miguel Castro,Miguel,Castro,LAA,Los Angeles Angels,RP,,freeagents,,0
4043,9931,469.p.9931,José Ureña,José,Ureña,LAA,Los Angeles Angels,"SP,RP",,freeagents,,0
2977,9949,469.p.9949,Michael Lorenzen (Pitcher),Michael,Lorenzen (Pitcher),COL,Colorado Rockies,"SP,RP",,freeagents,,1
2123,9971,469.p.9971,Austin Barnes,Austin,Barnes,NYM,New York Mets,C,,freeagents,,0
2677,9987,469.p.9987,Joe Ross,Joe,Ross,PHI,Philadelphia Phillies,RP,,freeagents,,0
2509,9991,469.p.9991,Gio Urshela,Gio,Urshela,ATH, Athletics,3B,,freeagents,,0
2960,10011,469.p.10011,Matthew Boyd,Matthew,Boyd,CHC,Chicago Cubs,SP,,team,469.l.8560.t.3,78
1947,10027,469.p.10027,Frankie Montas,Frankie,Montas,NYM,New York Mets,SP,,freeagents,,0
3332,10031,469.p.10031,Tyler Anderson,Tyler,Anderson,LAA,Los Angeles Angels,SP,,freeagents,,0
1910,10036,469.p.10036,Ketel Marte,Ketel,Marte,AZ,Arizona Diamondbacks,2B,,team,469.l.8560.t.10,99
3230,10047,469.p.10047,Shawn Armstrong,Shawn,Armstrong,CLE,Cleveland Guardians,RP,,freeagents,,3
7481,10048,469.p.10048,Colin Rea,Colin,Rea,CHC,Chicago Cubs,"SP,RP",,freeagents,,3
3307,10050,469.p.10050,Travis Jankowski,Travis,Jankowski,NYM,New York Mets,CF,,freeagents,,0
6189,10054,469.p.10054,Scott McGough,Scott,McGough,ATH, Athletics,RP,,freeagents,,0
1885,10056,469.p.10056,Trea Turner,Trea,Turner,PHI,Philadelphia Phillies,SS,,team,469.l.8560.t.11,99
2913,10068,469.p.10068,Luke Maile,Luke,Maile,KC,Kansas City Royals,C,,freeagents,,0
3202,10072,469.p.10072,Scott Alexander,Scott,Alexander,SF,San Francisco Giants,RP,,freeagents,,0
2443,10076,469.p.10076,Elias Díaz,Elias,Díaz,SD,San Diego Padres,C,,freeagents,,0
2963,10095,469.p.10095,Max Kepler,Max,Kepler,PHI,Philadelphia Phillies,OF,,freeagents,,0
2734,10096,469.p.10096,Jorge López,Jorge,López,WSH,Washington Nationals,RP,,freeagents,,0
2024,10098,469.p.10098,Adrian Houser,Adrian,Houser,SF,San Francisco Giants,SP,,team,469.l.8560.t.11,2
2819,10105,469.p.10105,Kenta Maeda,Kenta,Maeda,DET,Detroit Tigers,RP,,freeagents,,0
3255,10109,469.p.10109,Steven Okert,Steven,Okert,HOU,Houston Astros,RP,,freeagents,,1
3009,10119,469.p.10119,Mike Yastrzemski,Mike,Yastrzemski,ATL,Atlanta Braves,CF,,freeagents,,2
1908,10131,469.p.10131,Josh Hader,Josh,Hader,HOU,Houston Astros,RP,,team,469.l.8560.t.7,96
