Season,Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2006,"Gio Gonzalez","PHI","AA",20,154.2,0.28641975,,,,,,,,,,,,,,"7448"
2010,"Jeff Marquez","CHW","AAA",25,144.2,0.31196581,1.365384615,0.218220338,0.451271186,0.330508474,0.23076923,0.089743589,0.52074689,0.21784232,0.26141079,0.08839529,820,1386,2206,"7456"
2007,"Jeff Marquez","NYY","AA",22,155.1,0.3003876,1.407407407,0.114785992,0.517509727,0.36770428,0.211640211,0.058201058,0.42424242,0.24810606,0.32765152,0.24260355,198,816,1014,"7456"
2006,"Steven Register","COL","AA",23,155,0.3100189,,,,,,,,,,,,,,"7463"
2008,"Ryan Webb","OAK","AA",22,130,0.34931507,1.864406779,0.230068337,0.501138952,0.26879271,0.194915254,0.101694915,0.44444444,0.24888889,0.30666667,0.06715395,812,1377,2189,"7474"
2007,"Jack Egbert","CHW","AA",24,161.2,0.3125,1.956896551,0.189125295,0.536643026,0.274231678,0.172413793,0.025862068,0.47356322,0.20229885,0.32413793,0.28333333,201,939,1140,"7487"
2008,"Jack Egbert","CHW","AAA",25,129.2,0.30729167,1.87735849,0.211886304,0.514211886,0.273901808,0.207547169,0.141509433,0.42462312,0.24371859,0.33165829,0.09242917,772,1381,2153,"7487"
2007,"Mike Ekstrom","SDP","AA",23,143.2,0.36344969,1.438271604,0.175365344,0.486430062,0.338204592,0.172839506,0.037037037,0.43149284,0.22903885,0.3394683,0.24148297,207,791,998,"7488"
2010,"Tommy Layne","ARI","AA",25,149.1,0.28661088,2.456896551,0.14680851,0.606382978,0.24680851,0.172413793,0.077586206,0.48659794,0.24329897,0.27010309,0.0759325,856,1396,2252,"7501"
2007,"Tommy Layne","ARI","R",22,79.2,0.34274194,1.547619047,0.154150197,0.513833992,0.33201581,0.166666666,0.107142857,0.44573643,0.25193798,0.30232558,0.30017452,107,466,573,"7501"
