Unique Player ID Database,,next: 7940,,,,No Accents ,,Approved Dupe,Report an Issue
Adonis Giron,HOU,OF,5999,,,Adonis Giron,,FALSE,
Adonis Medina,PIT,P,2023,,,Adonis Medina,,FALSE,
Adony Mejia,PHI,C,5998,,,Adony Mejia,,FALSE,
Adrian Acosta,LAA,RHP,7138,,,Adrian Acosta,,FALSE,
Adrian Bohorquez,MIN,SP,7567,,,Adrian Bohorquez,,FALSE,
Adrian De Horta,TB,P,2075,,,Adrian De Horta,,TRUE,
Adrian Del Castillo,AZ,C,3543,Adrian del Castillo,,Adrian Del Castillo,,TRUE,
Adrian Hernandez,TOR,P,6084,,,Adrian Hernandez,,TRUE,
Adrián Hernández,NYM,CF,6464,,,Adrian Hernandez,,TRUE,
Adrian Houser,NYM,SP,2024,,,Adrian Houser,,FALSE,
Adrián Martínez,OAK,P,4246,Adrian Martinez,,Adrian Martinez,,FALSE,
Adrian Morejon,SD,P,2025,,,Adrian Morejon,,FALSE,
Adrian Pena,MIA,RHP,3200,,,Adrian Pena,,FALSE,
Adrian Pinto,TOR,2B/ SS,4000,,,Adrian Pinto,,FALSE,
Adrian Placencia,LAA,SS,3680,,,Adrian Placencia,,TRUE,
Adrian Rodriguez,TEX,SIRP,6841,,,Adrian Rodriguez,,TRUE,
Adrian Sampson,CHC,P,2026,,,Adrian Sampson,,FALSE,
Adrian Sanchez,STL,C,2064,Adrian Sanchez,,Adrian Sanchez,,TRUE,
Adrián Sanchez,WSH,2B,2027,Adrian Sanchez,,Adrian Sanchez,,TRUE,
Adrian Santana,TB,SS,6657,,,Adrian Santana,,FALSE,
Adriel Radney,AZ,OF,7174,,,Adriel Radney,,FALSE,
Adriel Sotolongo,TOR,"1B,OF",5997,,,Adriel Sotolongo,,FALSE,
Aeverson Arteaga,SF,SS,3823,,,Aeverson Arteaga,,FALSE,
Agustin Ramirez,MIA,"C, 1B",5996,Agustín Ramírez,,Agustin Ramirez,,FALSE,
Agustin Ruiz,SD,OF,5995,,,Agustin Ruiz,,FALSE,
Ahbram Liendo,BOS,"2B,SS,3B",5994,,,Ahbram Liendo,,FALSE,
Aidan Curry,TEX,SP,6624,,,Aidan Curry,,FALSE,
Aidan Keenan,,RHP,7087,,,Aidan Keenan,,FALSE,
Aidan Knaak,,RHP,7075,,,Aidan Knaak,,FALSE,
Aidan Miller,PHI,3B,6578,,,Aidan Miller,,FALSE,
Aidan Smith,SEA,CF,6888,,,Aidan Smith,,FALSE,
Aiden May,MIA,SP,7719,,,Aiden May,,FALSE,
Aiverson Rodriguez,COL,"2B,3B",5993,,,Aiverson Rodriguez,,FALSE,
AJ Blubaugh,HOU,SP,7215,,,AJ Blubaugh,,FALSE,
AJ Ewing,NYM,2B,6907,,,AJ Ewing,,FALSE,
AJ Graffanino,BAL,"2B,SS,3B,OF",5992,,,AJ Graffanino,,FALSE,
AJ Lee,HOU,"1B,3B",5991,,,AJ Lee,,FALSE,
AJ Lewis,COL,"C,1B,3B",5990,,,AJ Lewis,,FALSE,
AJ Pollock,SEA,CF,2028,,,AJ Pollock,,FALSE,
AJ Ramos,LAA,P,2029,,,AJ Ramos,,FALSE,
AJ Smith-Shawver,ATL,RHP,3556,,,AJ Smith-Shawver,,FALSE,
Akeem Bostick,NYM,P,2030,,,Akeem Bostick,,FALSE,
Akil Baddoo,DET,CF,2031,,,Akil Baddoo,,FALSE,
Alan Mejia,NYY,OF,5989,,,Alan Mejia,,FALSE,
Alan Rangel,ATL,P,6343,,,Alan Rangel,,FALSE,
Alan Roden,TOR,RF,6869,,,Alan Roden,,FALSE,
Alan Trejo,COL,"2B,SS",2032,,,Alan Trejo,,FALSE,
Alberis Ferrer,MIL,3B,5988,,,Alberis Ferrer,,FALSE,
Albert Abreu,NYY,P,2033,,,Albert Abreu,,FALSE,
Albert Almora Jr.,CIN,CF,2034,Albert Almora Jr,Albert Almora,Albert Almora Jr.,,FALSE,
Albert Fabian,SD,OF,5987,,,Albert Fabian,,TRUE,
Albert Feliz,BOS,"1B,OF",5986,,,Albert Feliz,,FALSE,
Albert Inoa,STL,"2B,3B",5985,,,Albert Inoa,,FALSE,
Albert Jerez,PHI,3B,5984,,,Albert Jerez,,FALSE,
Albert Pujols,LAD,1B,2035,,,Albert Pujols,,FALSE,
Albert Suarez,NYM,"2B,3B",5983,,,Albert Suarez,,TRUE,
Albert Suárez,BAL,SP,4509,Albert Suarez,,Albert Suarez,,TRUE,
Alberto Baldonado,WSH,P,2036,,,Alberto Baldonado,,FALSE,
Alberto Barriga,AZ,C,7552,,,Alberto Barriga,,FALSE,
Alberto Hernandez,HOU,SS,6635,,,Alberto Hernandez,,FALSE,
Alberto Rios,LAA,LF,6764,,,Alberto Rios,,FALSE,
Alberto Rodriguez,SEA,OF,3804,,,Alberto Rodriguez,,FALSE,
Alcides Escobar,WSH,SS,2037,,,Alcides Escobar,,FALSE,
Aldenis Sanchez,NYY,OF,5982,,,Aldenis Sanchez,,FALSE,
Aldo Ramirez,WSH,P,3880,,,Aldo Ramirez,,FALSE,
Aldrem Corredor,PHI,"1B,OF",5981,,,Aldrem Corredor,,FALSE,
Aldrich De Jongh,LAD,OF,5980,,,Aldrich De Jongh,,FALSE,
Aldrin Batista,,,7428,,,Aldrin Batista,,FALSE,
Alec Bettinger,MIL,P,3583,,,Alec Bettinger,,FALSE,
Alec Bohm,PHI,"1B,3B",2039,,,Alec Bohm,,FALSE,
Alec Burleson,STL,OF,3831,,,Alec Burleson,,FALSE,
Alec Marsh,KC,RHP,3666,,,Alec Marsh,,FALSE,
Alec Mills,CHC,P,2042,,,Alec Mills,,FALSE,
Alec Willis,STL,RHP,3835,,,Alec Willis,,FALSE,
Aledmys Díaz,OAK,"1B,2B,3B,SS,OF",2044,Aledmys Diaz,,Aledmys Diaz,,FALSE,
Alejandro Cruz,CHW,3B,7799,,,Alejandro Cruz,,FALSE,
