player_id,name,team,position,stat_0,stat_1,stat_2,stat_3,stat_4,stat_5,stat_6,stat_7,stat_8,stat_9,stat_10,stat_11,stat_12,stat_13,stat_14,stat_15,stat_16,stat_17,stat_18,stat_19,stat_20,stat_21,stat_22,stat_23,stat_24,stat_25,stat_26,stat_27,stat_28,stat_29,stat_30,stat_31,stat_32,stat_33,stat_34,stat_35,stat_36,stat_37,stat_38,stat_39,stat_40,stat_41,stat_42,stat_43,stat_44,stat_45,stat_46,stat_47,stat_48,stat_49,stat_50,stat_51,stat_52,stat_53,stat_54,stat_55,stat_56,stat_57,stat_58,stat_59,stat_60,stat_61,stat_62,stat_63,stat_64,stat_65,stat_66,stat_67,stat_68,stat_69,stat_70,stat_71,stat_72,stat_73,stat_74,stat_75,stat_76,stat_77,stat_78,stat_79,stat_80,stat_81,stat_82,stat_83,stat_84,stat_85,stat_86,stat_87,stat_88,stat_89,stat_90,stat_91,stat_92,stat_93,stat_94,stat_95,stat_96,stat_97,stat_98,stat_99
8758,Kenley Jansen,Boston Red Sox,"RP, P, NA",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
8780,Chris Sale,Atlanta Braves,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
8861,Mike Trout,Los Angeles Angels,"CF, OF, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8868,Anthony Rizzo,New York Yankees,"1B, Util, NA",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8875,Bryce Harper,Philadelphia Phillies,"1B, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8918,Alex Cobb,Detroit Tigers,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
8949,DJ LeMahieu,New York Yankees,"1B, 3B, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8967,Paul Goldschmidt,New York Yankees,"1B, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8996,Jose Altuve,Houston Astros,"2B, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9002,J.D. Martinez,New York Mets,"Util, NA",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9007,Nathan Eovaldi,Texas Rangers,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
9015,Salvador Perez,Kansas City Royals,"C, 1B, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9057,Liam Hendriks,Boston Red Sox,"RP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
9095,Yu Darvish,San Diego Padres,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
9096,Travis d'Arnaud,Los Angeles Angels,"C, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9097,Gary Sánchez,Baltimore Orioles,"C, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9099,Jon Singleton,Houston Astros,"1B, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9105,Nolan Arenado,St. Louis Cardinals,"3B, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9106,Anthony Rendon,Los Angeles Angels,"3B, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9108,Nick Castellanos,Philadelphia Phillies,"OF, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9111,Manny Machado,San Diego Padres,"3B, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9112,Jurickson Profar,Atlanta Braves,"OF, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9116,Francisco Lindor,New York Mets,"SS, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9118,Starling Marte,New York Mets,"OF, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9121,Gerrit Cole,New York Yankees,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
9123,Jameson Taillon,Chicago Cubs,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
9124,Zack Wheeler,Philadelphia Phillies,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
9173,Miles Mikolas,St. Louis Cardinals,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
9190,Donovan Solano,Seattle Mariners,"1B, 3B, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9228,Jorge Soler,Los Angeles Angels,"OF, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9272,Justin Wilson,Boston Red Sox,"RP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
9319,Xander Bogaerts,San Diego Padres,"2B, SS, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9320,Christian Yelich,Milwaukee Brewers,"OF, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9321,Taijuan Walker,Philadelphia Phillies,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
9329,Michael Wacha,Kansas City Royals,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
9334,Kevin Gausman,Toronto Blue Jays,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
9336,Austin Hedges,Cleveland Guardians,"C, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9339,George Springer,Toronto Blue Jays,"OF, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9350,T.J. McFarland,Athletics,"RP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
9358,Ryan Pressly,Chicago Cubs,"RP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
9385,Marcell Ozuna,Atlanta Braves,"OF, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
