player_id,name,team,position,Games Played,Games Played,Games Started,Batting Average,On-base Percentage,Slugging Percentage,At Bats,Runs,Hits,Singles,Doubles,Triples,Home Runs,Runs Batted In,Sacrifice Hits,Sacrifice Flys,Stolen Bases,Caught Stealing,Walks,Intentional Walks,Hit By Pitch,Strikeouts,Ground Into Double Play,Total Bases,Pitching Appearances,Games Started (Pitching),Earned Run Average,(Walks + Hits)/ Innings Pitched,Wins,Losses,Complete Games,Shutouts,Saves,Outs,Hits Allowed,Total Batters Faced,Runs Allowed,Earned Runs,Home Runs Allowed,Walks Issued,Intentional Walks Issued,Hit Batters,Strikeouts (Pitching),Wild Pitches,Balks,Stolen Bases Allowed,Batters Grounded Into Double Plays,Save Chances,Holds,Total Bases Allowed,Innings Pitched,Putouts,Assists,Errors,Fielding Percentage,On-base + Slugging Percentage,Strikeouts per Walk Ratio,Strikeouts per Nine Innings,Team,League,Hits / At Bats,Extra Base Hits,Net Stolen Bases,Stolen Base Percentage,Hitting for the Cycle,Plate Appearances,Grand Slam Home Runs,Pitch Count,Doubles Allowed,Triples Allowed,Relief Wins,Relief Losses,Pickoffs,Relief Appearances,On-base Percentage Against,Winning Percentage,Singles Allowed,Hits Per Nine Innings,Walks Per Nine Innings,No Hitters,Perfect Games,Save Percentage,Inherited Runners Scored,Quality Starts,Blown Saves,Net Saves,Outfield Assists,Double Plays Turned,Catcher Interference,Saves + Holds,Net Saves and Holds,Net Wins
11728,Shea Langeliers,Athletics,C,137,137,126,.224,.288,.450,482,58,108,59,18,2,29,80,0,6,4,2,41,2,5,145,15,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007,51,5,.995,.738,,,-,-,,49,2,.667,0,534,1,,,,,,,,,,,,,,,,,,,,0,5,0,,,
10166,Willson Contreras,St. Louis Cardinals,C,84,84,83,.262,.380,.468,301,48,79,47,17,0,15,36,0,0,4,1,45,2,12,96,7,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,21,3,.992,.848,,,-,-,,32,3,.800,0,358,0,,,,,,,,,,,,,,,,,,,,0,1,0,,,
11853,Alejandro Kirk,Toronto Blue Jays,C,103,103,94,.253,.319,.359,340,23,86,61,19,1,5,54,0,9,0,0,35,1,2,51,11,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,706,46,7,.991,.678,,,-,-,,25,0,-,0,386,0,,,,,,,,,,,,,,,,,,,,0,6,0,,,
11349,Francisco Alvarez,New York Mets,C,100,100,85,.237,.307,.403,308,39,73,46,14,2,11,47,0,2,1,1,30,0,2,86,7,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,25,6,.993,.710,,,-,-,,27,0,.500,0,342,0,,,,,,,,,,,,,,,,,,,,0,1,0,,,
10891,MJ Melendez,Kansas City Royals,C,135,135,118,.206,.273,.400,412,44,85,42,23,3,17,44,0,0,4,4,35,1,3,113,3,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,2,2,.990,.673,,,-,-,,43,0,.500,0,451,1,,,,,,,,,,,,,,,,,,,,2,1,1,,,
12514,Henry Davis,Pittsburgh Pirates,C,37,37,32,.144,.242,.212,104,9,15,10,4,0,1,5,1,2,0,0,13,0,1,45,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,9,2,.993,.454,,,-,-,,5,0,-,0,122,0,,,,,,,,,,,,,,,,,,,,0,3,1,,,
10076,Elias Díaz,San Diego Padres,C,96,96,87,.265,.313,.382,325,27,86,60,20,0,6,39,0,2,0,0,20,2,4,69,15,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,29,4,.992,.695,,,-,-,,26,0,-,0,351,0,,,,,,,,,,,,,,,,,,,,0,1,0,,,
62137,Ben Rice,New York Yankees,C,50,50,41,.171,.264,.349,152,20,26,13,6,0,7,23,0,5,0,1,20,0,1,48,2,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,14,2,.993,.613,,,-,-,,13,-1,.000,0,178,0,,,,,,,,,,,,,,,,,,,,0,21,0,,,
12013,Freddy Fermin,Kansas City Royals,C,111,111,90,.271,.319,.366,339,40,92,72,14,0,6,36,1,3,2,0,23,1,2,66,10,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,35,5,.993,.685,,,-,-,,20,2,1.000,0,368,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
11097,Joey Bart,Pittsburgh Pirates,C,80,80,72,.265,.337,.462,253,38,67,43,11,0,13,45,0,1,0,0,22,0,6,73,8,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,23,4,.992,.799,,,-,-,,24,0,-,0,282,2,,,,,,,,,,,,,,,,,,,,0,3,0,,,
